# xi0
# underflow	 -69.898294    	 0.77113915E-02
# overflow	-0.15743223E-01	 0.34264921E-04
# sum	 -60.246494    	 0.77520014E-02
# xmin	xmax	cross	numerror
  1034.0000    	  1035.0000    	 0.44184477E-01	 0.97196614E-04
  1035.0000    	  1036.0000    	 0.43280089E-01	 0.91236680E-04
  1036.0000    	  1037.0000    	 0.41685295E-01	 0.84646690E-04
  1037.0000    	  1038.0000    	 0.39358972E-01	 0.71268804E-04
  1038.0000    	  1039.0000    	 0.36537653E-01	 0.61926242E-04
  1039.0000    	  1040.0000    	 0.33394228E-01	 0.54874064E-04
  1040.0000    	  1041.0000    	 0.30104673E-01	 0.48943163E-04
  1041.0000    	  1042.0000    	 0.26834837E-01	 0.45796065E-04
  1042.0000    	  1043.0000    	 0.22712251E-01	 0.41060548E-04
  1043.0000    	  1044.0000    	 0.17785524E-01	 0.34497250E-04
  1044.0000    	  1045.0000    	 0.12108151E-01	 0.26015207E-04
  1045.0000    	  1046.0000    	 0.43128412E-01	 0.86327509E-04
  1046.0000    	  1047.0000    	 0.42403895E-01	 0.85191056E-04
  1047.0000    	  1048.0000    	 0.40693929E-01	 0.70369170E-04
  1048.0000    	  1049.0000    	 0.38398477E-01	 0.69688168E-04
  1049.0000    	  1050.0000    	 0.35513319E-01	 0.57373168E-04
  1050.0000    	  1051.0000    	 0.32448310E-01	 0.57410586E-04
  1051.0000    	  1052.0000    	 0.29145792E-01	 0.49747352E-04
  1052.0000    	  1053.0000    	 0.25914620E-01	 0.44173486E-04
  1053.0000    	  1054.0000    	 0.21976219E-01	 0.39649198E-04
  1054.0000    	  1055.0000    	 0.17062528E-01	 0.33436328E-04
  1055.0000    	  1056.0000    	 0.11531921E-01	 0.25868286E-04
  1056.0000    	  1057.0000    	 0.42186093E-01	 0.80305245E-04
  1057.0000    	  1058.0000    	 0.41244597E-01	 0.74197457E-04
  1058.0000    	  1059.0000    	 0.39684340E-01	 0.71794171E-04
  1059.0000    	  1060.0000    	 0.37313152E-01	 0.62425059E-04
  1060.0000    	  1061.0000    	 0.34595278E-01	 0.57236550E-04
  1061.0000    	  1062.0000    	 0.31464224E-01	 0.51977454E-04
  1062.0000    	  1063.0000    	 0.28315218E-01	 0.47469279E-04
  1063.0000    	  1064.0000    	 0.25085013E-01	 0.42948034E-04
  1064.0000    	  1065.0000    	 0.21140891E-01	 0.38430451E-04
  1065.0000    	  1066.0000    	 0.16388593E-01	 0.32644961E-04
  1066.0000    	  1067.0000    	 0.10943870E-01	 0.24142883E-04
  1067.0000    	  1068.0000    	 0.41204623E-01	 0.78610973E-04
  1068.0000    	  1069.0000    	 0.40277707E-01	 0.78858093E-04
  1069.0000    	  1070.0000    	 0.38719682E-01	 0.69649099E-04
  1070.0000    	  1071.0000    	 0.36302481E-01	 0.60615214E-04
  1071.0000    	  1072.0000    	 0.33624066E-01	 0.54325860E-04
  1072.0000    	  1073.0000    	 0.30514728E-01	 0.49391575E-04
  1073.0000    	  1074.0000    	 0.27346204E-01	 0.44689981E-04
  1074.0000    	  1075.0000    	 0.24302179E-01	 0.41687463E-04
  1075.0000    	  1076.0000    	 0.20405798E-01	 0.37433600E-04
  1076.0000    	  1077.0000    	 0.15667862E-01	 0.31794018E-04
  1077.0000    	  1078.0000    	 0.10435544E-01	 0.23362314E-04
  1078.0000    	  1079.0000    	 0.40158732E-01	 0.72525998E-04
  1079.0000    	  1080.0000    	 0.39279006E-01	 0.67697914E-04
  1080.0000    	  1081.0000    	 0.37591276E-01	 0.58703416E-04
  1081.0000    	  1082.0000    	 0.35355345E-01	 0.61369109E-04
  1082.0000    	  1083.0000    	 0.32614689E-01	 0.50812171E-04
  1083.0000    	  1084.0000    	 0.29700593E-01	 0.47064595E-04
  1084.0000    	  1085.0000    	 0.26630210E-01	 0.45101867E-04
  1085.0000    	  1086.0000    	 0.23533182E-01	 0.40772069E-04
  1086.0000    	  1087.0000    	 0.19716520E-01	 0.36549684E-04
  1087.0000    	  1088.0000    	 0.15067430E-01	 0.30580128E-04
  1088.0000    	  1089.0000    	 0.98865254E-02	 0.22404858E-04
  1089.0000    	  1090.0000    	 0.39232657E-01	 0.73433099E-04
  1090.0000    	  1091.0000    	 0.38342099E-01	 0.63427187E-04
  1091.0000    	  1092.0000    	 0.36590626E-01	 0.56349537E-04
  1092.0000    	  1093.0000    	 0.34434273E-01	 0.59162308E-04
  1093.0000    	  1094.0000    	 0.31745282E-01	 0.50867768E-04
  1094.0000    	  1095.0000    	 0.28768726E-01	 0.47501955E-04
  1095.0000    	  1096.0000    	 0.25726135E-01	 0.42291722E-04
  1096.0000    	  1097.0000    	 0.22772858E-01	 0.39635203E-04
  1097.0000    	  1098.0000    	 0.19019973E-01	 0.35520068E-04
  1098.0000    	  1099.0000    	 0.14429788E-01	 0.29566332E-04
  1099.0000    	  1100.0000    	 0.94077227E-02	 0.21585320E-04
  1100.0000    	  1101.0000    	 0.38189168E-01	 0.63156357E-04
  1101.0000    	  1102.0000    	 0.37258768E-01	 0.60292202E-04
  1102.0000    	  1103.0000    	 0.35732726E-01	 0.56728075E-04
  1103.0000    	  1104.0000    	 0.33471857E-01	 0.54746349E-04
  1104.0000    	  1105.0000    	 0.30800569E-01	 0.46981988E-04
  1105.0000    	  1106.0000    	 0.27914634E-01	 0.43756805E-04
  1106.0000    	  1107.0000    	 0.25009341E-01	 0.41399582E-04
  1107.0000    	  1108.0000    	 0.22046443E-01	 0.38640952E-04
  1108.0000    	  1109.0000    	 0.18335512E-01	 0.34614643E-04
  1109.0000    	  1110.0000    	 0.13781311E-01	 0.28581892E-04
  1110.0000    	  1111.0000    	 0.89698254E-02	 0.20838075E-04
  1111.0000    	  1112.0000    	 0.37226986E-01	 0.60083872E-04
  1112.0000    	  1113.0000    	 0.36452601E-01	 0.65191326E-04
  1113.0000    	  1114.0000    	 0.34818962E-01	 0.54578968E-04
  1114.0000    	  1115.0000    	 0.32587476E-01	 0.51422064E-04
  1115.0000    	  1116.0000    	 0.29896802E-01	 0.46621710E-04
  1116.0000    	  1117.0000    	 0.27124951E-01	 0.42665326E-04
  1117.0000    	  1118.0000    	 0.24195236E-01	 0.40361048E-04
  1118.0000    	  1119.0000    	 0.21291683E-01	 0.38180246E-04
  1119.0000    	  1120.0000    	 0.17674348E-01	 0.33686089E-04
  1120.0000    	  1121.0000    	 0.13240949E-01	 0.27832249E-04
  1121.0000    	  1122.0000    	 0.84728303E-02	 0.20152215E-04
  1122.0000    	  1123.0000    	 0.36315777E-01	 0.61387365E-04
  1123.0000    	  1124.0000    	 0.35521514E-01	 0.53803710E-04
  1124.0000    	  1125.0000    	 0.33768689E-01	 0.49915582E-04
  1125.0000    	  1126.0000    	 0.31659342E-01	 0.50976667E-04
  1126.0000    	  1127.0000    	 0.29137012E-01	 0.44749550E-04
  1127.0000    	  1128.0000    	 0.26265621E-01	 0.41928676E-04
  1128.0000    	  1129.0000    	 0.23489529E-01	 0.39470497E-04
  1129.0000    	  1130.0000    	 0.20597722E-01	 0.37235997E-04
  1130.0000    	  1131.0000    	 0.17004765E-01	 0.32690421E-04
  1131.0000    	  1132.0000    	 0.12623895E-01	 0.26956385E-04
  1132.0000    	  1133.0000    	 0.80374078E-02	 0.19721786E-04
  1133.0000    	  1134.0000    	 0.35381609E-01	 0.54315790E-04
  1134.0000    	  1135.0000    	 0.34571498E-01	 0.52213770E-04
  1135.0000    	  1136.0000    	 0.33024422E-01	 0.50172635E-04
  1136.0000    	  1137.0000    	 0.30794649E-01	 0.47892956E-04
  1137.0000    	  1138.0000    	 0.28214420E-01	 0.42925714E-04
  1138.0000    	  1139.0000    	 0.25490404E-01	 0.40411868E-04
  1139.0000    	  1140.0000    	 0.22724456E-01	 0.38290096E-04
  1140.0000    	  1141.0000    	 0.19900632E-01	 0.35728142E-04
  1141.0000    	  1142.0000    	 0.16365237E-01	 0.32031999E-04
  1142.0000    	  1143.0000    	 0.12092062E-01	 0.26009947E-04
  1143.0000    	  1144.0000    	 0.76410677E-02	 0.18905173E-04
  1144.0000    	  1145.0000    	 0.34521813E-01	 0.53034941E-04
  1145.0000    	  1146.0000    	 0.33654126E-01	 0.49977938E-04
  1146.0000    	  1147.0000    	 0.32115484E-01	 0.49766429E-04
  1147.0000    	  1148.0000    	 0.29899138E-01	 0.44413216E-04
  1148.0000    	  1149.0000    	 0.27390589E-01	 0.42301584E-04
  1149.0000    	  1150.0000    	 0.24698877E-01	 0.39584089E-04
  1150.0000    	  1151.0000    	 0.22041849E-01	 0.37851281E-04
  1151.0000    	  1152.0000    	 0.19263373E-01	 0.34887919E-04
  1152.0000    	  1153.0000    	 0.15792019E-01	 0.31044804E-04
  1153.0000    	  1154.0000    	 0.11541440E-01	 0.25448223E-04
  1154.0000    	  1155.0000    	 0.72563265E-02	 0.18938894E-04
  1155.0000    	  1156.0000    	 0.33564582E-01	 0.52066834E-04
  1156.0000    	  1157.0000    	 0.32797049E-01	 0.52992191E-04
  1157.0000    	  1158.0000    	 0.31246241E-01	 0.47587754E-04
  1158.0000    	  1159.0000    	 0.29101250E-01	 0.42964591E-04
  1159.0000    	  1160.0000    	 0.26650075E-01	 0.44424596E-04
  1160.0000    	  1161.0000    	 0.23940758E-01	 0.38305453E-04
  1161.0000    	  1162.0000    	 0.21343568E-01	 0.36442164E-04
  1162.0000    	  1163.0000    	 0.18631840E-01	 0.34089391E-04
  1163.0000    	  1164.0000    	 0.15203222E-01	 0.30272422E-04
  1164.0000    	  1165.0000    	 0.11049039E-01	 0.24412068E-04
  1165.0000    	  1166.0000    	 0.68352529E-02	 0.17498755E-04
  1166.0000    	  1167.0000    	 0.32793876E-01	 0.48433750E-04
  1167.0000    	  1168.0000    	 0.31933596E-01	 0.48517171E-04
  1168.0000    	  1169.0000    	 0.30407180E-01	 0.44456352E-04
  1169.0000    	  1170.0000    	 0.28241044E-01	 0.41903920E-04
  1170.0000    	  1171.0000    	 0.25845690E-01	 0.40242032E-04
  1171.0000    	  1172.0000    	 0.23202099E-01	 0.37493150E-04
  1172.0000    	  1173.0000    	 0.20653455E-01	 0.35568145E-04
  1173.0000    	  1174.0000    	 0.18018375E-01	 0.33254472E-04
  1174.0000    	  1175.0000    	 0.14650213E-01	 0.29473463E-04
  1175.0000    	  1176.0000    	 0.10526728E-01	 0.23670177E-04
  1176.0000    	  1177.0000    	 0.64825378E-02	 0.17193831E-04
  1177.0000    	  1178.0000    	 0.31880544E-01	 0.46315994E-04
  1178.0000    	  1179.0000    	 0.31148959E-01	 0.44529466E-04
  1179.0000    	  1180.0000    	 0.29563979E-01	 0.42332823E-04
  1180.0000    	  1181.0000    	 0.27491111E-01	 0.40491247E-04
  1181.0000    	  1182.0000    	 0.25061405E-01	 0.38948316E-04
  1182.0000    	  1183.0000    	 0.22509851E-01	 0.36543903E-04
  1183.0000    	  1184.0000    	 0.20061705E-01	 0.34902810E-04
  1184.0000    	  1185.0000    	 0.17328644E-01	 0.32463942E-04
  1185.0000    	  1186.0000    	 0.14110202E-01	 0.28718190E-04
  1186.0000    	  1187.0000    	 0.10046201E-01	 0.22836620E-04
  1187.0000    	  1188.0000    	 0.61248159E-02	 0.16286866E-04
  1188.0000    	  1189.0000    	 0.31049602E-01	 0.45750037E-04
  1189.0000    	  1190.0000    	 0.30224381E-01	 0.43075309E-04
  1190.0000    	  1191.0000    	 0.28780255E-01	 0.41120998E-04
  1191.0000    	  1192.0000    	 0.26742971E-01	 0.41083365E-04
  1192.0000    	  1193.0000    	 0.24337261E-01	 0.38349573E-04
  1193.0000    	  1194.0000    	 0.21737237E-01	 0.35555421E-04
  1194.0000    	  1195.0000    	 0.19382583E-01	 0.34011718E-04
  1195.0000    	  1196.0000    	 0.16767722E-01	 0.31586314E-04
  1196.0000    	  1197.0000    	 0.13521656E-01	 0.27897588E-04
  1197.0000    	  1198.0000    	 0.95768404E-02	 0.22244843E-04
  1198.0000    	  1199.0000    	 0.57824754E-02	 0.15677364E-04
  1199.0000    	  1200.0000    	 0.30223349E-01	 0.44136089E-04
  1200.0000    	  1201.0000    	 0.29441440E-01	 0.41844550E-04
  1201.0000    	  1202.0000    	 0.27954819E-01	 0.40836585E-04
  1202.0000    	  1203.0000    	 0.25905026E-01	 0.38467351E-04
  1203.0000    	  1204.0000    	 0.23614004E-01	 0.36776615E-04
  1204.0000    	  1205.0000    	 0.21110336E-01	 0.34742910E-04
  1205.0000    	  1206.0000    	 0.18820563E-01	 0.33276813E-04
  1206.0000    	  1207.0000    	 0.16203447E-01	 0.30841869E-04
  1207.0000    	  1208.0000    	 0.13005005E-01	 0.27301329E-04
  1208.0000    	  1209.0000    	 0.91406095E-02	 0.21439843E-04
  1209.0000    	  1210.0000    	 0.54513421E-02	 0.15062021E-04
  1210.0000    	  1211.0000    	 0.29526067E-01	 0.43626336E-04
  1211.0000    	  1212.0000    	 0.28684801E-01	 0.40552380E-04
  1212.0000    	  1213.0000    	 0.27217638E-01	 0.39162523E-04
  1213.0000    	  1214.0000    	 0.25201361E-01	 0.37418909E-04
  1214.0000    	  1215.0000    	 0.22865715E-01	 0.35803080E-04
  1215.0000    	  1216.0000    	 0.20416671E-01	 0.33869556E-04
  1216.0000    	  1217.0000    	 0.18122066E-01	 0.32502567E-04
  1217.0000    	  1218.0000    	 0.15619010E-01	 0.30079157E-04
  1218.0000    	  1219.0000    	 0.12516501E-01	 0.26543412E-04
  1219.0000    	  1220.0000    	 0.86926124E-02	 0.20732579E-04
  1220.0000    	  1221.0000    	 0.51358366E-02	 0.14649850E-04
  1221.0000    	  1222.0000    	 0.28705226E-01	 0.42408384E-04
  1222.0000    	  1223.0000    	 0.27855525E-01	 0.40034567E-04
  1223.0000    	  1224.0000    	 0.26458503E-01	 0.38021637E-04
  1224.0000    	  1225.0000    	 0.24457509E-01	 0.36613164E-04
  1225.0000    	  1226.0000    	 0.22207841E-01	 0.34914596E-04
  1226.0000    	  1227.0000    	 0.19804721E-01	 0.33057626E-04
  1227.0000    	  1228.0000    	 0.17595682E-01	 0.32047847E-04
  1228.0000    	  1229.0000    	 0.15132733E-01	 0.29427808E-04
  1229.0000    	  1230.0000    	 0.12004593E-01	 0.25793416E-04
  1230.0000    	  1231.0000    	 0.82708163E-02	 0.20153135E-04
  1231.0000    	  1232.0000    	 0.48329661E-02	 0.14053575E-04
  1232.0000    	  1233.0000    	 0.27892495E-01	 0.39928242E-04
  1233.0000    	  1234.0000    	 0.27150948E-01	 0.38633856E-04
  1234.0000    	  1235.0000    	 0.25678160E-01	 0.36976912E-04
  1235.0000    	  1236.0000    	 0.23706034E-01	 0.35601761E-04
  1236.0000    	  1237.0000    	 0.21529842E-01	 0.34058898E-04
  1237.0000    	  1238.0000    	 0.19173547E-01	 0.32292545E-04
  1238.0000    	  1239.0000    	 0.16978104E-01	 0.30924521E-04
  1239.0000    	  1240.0000    	 0.14530662E-01	 0.28624470E-04
  1240.0000    	  1241.0000    	 0.11560311E-01	 0.25728243E-04
  1241.0000    	  1242.0000    	 0.78464667E-02	 0.19314462E-04
  1242.0000    	  1243.0000    	 0.45421066E-02	 0.13664390E-04
  1243.0000    	  1244.0000    	 0.27156309E-01	 0.38506654E-04
  1244.0000    	  1245.0000    	 0.26396872E-01	 0.37697666E-04
  1245.0000    	  1246.0000    	 0.24968496E-01	 0.35946869E-04
  1246.0000    	  1247.0000    	 0.23025619E-01	 0.34691086E-04
  1247.0000    	  1248.0000    	 0.20895699E-01	 0.33244519E-04
  1248.0000    	  1249.0000    	 0.18506561E-01	 0.31519929E-04
  1249.0000    	  1250.0000    	 0.16492540E-01	 0.30283579E-04
  1250.0000    	  1251.0000    	 0.14037005E-01	 0.28040019E-04
  1251.0000    	  1252.0000    	 0.11080647E-01	 0.24573716E-04
  1252.0000    	  1253.0000    	 0.74714124E-02	 0.18808485E-04
  1253.0000    	  1254.0000    	 0.42481574E-02	 0.13004515E-04
  1254.0000    	  1255.0000    	 0.26385285E-01	 0.37195882E-04
  1255.0000    	  1256.0000    	 0.25682330E-01	 0.36490126E-04
  1256.0000    	  1257.0000    	 0.24274025E-01	 0.35136733E-04
  1257.0000    	  1258.0000    	 0.22347980E-01	 0.33908776E-04
  1258.0000    	  1259.0000    	 0.20209710E-01	 0.32545914E-04
  1259.0000    	  1260.0000    	 0.17997484E-01	 0.30852749E-04
  1260.0000    	  1261.0000    	 0.15867745E-01	 0.29531644E-04
  1261.0000    	  1262.0000    	 0.13554497E-01	 0.27421932E-04
  1262.0000    	  1263.0000    	 0.10624009E-01	 0.23868886E-04
  1263.0000    	  1264.0000    	 0.70992401E-02	 0.18072791E-04
  1264.0000    	  1265.0000    	 0.39647261E-02	 0.12581074E-04
  1265.0000    	  1266.0000    	 0.25713960E-01	 0.38190474E-04
  1266.0000    	  1267.0000    	 0.24998532E-01	 0.35340563E-04
  1267.0000    	  1268.0000    	 0.23535795E-01	 0.34127953E-04
  1268.0000    	  1269.0000    	 0.21686814E-01	 0.33041890E-04
  1269.0000    	  1270.0000    	 0.19545497E-01	 0.31564592E-04
  1270.0000    	  1271.0000    	 0.17378910E-01	 0.30103328E-04
  1271.0000    	  1272.0000    	 0.15419171E-01	 0.28888806E-04
