# xi1
# underflow	 -51.732266    	 0.39651865E-02
# overflow	-0.11206318    	 0.60234017E-04
# sum	 -60.152705    	 0.39986315E-02
# xmin	xmax	cross	numerror
  3124.0000    	  3125.0000    	-0.12121183E-01	 0.21905077E-04
  3125.0000    	  3126.0000    	-0.12024362E-01	 0.23450970E-04
  3126.0000    	  3127.0000    	-0.11923499E-01	 0.24748377E-04
  3127.0000    	  3128.0000    	-0.11634614E-01	 0.26846684E-04
  3128.0000    	  3129.0000    	-0.11518614E-01	 0.28947953E-04
  3129.0000    	  3130.0000    	-0.11273294E-01	 0.25339411E-04
  3130.0000    	  3131.0000    	-0.11081664E-01	 0.24303984E-04
  3131.0000    	  3132.0000    	-0.10657798E-01	 0.22759423E-04
  3132.0000    	  3133.0000    	-0.98358630E-02	 0.20990415E-04
  3133.0000    	  3134.0000    	-0.86090311E-02	 0.19334374E-04
  3134.0000    	  3135.0000    	-0.68245727E-02	 0.17093954E-04
  3135.0000    	  3136.0000    	-0.11995400E-01	 0.21448285E-04
  3136.0000    	  3137.0000    	-0.11961298E-01	 0.21386620E-04
  3137.0000    	  3138.0000    	-0.11802737E-01	 0.21882262E-04
  3138.0000    	  3139.0000    	-0.11658724E-01	 0.24070546E-04
  3139.0000    	  3140.0000    	-0.11490394E-01	 0.25860222E-04
  3140.0000    	  3141.0000    	-0.11292525E-01	 0.24264607E-04
  3141.0000    	  3142.0000    	-0.10981870E-01	 0.22255917E-04
  3142.0000    	  3143.0000    	-0.10576766E-01	 0.21442164E-04
  3143.0000    	  3144.0000    	-0.97743814E-02	 0.20538061E-04
  3144.0000    	  3145.0000    	-0.85029922E-02	 0.19150196E-04
  3145.0000    	  3146.0000    	-0.67813428E-02	 0.16982758E-04
  3146.0000    	  3147.0000    	-0.11924974E-01	 0.21854059E-04
  3147.0000    	  3148.0000    	-0.11863545E-01	 0.20442793E-04
  3148.0000    	  3149.0000    	-0.11742009E-01	 0.22355318E-04
  3149.0000    	  3150.0000    	-0.11558774E-01	 0.22260673E-04
  3150.0000    	  3151.0000    	-0.11394059E-01	 0.22126998E-04
  3151.0000    	  3152.0000    	-0.11247383E-01	 0.23136666E-04
  3152.0000    	  3153.0000    	-0.10954052E-01	 0.21216666E-04
  3153.0000    	  3154.0000    	-0.10496558E-01	 0.20962635E-04
  3154.0000    	  3155.0000    	-0.97143358E-02	 0.20235565E-04
  3155.0000    	  3156.0000    	-0.84592369E-02	 0.18962868E-04
  3156.0000    	  3157.0000    	-0.66804986E-02	 0.16830896E-04
  3157.0000    	  3158.0000    	-0.11842762E-01	 0.20887364E-04
  3158.0000    	  3159.0000    	-0.11750094E-01	 0.20090934E-04
  3159.0000    	  3160.0000    	-0.11669358E-01	 0.20049905E-04
  3160.0000    	  3161.0000    	-0.11491617E-01	 0.20108039E-04
  3161.0000    	  3162.0000    	-0.11322024E-01	 0.21821054E-04
  3162.0000    	  3163.0000    	-0.11139647E-01	 0.22459669E-04
  3163.0000    	  3164.0000    	-0.10905878E-01	 0.20926047E-04
  3164.0000    	  3165.0000    	-0.10429949E-01	 0.20499896E-04
  3165.0000    	  3166.0000    	-0.96315812E-02	 0.20042248E-04
  3166.0000    	  3167.0000    	-0.83987714E-02	 0.18783546E-04
  3167.0000    	  3168.0000    	-0.66234579E-02	 0.16699612E-04
  3168.0000    	  3169.0000    	-0.11746446E-01	 0.20715907E-04
  3169.0000    	  3170.0000    	-0.11701520E-01	 0.20445045E-04
  3170.0000    	  3171.0000    	-0.11553374E-01	 0.20568878E-04
  3171.0000    	  3172.0000    	-0.11413062E-01	 0.19246752E-04
  3172.0000    	  3173.0000    	-0.11278301E-01	 0.19491175E-04
  3173.0000    	  3174.0000    	-0.11095002E-01	 0.21084171E-04
  3174.0000    	  3175.0000    	-0.10841275E-01	 0.20134792E-04
  3175.0000    	  3176.0000    	-0.10355590E-01	 0.20269352E-04
  3176.0000    	  3177.0000    	-0.95493561E-02	 0.19725378E-04
  3177.0000    	  3178.0000    	-0.83070378E-02	 0.18630141E-04
  3178.0000    	  3179.0000    	-0.65732418E-02	 0.16643798E-04
  3179.0000    	  3180.0000    	-0.11668273E-01	 0.20519146E-04
  3180.0000    	  3181.0000    	-0.11575810E-01	 0.19574779E-04
  3181.0000    	  3182.0000    	-0.11467065E-01	 0.18857452E-04
  3182.0000    	  3183.0000    	-0.11350109E-01	 0.18984662E-04
  3183.0000    	  3184.0000    	-0.11179399E-01	 0.19950336E-04
  3184.0000    	  3185.0000    	-0.11026570E-01	 0.19207223E-04
  3185.0000    	  3186.0000    	-0.10753207E-01	 0.19644709E-04
  3186.0000    	  3187.0000    	-0.10290678E-01	 0.19889662E-04
  3187.0000    	  3188.0000    	-0.94729739E-02	 0.19672242E-04
  3188.0000    	  3189.0000    	-0.82290561E-02	 0.19233456E-04
  3189.0000    	  3190.0000    	-0.64903594E-02	 0.16507434E-04
  3190.0000    	  3191.0000    	-0.11581264E-01	 0.20440486E-04
  3191.0000    	  3192.0000    	-0.11536598E-01	 0.19370060E-04
  3192.0000    	  3193.0000    	-0.11388469E-01	 0.18583822E-04
  3193.0000    	  3194.0000    	-0.11262030E-01	 0.18246948E-04
  3194.0000    	  3195.0000    	-0.11098547E-01	 0.19169289E-04
  3195.0000    	  3196.0000    	-0.10959356E-01	 0.19007277E-04
  3196.0000    	  3197.0000    	-0.10631696E-01	 0.19407641E-04
  3197.0000    	  3198.0000    	-0.10192262E-01	 0.19674713E-04
  3198.0000    	  3199.0000    	-0.93942808E-02	 0.20804300E-04
  3199.0000    	  3200.0000    	-0.81416540E-02	 0.18345093E-04
  3200.0000    	  3201.0000    	-0.64215785E-02	 0.16328133E-04
  3201.0000    	  3202.0000    	-0.11471909E-01	 0.20212161E-04
  3202.0000    	  3203.0000    	-0.11408336E-01	 0.19213025E-04
  3203.0000    	  3204.0000    	-0.11323275E-01	 0.18480021E-04
  3204.0000    	  3205.0000    	-0.11181309E-01	 0.17814809E-04
  3205.0000    	  3206.0000    	-0.11070406E-01	 0.17896411E-04
  3206.0000    	  3207.0000    	-0.10867245E-01	 0.19416989E-04
  3207.0000    	  3208.0000    	-0.10607295E-01	 0.19072823E-04
  3208.0000    	  3209.0000    	-0.10122955E-01	 0.19501128E-04
  3209.0000    	  3210.0000    	-0.93219330E-02	 0.19284673E-04
  3210.0000    	  3211.0000    	-0.80569422E-02	 0.18266889E-04
  3211.0000    	  3212.0000    	-0.63852945E-02	 0.16272114E-04
  3212.0000    	  3213.0000    	-0.11389056E-01	 0.20114040E-04
  3213.0000    	  3214.0000    	-0.11328955E-01	 0.18984105E-04
  3214.0000    	  3215.0000    	-0.11211972E-01	 0.18069491E-04
  3215.0000    	  3216.0000    	-0.11107785E-01	 0.17521383E-04
  3216.0000    	  3217.0000    	-0.10946712E-01	 0.17423741E-04
  3217.0000    	  3218.0000    	-0.10806565E-01	 0.18141630E-04
  3218.0000    	  3219.0000    	-0.10530020E-01	 0.18825548E-04
  3219.0000    	  3220.0000    	-0.10040485E-01	 0.19353561E-04
  3220.0000    	  3221.0000    	-0.92722054E-02	 0.19119223E-04
  3221.0000    	  3222.0000    	-0.80137911E-02	 0.18080573E-04
  3222.0000    	  3223.0000    	-0.62798745E-02	 0.16108081E-04
  3223.0000    	  3224.0000    	-0.11315568E-01	 0.19923751E-04
  3224.0000    	  3225.0000    	-0.11262551E-01	 0.18875694E-04
  3225.0000    	  3226.0000    	-0.11159265E-01	 0.18280569E-04
  3226.0000    	  3227.0000    	-0.11005835E-01	 0.18012340E-04
  3227.0000    	  3228.0000    	-0.10881642E-01	 0.17166008E-04
  3228.0000    	  3229.0000    	-0.10727902E-01	 0.18187289E-04
  3229.0000    	  3230.0000    	-0.10444761E-01	 0.18836353E-04
  3230.0000    	  3231.0000    	-0.99914721E-02	 0.19137406E-04
  3231.0000    	  3232.0000    	-0.91771687E-02	 0.18981614E-04
  3232.0000    	  3233.0000    	-0.79238366E-02	 0.17966603E-04
  3233.0000    	  3234.0000    	-0.62147148E-02	 0.16783033E-04
  3234.0000    	  3235.0000    	-0.11210227E-01	 0.19730534E-04
  3235.0000    	  3236.0000    	-0.11164209E-01	 0.18674965E-04
  3236.0000    	  3237.0000    	-0.11072991E-01	 0.17806648E-04
  3237.0000    	  3238.0000    	-0.10947597E-01	 0.17111561E-04
  3238.0000    	  3239.0000    	-0.10798936E-01	 0.16990089E-04
  3239.0000    	  3240.0000    	-0.10621289E-01	 0.17577045E-04
  3240.0000    	  3241.0000    	-0.10347277E-01	 0.18436323E-04
  3241.0000    	  3242.0000    	-0.98776278E-02	 0.18958082E-04
  3242.0000    	  3243.0000    	-0.90967928E-02	 0.18822005E-04
  3243.0000    	  3244.0000    	-0.78516633E-02	 0.17791656E-04
  3244.0000    	  3245.0000    	-0.61575596E-02	 0.15871191E-04
  3245.0000    	  3246.0000    	-0.11096595E-01	 0.19616407E-04
  3246.0000    	  3247.0000    	-0.11092230E-01	 0.18652344E-04
  3247.0000    	  3248.0000    	-0.10985024E-01	 0.17654840E-04
  3248.0000    	  3249.0000    	-0.10863435E-01	 0.16985218E-04
  3249.0000    	  3250.0000    	-0.10738246E-01	 0.16828371E-04
  3250.0000    	  3251.0000    	-0.10554319E-01	 0.17331262E-04
  3251.0000    	  3252.0000    	-0.10308692E-01	 0.18275661E-04
  3252.0000    	  3253.0000    	-0.98459326E-02	 0.18878245E-04
  3253.0000    	  3254.0000    	-0.90169207E-02	 0.18828268E-04
  3254.0000    	  3255.0000    	-0.77860373E-02	 0.17735044E-04
  3255.0000    	  3256.0000    	-0.60796481E-02	 0.15757855E-04
  3256.0000    	  3257.0000    	-0.11075491E-01	 0.19645552E-04
  3257.0000    	  3258.0000    	-0.10979072E-01	 0.18418266E-04
  3258.0000    	  3259.0000    	-0.10888494E-01	 0.17450562E-04
  3259.0000    	  3260.0000    	-0.10786303E-01	 0.16828579E-04
  3260.0000    	  3261.0000    	-0.10670878E-01	 0.16713934E-04
  3261.0000    	  3262.0000    	-0.10501788E-01	 0.17199810E-04
  3262.0000    	  3263.0000    	-0.10202225E-01	 0.18099936E-04
  3263.0000    	  3264.0000    	-0.97598844E-02	 0.18711842E-04
  3264.0000    	  3265.0000    	-0.89766933E-02	 0.18593343E-04
  3265.0000    	  3266.0000    	-0.77146448E-02	 0.17567536E-04
  3266.0000    	  3267.0000    	-0.60242480E-02	 0.15666176E-04
  3267.0000    	  3268.0000    	-0.10972897E-01	 0.19406352E-04
  3268.0000    	  3269.0000    	-0.10923815E-01	 0.18359994E-04
  3269.0000    	  3270.0000    	-0.10829791E-01	 0.17543585E-04
  3270.0000    	  3271.0000    	-0.10720521E-01	 0.16884402E-04
  3271.0000    	  3272.0000    	-0.10594304E-01	 0.16498891E-04
  3272.0000    	  3273.0000    	-0.10408849E-01	 0.17009043E-04
  3273.0000    	  3274.0000    	-0.10144304E-01	 0.17988853E-04
  3274.0000    	  3275.0000    	-0.96877637E-02	 0.18568133E-04
  3275.0000    	  3276.0000    	-0.88695017E-02	 0.18409184E-04
  3276.0000    	  3277.0000    	-0.76281917E-02	 0.17424901E-04
  3277.0000    	  3278.0000    	-0.59628700E-02	 0.15561318E-04
  3278.0000    	  3279.0000    	-0.10838008E-01	 0.19202554E-04
  3279.0000    	  3280.0000    	-0.10837562E-01	 0.18306597E-04
  3280.0000    	  3281.0000    	-0.10707412E-01	 0.17168386E-04
  3281.0000    	  3282.0000    	-0.10646097E-01	 0.17040511E-04
  3282.0000    	  3283.0000    	-0.10478614E-01	 0.16336465E-04
  3283.0000    	  3284.0000    	-0.10341405E-01	 0.17006128E-04
  3284.0000    	  3285.0000    	-0.10087153E-01	 0.17872956E-04
  3285.0000    	  3286.0000    	-0.96122075E-02	 0.18580806E-04
  3286.0000    	  3287.0000    	-0.88285860E-02	 0.18354879E-04
  3287.0000    	  3288.0000    	-0.75872161E-02	 0.17933204E-04
  3288.0000    	  3289.0000    	-0.58981782E-02	 0.15459229E-04
