# xi4
# underflow	  170.24863    	 0.28278068E-01
# overflow	 -1.1982593    	 0.25575561E-02
# sum	 -20.716971    	 0.40632105E-01
# xmin	xmax	cross	numerror
  0.0000000    	  1.0000000    	-0.90409958    	 0.27193165E-02
  1.0000000    	  2.0000000    	-0.89619509    	 0.25313938E-02
  2.0000000    	  3.0000000    	-0.87369020    	 0.23659194E-02
  3.0000000    	  4.0000000    	-0.84670322    	 0.23768366E-02
  4.0000000    	  5.0000000    	-0.80054086    	 0.21469468E-02
  5.0000000    	  6.0000000    	-0.73305254    	 0.20631823E-02
  6.0000000    	  7.0000000    	-0.66129617    	 0.21911456E-02
  7.0000000    	  8.0000000    	-0.57664365    	 0.20886296E-02
  8.0000000    	  9.0000000    	-0.48449818    	 0.19016821E-02
  9.0000000    	  10.000000    	-0.38733372    	 0.19450692E-02
  10.000000    	  11.000000    	-0.28623247    	 0.19089887E-02
  11.000000    	  12.000000    	-0.84560295    	 0.25856149E-02
  12.000000    	  13.000000    	-0.84047396    	 0.24421959E-02
  13.000000    	  14.000000    	-0.81984072    	 0.22254770E-02
  14.000000    	  15.000000    	-0.79408485    	 0.21182555E-02
  15.000000    	  16.000000    	-0.74871345    	 0.20870771E-02
  16.000000    	  17.000000    	-0.69095879    	 0.20465731E-02
  17.000000    	  18.000000    	-0.61750330    	 0.19318187E-02
  18.000000    	  19.000000    	-0.53855865    	 0.19049049E-02
  19.000000    	  20.000000    	-0.44919362    	 0.17031332E-02
  20.000000    	  21.000000    	-0.36240017    	 0.18318728E-02
  21.000000    	  22.000000    	-0.26406133    	 0.18165652E-02
  22.000000    	  23.000000    	-0.79481770    	 0.24686548E-02
  23.000000    	  24.000000    	-0.79013868    	 0.22889463E-02
  24.000000    	  25.000000    	-0.77512701    	 0.21626749E-02
  25.000000    	  26.000000    	-0.75089377    	 0.21648867E-02
  26.000000    	  27.000000    	-0.70889394    	 0.19528979E-02
  27.000000    	  28.000000    	-0.64705523    	 0.18443997E-02
  28.000000    	  29.000000    	-0.58253877    	 0.18259700E-02
  29.000000    	  30.000000    	-0.50655862    	 0.17111696E-02
  30.000000    	  31.000000    	-0.42340994    	 0.16817679E-02
  31.000000    	  32.000000    	-0.33285140    	 0.15941507E-02
  32.000000    	  33.000000    	-0.24972940    	 0.16397396E-02
  33.000000    	  34.000000    	-0.75406254    	 0.23238222E-02
  34.000000    	  35.000000    	-0.74615406    	 0.21582633E-02
  35.000000    	  36.000000    	-0.73151896    	 0.20131335E-02
  36.000000    	  37.000000    	-0.70474862    	 0.18982553E-02
  37.000000    	  38.000000    	-0.66518850    	 0.18167873E-02
  38.000000    	  39.000000    	-0.61215560    	 0.16872494E-02
  39.000000    	  40.000000    	-0.54579916    	 0.15446184E-02
  40.000000    	  41.000000    	-0.47471139    	 0.16879406E-02
  41.000000    	  42.000000    	-0.39741551    	 0.16737706E-02
  42.000000    	  43.000000    	-0.31276080    	 0.14741555E-02
  43.000000    	  44.000000    	-0.22577796    	 0.14422882E-02
  44.000000    	  45.000000    	-0.71121715    	 0.22210147E-02
  45.000000    	  46.000000    	-0.70687605    	 0.20731446E-02
  46.000000    	  47.000000    	-0.69603129    	 0.20066390E-02
  47.000000    	  48.000000    	-0.66808401    	 0.18051983E-02
  48.000000    	  49.000000    	-0.62959813    	 0.17082918E-02
  49.000000    	  50.000000    	-0.57602660    	 0.16155130E-02
  50.000000    	  51.000000    	-0.51878305    	 0.16561758E-02
  51.000000    	  52.000000    	-0.44761803    	 0.14789479E-02
  52.000000    	  53.000000    	-0.37218485    	 0.14371787E-02
  53.000000    	  54.000000    	-0.29193496    	 0.14204785E-02
  54.000000    	  55.000000    	-0.21332425    	 0.14091184E-02
  55.000000    	  56.000000    	-0.67431713    	 0.21614534E-02
  56.000000    	  57.000000    	-0.67095800    	 0.19726644E-02
  57.000000    	  58.000000    	-0.65757403    	 0.18853786E-02
  58.000000    	  59.000000    	-0.63558790    	 0.18025433E-02
  59.000000    	  60.000000    	-0.59623110    	 0.17042364E-02
  60.000000    	  61.000000    	-0.54603003    	 0.15802716E-02
  61.000000    	  62.000000    	-0.48707582    	 0.14096606E-02
  62.000000    	  63.000000    	-0.42276784    	 0.14563251E-02
  63.000000    	  64.000000    	-0.34965931    	 0.12940049E-02
  64.000000    	  65.000000    	-0.27384244    	 0.13129218E-02
  65.000000    	  66.000000    	-0.19820424    	 0.12484720E-02
  66.000000    	  67.000000    	-0.64098975    	 0.20052884E-02
  67.000000    	  68.000000    	-0.63768568    	 0.19064956E-02
