# xi3
# underflow	 -3368.8646    	 0.18740305    
# overflow	 -7.2239023    	 0.81697803E-02
# sum	 -4408.7668    	 0.20582991    
# xmin	xmax	cross	numerror
  0.0000000    	  1.0000000    	 -4.1016533    	 0.70338885E-02
  1.0000000    	  2.0000000    	 -4.0428783    	 0.65063163E-02
  2.0000000    	  3.0000000    	 -3.9317879    	 0.63084155E-02
  3.0000000    	  4.0000000    	 -3.7796430    	 0.58896088E-02
  4.0000000    	  5.0000000    	 -3.5740484    	 0.56532037E-02
  5.0000000    	  6.0000000    	 -3.3421881    	 0.55345194E-02
  6.0000000    	  7.0000000    	 -3.0821972    	 0.52415853E-02
  7.0000000    	  8.0000000    	 -2.8143286    	 0.51972129E-02
  8.0000000    	  9.0000000    	 -2.5285614    	 0.49466532E-02
  9.0000000    	  10.000000    	 -2.2520146    	 0.49598005E-02
  10.000000    	  11.000000    	 -1.9808837    	 0.50342285E-02
  11.000000    	  12.000000    	 -3.8696982    	 0.66132903E-02
  12.000000    	  13.000000    	 -3.8140365    	 0.61793261E-02
  13.000000    	  14.000000    	 -3.7120612    	 0.58261145E-02
  14.000000    	  15.000000    	 -3.5720189    	 0.57484478E-02
  15.000000    	  16.000000    	 -3.3824807    	 0.53648747E-02
  16.000000    	  17.000000    	 -3.1625935    	 0.51135968E-02
  17.000000    	  18.000000    	 -2.9225177    	 0.50536149E-02
  18.000000    	  19.000000    	 -2.6596245    	 0.47942671E-02
  19.000000    	  20.000000    	 -2.3952928    	 0.47709003E-02
  20.000000    	  21.000000    	 -2.1263733    	 0.46435619E-02
  21.000000    	  22.000000    	 -1.8693766    	 0.46638675E-02
  22.000000    	  23.000000    	 -3.6500748    	 0.62670049E-02
  23.000000    	  24.000000    	 -3.6032274    	 0.58889210E-02
  24.000000    	  25.000000    	 -3.5119591    	 0.55040661E-02
  25.000000    	  26.000000    	 -3.3813648    	 0.52152604E-02
  26.000000    	  27.000000    	 -3.2051764    	 0.50245834E-02
  27.000000    	  28.000000    	 -3.0014056    	 0.48319980E-02
  28.000000    	  29.000000    	 -2.7697870    	 0.46249543E-02
  29.000000    	  30.000000    	 -2.5210409    	 0.45000363E-02
  30.000000    	  31.000000    	 -2.2673416    	 0.43838151E-02
  31.000000    	  32.000000    	 -2.0143419    	 0.44173298E-02
  32.000000    	  33.000000    	 -1.7680162    	 0.42253731E-02
  33.000000    	  34.000000    	 -3.4620336    	 0.61375240E-02
  34.000000    	  35.000000    	 -3.4104100    	 0.55919539E-02
  35.000000    	  36.000000    	 -3.3261215    	 0.52048616E-02
  36.000000    	  37.000000    	 -3.2019457    	 0.49602234E-02
  37.000000    	  38.000000    	 -3.0389216    	 0.47409549E-02
  38.000000    	  39.000000    	 -2.8497530    	 0.46434531E-02
  39.000000    	  40.000000    	 -2.6352978    	 0.44234727E-02
  40.000000    	  41.000000    	 -2.3961465    	 0.42173187E-02
  41.000000    	  42.000000    	 -2.1631345    	 0.42475423E-02
  42.000000    	  43.000000    	 -1.9171076    	 0.40243995E-02
  43.000000    	  44.000000    	 -1.6772967    	 0.40367937E-02
  44.000000    	  45.000000    	 -3.2769155    	 0.56772642E-02
  45.000000    	  46.000000    	 -3.2358886    	 0.52915103E-02
  46.000000    	  47.000000    	 -3.1626722    	 0.50730060E-02
  47.000000    	  48.000000    	 -3.0454374    	 0.47330326E-02
  48.000000    	  49.000000    	 -2.8982065    	 0.45914649E-02
  49.000000    	  50.000000    	 -2.7172443    	 0.43577807E-02
  50.000000    	  51.000000    	 -2.5063668    	 0.42383233E-02
  51.000000    	  52.000000    	 -2.2853824    	 0.40387451E-02
  52.000000    	  53.000000    	 -2.0552204    	 0.40107953E-02
  53.000000    	  54.000000    	 -1.8263848    	 0.39141426E-02
  54.000000    	  55.000000    	 -1.6016612    	 0.38935209E-02
  55.000000    	  56.000000    	 -3.1162855    	 0.54884860E-02
  56.000000    	  57.000000    	 -3.0757263    	 0.51408330E-02
  57.000000    	  58.000000    	 -3.0045285    	 0.47485646E-02
  58.000000    	  59.000000    	 -2.8996509    	 0.45370782E-02
  59.000000    	  60.000000    	 -2.7580829    	 0.44044276E-02
  60.000000    	  61.000000    	 -2.5872681    	 0.41896437E-02
