# xi0
# underflow	 -1.5086395    	 0.73937858E-03
# overflow	-0.53760995    	 0.27489220E-03
# sum	 -48.657871    	 0.27788676E-02
# xmin	xmax	cross	numerror
  6248.0000    	  6249.0000    	-0.25890460E-01	 0.12214898E-03
  6249.0000    	  6250.0000    	-0.33822192E-01	 0.11777031E-03
  6250.0000    	  6251.0000    	-0.42800691E-01	 0.10992547E-03
  6251.0000    	  6252.0000    	-0.51445261E-01	 0.11108019E-03
  6252.0000    	  6253.0000    	-0.60388618E-01	 0.11072574E-03
  6253.0000    	  6254.0000    	-0.68039158E-01	 0.11590886E-03
  6254.0000    	  6255.0000    	-0.74008647E-01	 0.11792039E-03
  6255.0000    	  6256.0000    	-0.77241050E-01	 0.10539167E-03
  6256.0000    	  6257.0000    	-0.76565679E-01	 0.10317312E-03
  6257.0000    	  6258.0000    	-0.72501630E-01	 0.10393501E-03
  6258.0000    	  6259.0000    	-0.64956120E-01	 0.93451934E-04
  6259.0000    	  6260.0000    	-0.54670956E-01	 0.84631135E-04
  6260.0000    	  6261.0000    	-0.42579839E-01	 0.77316797E-04
  6261.0000    	  6262.0000    	-0.29774112E-01	 0.68158863E-04
  6262.0000    	  6263.0000    	-0.17640965E-01	 0.64104704E-04
  6263.0000    	  6264.0000    	-0.70298428E-02	 0.61311819E-04
  6264.0000    	  6265.0000    	 0.16678313E-02	 0.62376455E-04
  6265.0000    	  6266.0000    	 0.78895104E-02	 0.61567190E-04
  6266.0000    	  6267.0000    	 0.11460574E-01	 0.55963816E-04
  6267.0000    	  6268.0000    	 0.12930439E-01	 0.57192096E-04
  6268.0000    	  6269.0000    	 0.12405500E-01	 0.50397573E-04
  6269.0000    	  6270.0000    	 0.10682691E-01	 0.49917972E-04
  6270.0000    	  6271.0000    	-0.25521251E-01	 0.11678124E-03
  6271.0000    	  6272.0000    	-0.33606351E-01	 0.12061415E-03
  6272.0000    	  6273.0000    	-0.41676473E-01	 0.10026122E-03
  6273.0000    	  6274.0000    	-0.50789639E-01	 0.98950866E-04
  6274.0000    	  6275.0000    	-0.59516720E-01	 0.10217135E-03
  6275.0000    	  6276.0000    	-0.67245450E-01	 0.10157467E-03
  6276.0000    	  6277.0000    	-0.73085234E-01	 0.10142979E-03
  6277.0000    	  6278.0000    	-0.76142711E-01	 0.10086688E-03
  6278.0000    	  6279.0000    	-0.75839850E-01	 0.10390496E-03
  6279.0000    	  6280.0000    	-0.71920813E-01	 0.96572591E-04
  6280.0000    	  6281.0000    	-0.64087736E-01	 0.88277964E-04
  6281.0000    	  6282.0000    	-0.54118906E-01	 0.84193525E-04
  6282.0000    	  6283.0000    	-0.42110261E-01	 0.78781094E-04
  6283.0000    	  6284.0000    	-0.29662927E-01	 0.68128983E-04
  6284.0000    	  6285.0000    	-0.17591270E-01	 0.63347280E-04
  6285.0000    	  6286.0000    	-0.68896517E-02	 0.59293123E-04
  6286.0000    	  6287.0000    	 0.16784085E-02	 0.55574100E-04
  6287.0000    	  6288.0000    	 0.76600650E-02	 0.57358590E-04
  6288.0000    	  6289.0000    	 0.11320918E-01	 0.53693685E-04
  6289.0000    	  6290.0000    	 0.12552724E-01	 0.50816404E-04
  6290.0000    	  6291.0000    	 0.12062461E-01	 0.54948909E-04
  6291.0000    	  6292.0000    	 0.10500162E-01	 0.47020260E-04
  6292.0000    	  6293.0000    	-0.25131430E-01	 0.11839864E-03
  6293.0000    	  6294.0000    	-0.32908047E-01	 0.10147848E-03
  6294.0000    	  6295.0000    	-0.41454204E-01	 0.97088877E-04
  6295.0000    	  6296.0000    	-0.50142649E-01	 0.95392886E-04
  6296.0000    	  6297.0000    	-0.58685591E-01	 0.96901090E-04
  6297.0000    	  6298.0000    	-0.66396799E-01	 0.97330107E-04
  6298.0000    	  6299.0000    	-0.72305998E-01	 0.10009785E-03
  6299.0000    	  6300.0000    	-0.75233624E-01	 0.10175212E-03
  6300.0000    	  6301.0000    	-0.74858190E-01	 0.95495242E-04
  6301.0000    	  6302.0000    	-0.70914558E-01	 0.91494183E-04
  6302.0000    	  6303.0000    	-0.63571988E-01	 0.86795521E-04
  6303.0000    	  6304.0000    	-0.53394224E-01	 0.80898793E-04
  6304.0000    	  6305.0000    	-0.41769584E-01	 0.73682863E-04
  6305.0000    	  6306.0000    	-0.29415932E-01	 0.67158524E-04
  6306.0000    	  6307.0000    	-0.17573493E-01	 0.62695672E-04
  6307.0000    	  6308.0000    	-0.69894085E-02	 0.58942756E-04
  6308.0000    	  6309.0000    	 0.12591350E-02	 0.56964950E-04
  6309.0000    	  6310.0000    	 0.74307409E-02	 0.57331024E-04
  6310.0000    	  6311.0000    	 0.11008106E-01	 0.53490878E-04
  6311.0000    	  6312.0000    	 0.12422270E-01	 0.51584370E-04
  6312.0000    	  6313.0000    	 0.11962836E-01	 0.46377876E-04
  6313.0000    	  6314.0000    	 0.10330202E-01	 0.46853651E-04
  6314.0000    	  6315.0000    	-0.25133639E-01	 0.10606618E-03
  6315.0000    	  6316.0000    	-0.32681424E-01	 0.98919925E-04
  6316.0000    	  6317.0000    	-0.40877062E-01	 0.95160934E-04
  6317.0000    	  6318.0000    	-0.49554371E-01	 0.99810862E-04
  6318.0000    	  6319.0000    	-0.57950277E-01	 0.95155815E-04
  6319.0000    	  6320.0000    	-0.65500010E-01	 0.93378973E-04
  6320.0000    	  6321.0000    	-0.71295151E-01	 0.95855240E-04
  6321.0000    	  6322.0000    	-0.74424512E-01	 0.95947840E-04
  6322.0000    	  6323.0000    	-0.74033731E-01	 0.92750515E-04
  6323.0000    	  6324.0000    	-0.70098998E-01	 0.90373029E-04
  6324.0000    	  6325.0000    	-0.63042531E-01	 0.85762327E-04
