# xi0
# underflow	 -66.718047    	 0.10566977    
# overflow	 -28.030700    	 0.25040622E-01
# sum	 -2023.2473    	 0.30831378    
# xmin	xmax	cross	numerror
  0.0000000    	  1.0000000    	 -10.444497    	 0.14733039E-01
  1.0000000    	  2.0000000    	 -10.400997    	 0.14393641E-01
  2.0000000    	  3.0000000    	 -10.191656    	 0.14106245E-01
  3.0000000    	  4.0000000    	 -9.8103943    	 0.14016679E-01
  4.0000000    	  5.0000000    	 -9.2595746    	 0.13477538E-01
  5.0000000    	  6.0000000    	 -8.5514915    	 0.12939440E-01
  6.0000000    	  7.0000000    	 -7.7064937    	 0.12455935E-01
  7.0000000    	  8.0000000    	 -6.7098137    	 0.12015550E-01
  8.0000000    	  9.0000000    	 -5.5810395    	 0.11612535E-01
  9.0000000    	  10.000000    	 -4.3275818    	 0.11339511E-01
  10.000000    	  11.000000    	 -3.0057046    	 0.11395987E-01
  11.000000    	  12.000000    	 -1.6003949    	 0.11656283E-01
  12.000000    	  13.000000    	-0.16714419    	 0.12043773E-01
  13.000000    	  14.000000    	  1.2932992    	 0.12793572E-01
  14.000000    	  15.000000    	  2.7381403    	 0.12951355E-01
  15.000000    	  16.000000    	  4.1374352    	 0.13761155E-01
  16.000000    	  17.000000    	  5.4758656    	 0.14581875E-01
  17.000000    	  18.000000    	  6.6949674    	 0.15863230E-01
  18.000000    	  19.000000    	  7.8232945    	 0.16520508E-01
  19.000000    	  20.000000    	  8.7556958    	 0.17353486E-01
  20.000000    	  21.000000    	  9.5369747    	 0.18514061E-01
  21.000000    	  22.000000    	  10.090509    	 0.19108675E-01
  22.000000    	  23.000000    	 -10.021957    	 0.13699841E-01
  23.000000    	  24.000000    	 -10.025671    	 0.13592597E-01
  24.000000    	  25.000000    	 -9.8556443    	 0.13291021E-01
  25.000000    	  26.000000    	 -9.5046165    	 0.13259408E-01
  26.000000    	  27.000000    	 -8.9978663    	 0.12620942E-01
  27.000000    	  28.000000    	 -8.3189827    	 0.12320222E-01
  28.000000    	  29.000000    	 -7.4889667    	 0.11960879E-01
  29.000000    	  30.000000    	 -6.4947064    	 0.11327338E-01
  30.000000    	  31.000000    	 -5.3861397    	 0.10982874E-01
  31.000000    	  32.000000    	 -4.1684515    	 0.10738150E-01
  32.000000    	  33.000000    	 -2.8636227    	 0.10716745E-01
  33.000000    	  34.000000    	 -1.4965347    	 0.10935326E-01
  34.000000    	  35.000000    	-0.80030424E-01	 0.11200761E-01
  35.000000    	  36.000000    	  1.3313159    	 0.11704486E-01
