# xi0
# underflow	 -478.92428    	 0.14766647    
# overflow	 -49.689310    	 0.37642333E-01
# sum	 -7156.4158    	 0.43313704    
# xmin	xmax	cross	numerror
  0.0000000    	  1.0000000    	 -5.9392563    	 0.20702637E-01
  1.0000000    	  2.0000000    	 -6.8804081    	 0.20529266E-01
  2.0000000    	  3.0000000    	 -7.8465063    	 0.20819261E-01
  3.0000000    	  4.0000000    	 -8.7614574    	 0.20376969E-01
  4.0000000    	  5.0000000    	 -9.6261028    	 0.20129854E-01
  5.0000000    	  6.0000000    	 -10.446632    	 0.19644808E-01
  6.0000000    	  7.0000000    	 -11.122788    	 0.19621523E-01
  7.0000000    	  8.0000000    	 -11.679481    	 0.19192536E-01
  8.0000000    	  9.0000000    	 -12.122355    	 0.19113940E-01
  9.0000000    	  10.000000    	 -12.424106    	 0.19152356E-01
  10.000000    	  11.000000    	 -12.561987    	 0.18964952E-01
  11.000000    	  12.000000    	 -12.554673    	 0.18991813E-01
  12.000000    	  13.000000    	 -12.429226    	 0.19217771E-01
  13.000000    	  14.000000    	 -12.131194    	 0.19143952E-01
  14.000000    	  15.000000    	 -11.672321    	 0.19196359E-01
  15.000000    	  16.000000    	 -11.136692    	 0.19539020E-01
  16.000000    	  17.000000    	 -10.455111    	 0.19646708E-01
  17.000000    	  18.000000    	 -9.6411812    	 0.20053450E-01
  18.000000    	  19.000000    	 -8.7363964    	 0.20281000E-01
  19.000000    	  20.000000    	 -7.8267208    	 0.20616903E-01
  20.000000    	  21.000000    	 -6.8737955    	 0.20777582E-01
  21.000000    	  22.000000    	 -5.9396376    	 0.20727721E-01
  22.000000    	  23.000000    	 -5.5794029    	 0.19123046E-01
  23.000000    	  24.000000    	 -6.4774563    	 0.19027051E-01
  24.000000    	  25.000000    	 -7.3568746    	 0.19374079E-01
  25.000000    	  26.000000    	 -8.2632993    	 0.18846350E-01
  26.000000    	  27.000000    	 -9.0962857    	 0.19124481E-01
  27.000000    	  28.000000    	 -9.8693399    	 0.18395041E-01
  28.000000    	  29.000000    	 -10.518590    	 0.18230176E-01
  29.000000    	  30.000000    	 -11.091379    	 0.18306825E-01
  30.000000    	  31.000000    	 -11.494312    	 0.18231651E-01
  31.000000    	  32.000000    	 -11.757519    	 0.18099851E-01
  32.000000    	  33.000000    	 -11.914161    	 0.18057510E-01
  33.000000    	  34.000000    	 -11.915475    	 0.18053967E-01
  34.000000    	  35.000000    	 -11.762056    	 0.18053868E-01
  35.000000    	  36.000000    	 -11.474662    	 0.17958171E-01
  36.000000    	  37.000000    	 -11.084049    	 0.18132486E-01
  37.000000    	  38.000000    	 -10.528131    	 0.18300610E-01
  38.000000    	  39.000000    	 -9.8719142    	 0.18480186E-01
  39.000000    	  40.000000    	 -9.0864040    	 0.18504980E-01
  40.000000    	  41.000000    	 -8.2703862    	 0.18548912E-01
  41.000000    	  42.000000    	 -7.3827489    	 0.19111989E-01
  42.000000    	  43.000000    	 -6.4695378    	 0.19050269E-01
  43.000000    	  44.000000    	 -5.5970123    	 0.19161774E-01
  44.000000    	  45.000000    	 -5.2454899    	 0.18056079E-01
  45.000000    	  46.000000    	 -6.0944707    	 0.17727728E-01
  46.000000    	  47.000000    	 -6.9866151    	 0.17812851E-01
  47.000000    	  48.000000    	 -7.8120130    	 0.17646369E-01
  48.000000    	  49.000000    	 -8.6330990    	 0.17749481E-01
  49.000000    	  50.000000    	 -9.3713106    	 0.17452606E-01
  50.000000    	  51.000000    	 -9.9902591    	 0.17457133E-01
  51.000000    	  52.000000    	 -10.508053    	 0.17285133E-01
  52.000000    	  53.000000    	 -10.902086    	 0.17122236E-01
  53.000000    	  54.000000    	 -11.176137    	 0.17172341E-01
  54.000000    	  55.000000    	 -11.306321    	 0.17155361E-01
  55.000000    	  56.000000    	 -11.300330    	 0.17067388E-01
  56.000000    	  57.000000    	 -11.173599    	 0.17150415E-01
  57.000000    	  58.000000    	 -10.906257    	 0.17211980E-01
  58.000000    	  59.000000    	 -10.530595    	 0.17345701E-01
  59.000000    	  60.000000    	 -9.9880979    	 0.17457660E-01
  60.000000    	  61.000000    	 -9.3603555    	 0.17675390E-01
  61.000000    	  62.000000    	 -8.6406509    	 0.17538380E-01
  62.000000    	  63.000000    	 -7.8302573    	 0.17832987E-01
  63.000000    	  64.000000    	 -6.9666409    	 0.17738027E-01
  64.000000    	  65.000000    	 -6.1098922    	 0.17722619E-01
  65.000000    	  66.000000    	 -5.2292962    	 0.17450016E-01
  66.000000    	  67.000000    	 -4.9540428    	 0.16484036E-01
  67.000000    	  68.000000    	 -5.7776235    	 0.16716719E-01
  68.000000    	  69.000000    	 -6.6257691    	 0.17016454E-01
  69.000000    	  70.000000    	 -7.4256536    	 0.16655211E-01
  70.000000    	  71.000000    	 -8.2118501    	 0.17689283E-01
  71.000000    	  72.000000    	 -8.8865208    	 0.16430441E-01
  72.000000    	  73.000000    	 -9.5188244    	 0.16576976E-01
  73.000000    	  74.000000    	 -10.010151    	 0.16407842E-01
  74.000000    	  75.000000    	 -10.384371    	 0.16466490E-01
  75.000000    	  76.000000    	 -10.636087    	 0.16369181E-01
  76.000000    	  77.000000    	 -10.769032    	 0.16395155E-01
  77.000000    	  78.000000    	 -10.757012    	 0.16345957E-01
  78.000000    	  79.000000    	 -10.640247    	 0.16359324E-01
  79.000000    	  80.000000    	 -10.368392    	 0.16367888E-01
  80.000000    	  81.000000    	 -10.009817    	 0.16498328E-01
  81.000000    	  82.000000    	 -9.5085940    	 0.16584359E-01
  82.000000    	  83.000000    	 -8.9090635    	 0.16584145E-01
  83.000000    	  84.000000    	 -8.1929379    	 0.16489513E-01
  84.000000    	  85.000000    	 -7.4367531    	 0.16744772E-01
  85.000000    	  86.000000    	 -6.6154714    	 0.16745336E-01
  86.000000    	  87.000000    	 -5.7943641    	 0.16758883E-01
  87.000000    	  88.000000    	 -4.9781682    	 0.16898345E-01
  88.000000    	  89.000000    	 -4.7335670    	 0.15847234E-01
  89.000000    	  90.000000    	 -5.4931646    	 0.15733607E-01
  90.000000    	  91.000000    	 -6.2834976    	 0.15842601E-01
  91.000000    	  92.000000    	 -7.0829992    	 0.15908779E-01
  92.000000    	  93.000000    	 -7.7966918    	 0.15672711E-01
  93.000000    	  94.000000    	 -8.4813168    	 0.15740842E-01
