# xi0
# underflow	  14.599668    	 0.55535233E-02
# overflow	  3.0645502    	 0.18790823E-02
# sum	  341.17579    	 0.19735181E-01
# xmin	xmax	cross	numerror
  2068.0000    	  2069.0000    	 0.80577973E-01	 0.64124803E-03
  2069.0000    	  2070.0000    	 0.11463958    	 0.58227911E-03
  2070.0000    	  2071.0000    	 0.16127250    	 0.60498509E-03
  2071.0000    	  2072.0000    	 0.21557091    	 0.62828778E-03
  2072.0000    	  2073.0000    	 0.27287982    	 0.66222164E-03
  2073.0000    	  2074.0000    	 0.33186886    	 0.69628941E-03
  2074.0000    	  2075.0000    	 0.39103557    	 0.75660345E-03
  2075.0000    	  2076.0000    	 0.44171766    	 0.78313611E-03
  2076.0000    	  2077.0000    	 0.48420429    	 0.88478944E-03
  2077.0000    	  2078.0000    	 0.51511696    	 0.95442967E-03
  2078.0000    	  2079.0000    	 0.53076714    	 0.87745396E-03
  2079.0000    	  2080.0000    	 0.53106308    	 0.87698870E-03
  2080.0000    	  2081.0000    	 0.51567544    	 0.89075033E-03
  2081.0000    	  2082.0000    	 0.48583813    	 0.83680394E-03
  2082.0000    	  2083.0000    	 0.44473928    	 0.81686221E-03
  2083.0000    	  2084.0000    	 0.39267938    	 0.73124072E-03
  2084.0000    	  2085.0000    	 0.33537386    	 0.69216142E-03
  2085.0000    	  2086.0000    	 0.27619860    	 0.63238862E-03
  2086.0000    	  2087.0000    	 0.21820905    	 0.60162228E-03
  2087.0000    	  2088.0000    	 0.16192337    	 0.57057751E-03
  2088.0000    	  2089.0000    	 0.11565091    	 0.54673595E-03
  2089.0000    	  2090.0000    	 0.79949864E-01	 0.56189413E-03
  2090.0000    	  2091.0000    	 0.80133300E-01	 0.59237805E-03
  2091.0000    	  2092.0000    	 0.11284065    	 0.57922497E-03
  2092.0000    	  2093.0000    	 0.15787730    	 0.61663326E-03
  2093.0000    	  2094.0000    	 0.20949782    	 0.62140567E-03
  2094.0000    	  2095.0000    	 0.26833427    	 0.64707344E-03
  2095.0000    	  2096.0000    	 0.32714508    	 0.68955577E-03
  2096.0000    	  2097.0000    	 0.38246180    	 0.73254090E-03
  2097.0000    	  2098.0000    	 0.43479152    	 0.77075909E-03
  2098.0000    	  2099.0000    	 0.47720324    	 0.85598407E-03
  2099.0000    	  2100.0000    	 0.50709595    	 0.84867644E-03
  2100.0000    	  2101.0000    	 0.52182826    	 0.86987771E-03
  2101.0000    	  2102.0000    	 0.52266406    	 0.87766741E-03
  2102.0000    	  2103.0000    	 0.50702565    	 0.84467762E-03
  2103.0000    	  2104.0000    	 0.47715236    	 0.79095984E-03
  2104.0000    	  2105.0000    	 0.43616333    	 0.76569265E-03
  2105.0000    	  2106.0000    	 0.38549583    	 0.70842418E-03
  2106.0000    	  2107.0000    	 0.32889970    	 0.65974616E-03
  2107.0000    	  2108.0000    	 0.27036959    	 0.61292752E-03
  2108.0000    	  2109.0000    	 0.21256057    	 0.58353974E-03
  2109.0000    	  2110.0000    	 0.15928327    	 0.55948117E-03
  2110.0000    	  2111.0000    	 0.11288381    	 0.54503424E-03
  2111.0000    	  2112.0000    	 0.77087143E-01	 0.56488382E-03
  2112.0000    	  2113.0000    	 0.77737073E-01	 0.56164791E-03
  2113.0000    	  2114.0000    	 0.10917495    	 0.56340817E-03
  2114.0000    	  2115.0000    	 0.15323596    	 0.57905598E-03
  2115.0000    	  2116.0000    	 0.20550911    	 0.60739501E-03
  2116.0000    	  2117.0000    	 0.26184401    	 0.62972454E-03
  2117.0000    	  2118.0000    	 0.31917025    	 0.66132101E-03
  2118.0000    	  2119.0000    	 0.37624302    	 0.69499298E-03
  2119.0000    	  2120.0000    	 0.42727696    	 0.74930389E-03
  2120.0000    	  2121.0000    	 0.46880240    	 0.75668573E-03
  2121.0000    	  2122.0000    	 0.49833812    	 0.82054087E-03
  2122.0000    	  2123.0000    	 0.51363039    	 0.83209631E-03
  2123.0000    	  2124.0000    	 0.51382635    	 0.81541631E-03
  2124.0000    	  2125.0000    	 0.49958519    	 0.79693549E-03
  2125.0000    	  2126.0000    	 0.47070857    	 0.85272352E-03
  2126.0000    	  2127.0000    	 0.43001840    	 0.76357153E-03
  2127.0000    	  2128.0000    	 0.37875881    	 0.68964876E-03
  2128.0000    	  2129.0000    	 0.32332812    	 0.70727484E-03
  2129.0000    	  2130.0000    	 0.26559075    	 0.63806487E-03
  2130.0000    	  2131.0000    	 0.20813191    	 0.58161770E-03
  2131.0000    	  2132.0000    	 0.15540337    	 0.55737020E-03
  2132.0000    	  2133.0000    	 0.11022638    	 0.52927377E-03
  2133.0000    	  2134.0000    	 0.75804410E-01	 0.53419884E-03
  2134.0000    	  2135.0000    	 0.76598663E-01	 0.56775179E-03
  2135.0000    	  2136.0000    	 0.10802979    	 0.56383898E-03
  2136.0000    	  2137.0000    	 0.15010140    	 0.57351411E-03
  2137.0000    	  2138.0000    	 0.20131126    	 0.59455919E-03
  2138.0000    	  2139.0000    	 0.25723803    	 0.62695081E-03
  2139.0000    	  2140.0000    	 0.31454804    	 0.66528216E-03
  2140.0000    	  2141.0000    	 0.37064379    	 0.69669493E-03
  2141.0000    	  2142.0000    	 0.41913227    	 0.71290031E-03
  2142.0000    	  2143.0000    	 0.46022777    	 0.75183331E-03
  2143.0000    	  2144.0000    	 0.49136404    	 0.76982466E-03
  2144.0000    	  2145.0000    	 0.50636512    	 0.82818231E-03
  2145.0000    	  2146.0000    	 0.50540505    	 0.76317350E-03
  2146.0000    	  2147.0000    	 0.49126517    	 0.75605467E-03
  2147.0000    	  2148.0000    	 0.46263291    	 0.74315681E-03
  2148.0000    	  2149.0000    	 0.42149285    	 0.74305365E-03
  2149.0000    	  2150.0000    	 0.37130155    	 0.65953156E-03
  2150.0000    	  2151.0000    	 0.31697368    	 0.63111523E-03
  2151.0000    	  2152.0000    	 0.25908211    	 0.59633521E-03
  2152.0000    	  2153.0000    	 0.20390257    	 0.56539649E-03
  2153.0000    	  2154.0000    	 0.15207718    	 0.54670004E-03
  2154.0000    	  2155.0000    	 0.10757144    	 0.52384235E-03
  2155.0000    	  2156.0000    	 0.73776113E-01	 0.53532174E-03
  2156.0000    	  2157.0000    	 0.75085668E-01	 0.57161467E-03
  2157.0000    	  2158.0000    	 0.10493055    	 0.54044552E-03
  2158.0000    	  2159.0000    	 0.14655511    	 0.55949508E-03
  2159.0000    	  2160.0000    	 0.19716028    	 0.58722816E-03
  2160.0000    	  2161.0000    	 0.25192985    	 0.60685012E-03
  2161.0000    	  2162.0000    	 0.30840740    	 0.64897489E-03
  2162.0000    	  2163.0000    	 0.36283763    	 0.67317887E-03
  2163.0000    	  2164.0000    	 0.41213765    	 0.73062037E-03
  2164.0000    	  2165.0000    	 0.45364164    	 0.71741166E-03
  2165.0000    	  2166.0000    	 0.48278413    	 0.72105026E-03
  2166.0000    	  2167.0000    	 0.49774412    	 0.75337973E-03
  2167.0000    	  2168.0000    	 0.49873075    	 0.72808327E-03
  2168.0000    	  2169.0000    	 0.48357123    	 0.73448359E-03
  2169.0000    	  2170.0000    	 0.45468170    	 0.69957704E-03
  2170.0000    	  2171.0000    	 0.41407881    	 0.68138108E-03
  2171.0000    	  2172.0000    	 0.36495299    	 0.64181882E-03
  2172.0000    	  2173.0000    	 0.31080698    	 0.61023438E-03
