# xi0
# underflow	  4.9493680    	 0.28842561E-02
# overflow	 0.84828378    	 0.88603969E-03
# sum	  117.52733    	 0.10142170E-01
# xmin	xmax	cross	numerror
  4048.0000    	  4049.0000    	-0.60393947E-01	 0.20188405E-03
  4049.0000    	  4050.0000    	-0.87607531E-01	 0.23992061E-03
  4050.0000    	  4051.0000    	-0.10911197    	 0.25846270E-03
  4051.0000    	  4052.0000    	-0.11954751    	 0.26166702E-03
  4052.0000    	  4053.0000    	-0.11492939    	 0.24164449E-03
  4053.0000    	  4054.0000    	-0.93428514E-01	 0.19569254E-03
  4054.0000    	  4055.0000    	-0.55955636E-01	 0.14696647E-03
  4055.0000    	  4056.0000    	-0.72841581E-02	 0.10872010E-03
  4056.0000    	  4057.0000    	 0.48474351E-01	 0.12696515E-03
  4057.0000    	  4058.0000    	 0.10685778    	 0.18400502E-03
  4058.0000    	  4059.0000    	 0.16344172    	 0.26751655E-03
  4059.0000    	  4060.0000    	 0.21387362    	 0.30143920E-03
  4060.0000    	  4061.0000    	 0.25567306    	 0.39563156E-03
  4061.0000    	  4062.0000    	 0.28356631    	 0.40907647E-03
  4062.0000    	  4063.0000    	 0.29833368    	 0.44842573E-03
  4063.0000    	  4064.0000    	 0.30103305    	 0.48998080E-03
  4064.0000    	  4065.0000    	 0.29124096    	 0.46780352E-03
  4065.0000    	  4066.0000    	 0.27428210    	 0.48308712E-03
  4066.0000    	  4067.0000    	 0.24961386    	 0.47688878E-03
  4067.0000    	  4068.0000    	 0.22009197    	 0.49195064E-03
  4068.0000    	  4069.0000    	 0.18771575    	 0.49819520E-03
  4069.0000    	  4070.0000    	 0.15761232    	 0.56654025E-03
  4070.0000    	  4071.0000    	-0.58987868E-01	 0.20022196E-03
  4071.0000    	  4072.0000    	-0.85833417E-01	 0.23481888E-03
  4072.0000    	  4073.0000    	-0.10726934    	 0.25496231E-03
  4073.0000    	  4074.0000    	-0.11779314    	 0.26176126E-03
  4074.0000    	  4075.0000    	-0.11313469    	 0.23324056E-03
  4075.0000    	  4076.0000    	-0.92111310E-01	 0.18962045E-03
  4076.0000    	  4077.0000    	-0.55906809E-01	 0.13961611E-03
  4077.0000    	  4078.0000    	-0.77507867E-02	 0.11345253E-03
  4078.0000    	  4079.0000    	 0.47212060E-01	 0.12134454E-03
  4079.0000    	  4080.0000    	 0.10459888    	 0.17171387E-03
  4080.0000    	  4081.0000    	 0.16053328    	 0.23088605E-03
  4081.0000    	  4082.0000    	 0.20982586    	 0.29140839E-03
  4082.0000    	  4083.0000    	 0.25014003    	 0.34780057E-03
  4083.0000    	  4084.0000    	 0.27853291    	 0.38407986E-03
  4084.0000    	  4085.0000    	 0.29358402    	 0.42364145E-03
  4085.0000    	  4086.0000    	 0.29529074    	 0.44715511E-03
  4086.0000    	  4087.0000    	 0.28651826    	 0.49958101E-03
  4087.0000    	  4088.0000    	 0.26841049    	 0.49100416E-03
  4088.0000    	  4089.0000    	 0.24492718    	 0.46506898E-03
  4089.0000    	  4090.0000    	 0.21546893    	 0.45973341E-03
  4090.0000    	  4091.0000    	 0.18406734    	 0.48170005E-03
  4091.0000    	  4092.0000    	 0.15518426    	 0.54626329E-03
