# xi0
# underflow	 -14.394898    	 0.73054625E-02
# overflow	 -2.3709054    	 0.19374727E-02
# sum	 -342.78040    	 0.23454300E-01
# xmin	xmax	cross	numerror
  4048.0000    	  4049.0000    	 0.29119747E-01	 0.59991903E-03
  4049.0000    	  4050.0000    	-0.19998841E-01	 0.58680473E-03
  4050.0000    	  4051.0000    	-0.90323275E-01	 0.58397813E-03
  4051.0000    	  4052.0000    	-0.17486638    	 0.63525607E-03
  4052.0000    	  4053.0000    	-0.26427978    	 0.76571864E-03
  4053.0000    	  4054.0000    	-0.35257763    	 0.90315413E-03
  4054.0000    	  4055.0000    	-0.42929990    	 0.89844297E-03
  4055.0000    	  4056.0000    	-0.49546176    	 0.95814273E-03
  4056.0000    	  4057.0000    	-0.54767375    	 0.96977826E-03
  4057.0000    	  4058.0000    	-0.58030966    	 0.10040711E-02
  4058.0000    	  4059.0000    	-0.59915757    	 0.10638348E-02
  4059.0000    	  4060.0000    	-0.59948138    	 0.10050448E-02
  4060.0000    	  4061.0000    	-0.58100041    	 0.10142091E-02
  4061.0000    	  4062.0000    	-0.54641968    	 0.10282797E-02
  4062.0000    	  4063.0000    	-0.49418595    	 0.98657009E-03
  4063.0000    	  4064.0000    	-0.42670463    	 0.89427187E-03
  4064.0000    	  4065.0000    	-0.34683930    	 0.84070561E-03
  4065.0000    	  4066.0000    	-0.25779735    	 0.78387985E-03
  4066.0000    	  4067.0000    	-0.16722261    	 0.68507872E-03
  4067.0000    	  4068.0000    	-0.82187763E-01	 0.62650774E-03
  4068.0000    	  4069.0000    	-0.11479975E-01	 0.68469760E-03
  4069.0000    	  4070.0000    	 0.39580680E-01	 0.73877890E-03
  4070.0000    	  4071.0000    	 0.31541149E-01	 0.55176345E-03
  4071.0000    	  4072.0000    	-0.18033549E-01	 0.57491298E-03
  4072.0000    	  4073.0000    	-0.87637980E-01	 0.55724964E-03
  4073.0000    	  4074.0000    	-0.16972792    	 0.64961348E-03
  4074.0000    	  4075.0000    	-0.25913927    	 0.70582052E-03
  4075.0000    	  4076.0000    	-0.34511799    	 0.87792813E-03
  4076.0000    	  4077.0000    	-0.42378005    	 0.86563349E-03
