# xi0
# underflow	-0.46496762    	 0.63232612E-03
# overflow	-0.30595144    	 0.30216000E-03
# sum	 -20.597986    	 0.27059501E-02
# xmin	xmax	cross	numerror
  6248.0000    	  6249.0000    	-0.28729015E-01	 0.14174734E-03
  6249.0000    	  6250.0000    	-0.27880126E-01	 0.10683803E-03
  6250.0000    	  6251.0000    	-0.26617642E-01	 0.85206360E-04
  6251.0000    	  6252.0000    	-0.25030719E-01	 0.70562706E-04
  6252.0000    	  6253.0000    	-0.23370404E-01	 0.58890019E-04
  6253.0000    	  6254.0000    	-0.22158569E-01	 0.55498962E-04
  6254.0000    	  6255.0000    	-0.21297390E-01	 0.54827397E-04
  6255.0000    	  6256.0000    	-0.20149677E-01	 0.56985113E-04
  6256.0000    	  6257.0000    	-0.18297868E-01	 0.62727414E-04
  6257.0000    	  6258.0000    	-0.15882952E-01	 0.62642490E-04
  6258.0000    	  6259.0000    	-0.12920077E-01	 0.65086266E-04
  6259.0000    	  6260.0000    	-0.90306391E-02	 0.66878110E-04
  6260.0000    	  6261.0000    	-0.50376691E-02	 0.69893258E-04
  6261.0000    	  6262.0000    	-0.94710176E-03	 0.72528115E-04
  6262.0000    	  6263.0000    	 0.29856685E-02	 0.75980843E-04
  6263.0000    	  6264.0000    	 0.61663696E-02	 0.81145574E-04
  6264.0000    	  6265.0000    	 0.80097706E-02	 0.85540839E-04
  6265.0000    	  6266.0000    	 0.83066919E-02	 0.96267008E-04
  6266.0000    	  6267.0000    	 0.62696010E-02	 0.90294406E-04
  6267.0000    	  6268.0000    	 0.24866213E-02	 0.81197210E-04
  6268.0000    	  6269.0000    	-0.19616315E-02	 0.71370158E-04
  6269.0000    	  6270.0000    	-0.63634953E-02	 0.68079771E-04
  6270.0000    	  6271.0000    	-0.28369437E-01	 0.12758518E-03
  6271.0000    	  6272.0000    	-0.27915292E-01	 0.10252781E-03
  6272.0000    	  6273.0000    	-0.26477323E-01	 0.81623887E-04
  6273.0000    	  6274.0000    	-0.24809079E-01	 0.66174381E-04
  6274.0000    	  6275.0000    	-0.23190469E-01	 0.57695162E-04
  6275.0000    	  6276.0000    	-0.22051038E-01	 0.54290813E-04
  6276.0000    	  6277.0000    	-0.21232359E-01	 0.53256925E-04
  6277.0000    	  6278.0000    	-0.20004370E-01	 0.55676752E-04
  6278.0000    	  6279.0000    	-0.18334472E-01	 0.57002793E-04
  6279.0000    	  6280.0000    	-0.15915290E-01	 0.59443717E-04
  6280.0000    	  6281.0000    	-0.12822757E-01	 0.65788709E-04
  6281.0000    	  6282.0000    	-0.91406371E-02	 0.65820547E-04
  6282.0000    	  6283.0000    	-0.51894508E-02	 0.67948067E-04
  6283.0000    	  6284.0000    	-0.97784762E-03	 0.71544884E-04
  6284.0000    	  6285.0000    	 0.27487652E-02	 0.75349312E-04
  6285.0000    	  6286.0000    	 0.59918729E-02	 0.79051913E-04
  6286.0000    	  6287.0000    	 0.80251193E-02	 0.81271785E-04
  6287.0000    	  6288.0000    	 0.80640192E-02	 0.80949428E-04
  6288.0000    	  6289.0000    	 0.60534677E-02	 0.79072359E-04
  6289.0000    	  6290.0000    	 0.25148897E-02	 0.73037584E-04
  6290.0000    	  6291.0000    	-0.20751850E-02	 0.71775620E-04
  6291.0000    	  6292.0000    	-0.63865562E-02	 0.69112847E-04
  6292.0000    	  6293.0000    	-0.28190718E-01	 0.12838776E-03
  6293.0000    	  6294.0000    	-0.27673084E-01	 0.99411563E-04
  6294.0000    	  6295.0000    	-0.26336842E-01	 0.79389187E-04
  6295.0000    	  6296.0000    	-0.24677139E-01	 0.65763844E-04
  6296.0000    	  6297.0000    	-0.23099061E-01	 0.57349071E-04
  6297.0000    	  6298.0000    	-0.22013914E-01	 0.53165980E-04
  6298.0000    	  6299.0000    	-0.21210192E-01	 0.51406485E-04
  6299.0000    	  6300.0000    	-0.19929368E-01	 0.53467725E-04
  6300.0000    	  6301.0000    	-0.18246829E-01	 0.57212820E-04
  6301.0000    	  6302.0000    	-0.15892106E-01	 0.58062184E-04
  6302.0000    	  6303.0000    	-0.12756125E-01	 0.62050313E-04
  6303.0000    	  6304.0000    	-0.92074553E-02	 0.64756855E-04
  6304.0000    	  6305.0000    	-0.51579650E-02	 0.67529128E-04
  6305.0000    	  6306.0000    	-0.11098819E-02	 0.70285256E-04
  6306.0000    	  6307.0000    	 0.27442255E-02	 0.74186442E-04
  6307.0000    	  6308.0000    	 0.58382744E-02	 0.77733048E-04
  6308.0000    	  6309.0000    	 0.77571535E-02	 0.79687979E-04
  6309.0000    	  6310.0000    	 0.79384994E-02	 0.81057361E-04
  6310.0000    	  6311.0000    	 0.59566411E-02	 0.79370632E-04
  6311.0000    	  6312.0000    	 0.24866529E-02	 0.68814530E-04
  6312.0000    	  6313.0000    	-0.19449040E-02	 0.66182829E-04
  6313.0000    	  6314.0000    	-0.64401656E-02	 0.65739043E-04
  6314.0000    	  6315.0000    	-0.28078935E-01	 0.11812255E-03
  6315.0000    	  6316.0000    	-0.27484209E-01	 0.97671099E-04
  6316.0000    	  6317.0000    	-0.26134482E-01	 0.78135167E-04
  6317.0000    	  6318.0000    	-0.24613399E-01	 0.67371196E-04
  6318.0000    	  6319.0000    	-0.22923574E-01	 0.58055197E-04
  6319.0000    	  6320.0000    	-0.21928739E-01	 0.51876856E-04
  6320.0000    	  6321.0000    	-0.20981065E-01	 0.51867318E-04
  6321.0000    	  6322.0000    	-0.19926230E-01	 0.51757392E-04
  6322.0000    	  6323.0000    	-0.18150182E-01	 0.54951345E-04
  6323.0000    	  6324.0000    	-0.15769509E-01	 0.60755730E-04
  6324.0000    	  6325.0000    	-0.12818085E-01	 0.62580622E-04
  6325.0000    	  6326.0000    	-0.92449009E-02	 0.64101116E-04
  6326.0000    	  6327.0000    	-0.52946907E-02	 0.67127503E-04
  6327.0000    	  6328.0000    	-0.12392199E-02	 0.70300188E-04
  6328.0000    	  6329.0000    	 0.24734212E-02	 0.72734193E-04
  6329.0000    	  6330.0000    	 0.57133032E-02	 0.77202255E-04
  6330.0000    	  6331.0000    	 0.76376455E-02	 0.78375836E-04
  6331.0000    	  6332.0000    	 0.76469788E-02	 0.78803409E-04
  6332.0000    	  6333.0000    	 0.56975954E-02	 0.74243392E-04
  6333.0000    	  6334.0000    	 0.22480966E-02	 0.69380889E-04
  6334.0000    	  6335.0000    	-0.21255702E-02	 0.65630725E-04
  6335.0000    	  6336.0000    	-0.63878400E-02	 0.65479753E-04
  6336.0000    	  6337.0000    	-0.27777866E-01	 0.11650576E-03
  6337.0000    	  6338.0000    	-0.27336887E-01	 0.98470054E-04
  6338.0000    	  6339.0000    	-0.25999409E-01	 0.78443070E-04
  6339.0000    	  6340.0000    	-0.24352059E-01	 0.65014275E-04
  6340.0000    	  6341.0000    	-0.22746258E-01	 0.55943899E-04
  6341.0000    	  6342.0000    	-0.21852179E-01	 0.50754035E-04
  6342.0000    	  6343.0000    	-0.20952558E-01	 0.51448829E-04
  6343.0000    	  6344.0000    	-0.19773738E-01	 0.51883980E-04
  6344.0000    	  6345.0000    	-0.18148967E-01	 0.54374029E-04
  6345.0000    	  6346.0000    	-0.15767423E-01	 0.57377046E-04
  6346.0000    	  6347.0000    	-0.12852306E-01	 0.60197389E-04
