# xi0
# underflow	  7159.8492    	 0.52043931    
# overflow	  560.80144    	 0.10763476    
# sum	  103252.78    	  1.5323895    
# xmin	xmax	cross	numerror
  0.0000000    	  1.0000000    	  118.55181    	 0.71803452E-01
  1.0000000    	  2.0000000    	  126.90466    	 0.70886153E-01
  2.0000000    	  3.0000000    	  134.78403    	 0.70098110E-01
  3.0000000    	  4.0000000    	  142.05099    	 0.70300817E-01
  4.0000000    	  5.0000000    	  148.62396    	 0.70364612E-01
  5.0000000    	  6.0000000    	  154.25430    	 0.70462710E-01
  6.0000000    	  7.0000000    	  159.03929    	 0.70717896E-01
  7.0000000    	  8.0000000    	  162.86169    	 0.71016515E-01
  8.0000000    	  9.0000000    	  165.69066    	 0.71441558E-01
  9.0000000    	  10.000000    	  167.58667    	 0.71641580E-01
  10.000000    	  11.000000    	  168.48483    	 0.71632724E-01
  11.000000    	  12.000000    	  168.38074    	 0.71904450E-01
  12.000000    	  13.000000    	  167.54182    	 0.71599217E-01
  13.000000    	  14.000000    	  165.76602    	 0.71487445E-01
  14.000000    	  15.000000    	  162.84721    	 0.70749237E-01
  15.000000    	  16.000000    	  159.14570    	 0.70623225E-01
  16.000000    	  17.000000    	  154.33600    	 0.69987036E-01
  17.000000    	  18.000000    	  148.70153    	 0.70145719E-01
  18.000000    	  19.000000    	  142.12075    	 0.69907347E-01
  19.000000    	  20.000000    	  134.98483    	 0.69705319E-01
  20.000000    	  21.000000    	  127.10521    	 0.70659034E-01
  21.000000    	  22.000000    	  118.73946    	 0.71748726E-01
  22.000000    	  23.000000    	  111.15694    	 0.67389330E-01
  23.000000    	  24.000000    	  119.37787    	 0.66316065E-01
  24.000000    	  25.000000    	  127.19398    	 0.65965785E-01
  25.000000    	  26.000000    	  134.47282    	 0.66095528E-01
  26.000000    	  27.000000    	  140.98111    	 0.65894850E-01
  27.000000    	  28.000000    	  146.66921    	 0.66028416E-01
  28.000000    	  29.000000    	  151.55239    	 0.66391127E-01
  29.000000    	  30.000000    	  155.42827    	 0.66867941E-01
  30.000000    	  31.000000    	  158.30167    	 0.67449103E-01
  31.000000    	  32.000000    	  160.11824    	 0.67433408E-01
  32.000000    	  33.000000    	  161.00577    	 0.67373502E-01
  33.000000    	  34.000000    	  161.01994    	 0.67711074E-01
  34.000000    	  35.000000    	  160.10876    	 0.67319363E-01
  35.000000    	  36.000000    	  158.19894    	 0.67034222E-01
  36.000000    	  37.000000    	  155.39276    	 0.66824709E-01
  37.000000    	  38.000000    	  151.52608    	 0.66174992E-01
  38.000000    	  39.000000    	  146.68718    	 0.66136102E-01
  39.000000    	  40.000000    	  140.99060    	 0.65644455E-01
  40.000000    	  41.000000    	  134.51956    	 0.66321476E-01
  41.000000    	  42.000000    	  127.22153    	 0.65552848E-01
  42.000000    	  43.000000    	  119.43135    	 0.66326425E-01
  43.000000    	  44.000000    	  111.26824    	 0.68482426E-01
  44.000000    	  45.000000    	  104.46719    	 0.63286692E-01
  45.000000    	  46.000000    	  112.63591    	 0.62899451E-01
  46.000000    	  47.000000    	  120.34798    	 0.62218737E-01
  47.000000    	  48.000000    	  127.48692    	 0.62164505E-01
  48.000000    	  49.000000    	  134.06390    	 0.62685842E-01
  49.000000    	  50.000000    	  139.74278    	 0.62761150E-01
  50.000000    	  51.000000    	  144.59098    	 0.63232723E-01
  51.000000    	  52.000000    	  148.45675    	 0.63539608E-01
  52.000000    	  53.000000    	  151.35919    	 0.63765300E-01
  53.000000    	  54.000000    	  153.28295    	 0.64044419E-01
  54.000000    	  55.000000    	  154.19265    	 0.63988624E-01
  55.000000    	  56.000000    	  154.20363    	 0.64052817E-01
  56.000000    	  57.000000    	  153.24281    	 0.63861520E-01
  57.000000    	  58.000000    	  151.21785    	 0.63436220E-01
  58.000000    	  59.000000    	  148.36956    	 0.63287959E-01
  59.000000    	  60.000000    	  144.45157    	 0.62889216E-01
  60.000000    	  61.000000    	  139.70305    	 0.62651568E-01
  61.000000    	  62.000000    	  133.87410    	 0.62125550E-01
  62.000000    	  63.000000    	  127.38975    	 0.61790027E-01
  63.000000    	  64.000000    	  120.26981    	 0.61967446E-01
  64.000000    	  65.000000    	  112.55291    	 0.62693520E-01
  65.000000    	  66.000000    	  104.37731    	 0.63096397E-01
  66.000000    	  67.000000    	  98.459921    	 0.59821046E-01
  67.000000    	  68.000000    	  106.42933    	 0.59160456E-01
  68.000000    	  69.000000    	  114.12148    	 0.58937052E-01
  69.000000    	  70.000000    	  121.13053    	 0.59074500E-01
  70.000000    	  71.000000    	  127.59310    	 0.59011611E-01
  71.000000    	  72.000000    	  133.34852    	 0.59604999E-01
  72.000000    	  73.000000    	  138.19808    	 0.60153229E-01
  73.000000    	  74.000000    	  142.13630    	 0.60401250E-01
  74.000000    	  75.000000    	  144.94810    	 0.60579125E-01
  75.000000    	  76.000000    	  146.83976    	 0.60833734E-01
  76.000000    	  77.000000    	  147.75596    	 0.60861226E-01
  77.000000    	  78.000000    	  147.76275    	 0.60896001E-01
  78.000000    	  79.000000    	  146.74312    	 0.60747411E-01
  79.000000    	  80.000000    	  144.82575    	 0.60474541E-01
  80.000000    	  81.000000    	  141.91051    	 0.60183783E-01
  81.000000    	  82.000000    	  138.06856    	 0.59993770E-01
  82.000000    	  83.000000    	  133.14504    	 0.59527019E-01
