# xi3
# underflow	 -11008.352    	  4.7576068    
# overflow	 -12.769231    	 0.45783779    
# sum	 -13100.062    	  7.0197349    
# xmin	xmax	cross	numerror
  0.0000000    	  1.0000000    	 -7.4609238    	 0.36443977    
  1.0000000    	  2.0000000    	 -7.1617981    	 0.34538805    
  2.0000000    	  3.0000000    	 -6.8252337    	 0.35508810    
  3.0000000    	  4.0000000    	 -6.8687434    	 0.32197443    
  4.0000000    	  5.0000000    	 -7.1664111    	 0.33009738    
  5.0000000    	  6.0000000    	 -7.2277563    	 0.28738748    
  6.0000000    	  7.0000000    	 -6.0150147    	 0.29395599    
  7.0000000    	  8.0000000    	 -6.3992005    	 0.27849227    
  8.0000000    	  9.0000000    	 -5.8154218    	 0.25050668    
  9.0000000    	  10.000000    	 -5.3713124    	 0.24690520    
  10.000000    	  11.000000    	 -4.6366088    	 0.24049897    
  11.000000    	  12.000000    	 -6.6576848    	 0.31891428    
  12.000000    	  13.000000    	 -7.0046149    	 0.34523468    
  13.000000    	  14.000000    	 -7.0629113    	 0.35284337    
  14.000000    	  15.000000    	 -6.9383813    	 0.32542632    
  15.000000    	  16.000000    	 -6.6960192    	 0.29851104    
  16.000000    	  17.000000    	 -6.7257942    	 0.28506457    
  17.000000    	  18.000000    	 -6.3600894    	 0.27174057    
  18.000000    	  19.000000    	 -5.6775240    	 0.27504667    
  19.000000    	  20.000000    	 -5.3963901    	 0.24378409    
  20.000000    	  21.000000    	 -4.9359555    	 0.22352806    
  21.000000    	  22.000000    	 -4.6903888    	 0.21996954    
  22.000000    	  23.000000    	 -7.4435101    	 0.30361156    
  23.000000    	  24.000000    	 -6.7594624    	 0.36187358    
  24.000000    	  25.000000    	 -6.9846105    	 0.32921877    
  25.000000    	  26.000000    	 -6.6545425    	 0.31144908    
  26.000000    	  27.000000    	 -6.2751161    	 0.27983133    
  27.000000    	  28.000000    	 -6.3045274    	 0.26797532    
  28.000000    	  29.000000    	 -5.8454843    	 0.26072333    
