# xi0
# underflow	 -80.221863    	 0.12196472    
# overflow	-0.13268434    	 0.46405179E-02
# sum	 -87.754326    	 0.12723062    
# xmin	xmax	cross	numerror
  2024.0000    	  2025.0000    	-0.13385883E-01	 0.12506678E-02
  2025.0000    	  2026.0000    	-0.12921682E-01	 0.13647028E-02
  2026.0000    	  2027.0000    	-0.90281700E-02	 0.15174574E-02
  2027.0000    	  2028.0000    	-0.83770448E-02	 0.13344478E-02
  2028.0000    	  2029.0000    	-0.84669942E-02	 0.15579418E-02
  2029.0000    	  2030.0000    	-0.39499161E-02	 0.15014751E-02
  2030.0000    	  2031.0000    	-0.45053075E-02	 0.14311584E-02
  2031.0000    	  2032.0000    	-0.43209589E-02	 0.11168363E-02
  2032.0000    	  2033.0000    	-0.42186390E-02	 0.99242674E-03
  2033.0000    	  2034.0000    	-0.49324409E-02	 0.99168012E-03
  2034.0000    	  2035.0000    	-0.59407913E-02	 0.10193478E-02
  2035.0000    	  2036.0000    	-0.11238879E-01	 0.11962637E-02
  2036.0000    	  2037.0000    	-0.10666224E-01	 0.13328603E-02
  2037.0000    	  2038.0000    	-0.11815648E-01	 0.14377084E-02
  2038.0000    	  2039.0000    	-0.97058867E-02	 0.14263724E-02
  2039.0000    	  2040.0000    	-0.61189163E-02	 0.16192700E-02
  2040.0000    	  2041.0000    	-0.48340879E-02	 0.14954164E-02
  2041.0000    	  2042.0000    	-0.48998197E-02	 0.15149725E-02
  2042.0000    	  2043.0000    	-0.33154316E-02	 0.10933437E-02
  2043.0000    	  2044.0000    	-0.52641069E-02	 0.10531714E-02
  2044.0000    	  2045.0000    	-0.39408953E-02	 0.10304931E-02
  2045.0000    	  2046.0000    	-0.42888261E-02	 0.10487131E-02
  2046.0000    	  2047.0000    	-0.12965029E-01	 0.12766057E-02
  2047.0000    	  2048.0000    	-0.10682956E-01	 0.13440725E-02
  2048.0000    	  2049.0000    	-0.10058589E-01	 0.13257240E-02
  2049.0000    	  2050.0000    	-0.95331107E-02	 0.15220243E-02
  2050.0000    	  2051.0000    	-0.73703084E-02	 0.16589358E-02
  2051.0000    	  2052.0000    	-0.53787918E-02	 0.16000933E-02
  2052.0000    	  2053.0000    	-0.30545967E-02	 0.12873319E-02
  2053.0000    	  2054.0000    	-0.28993062E-02	 0.10653764E-02
  2054.0000    	  2055.0000    	-0.45194274E-02	 0.10550292E-02
  2055.0000    	  2056.0000    	-0.37980959E-02	 0.10802258E-02
  2056.0000    	  2057.0000    	-0.51375727E-02	 0.10961395E-02
  2057.0000    	  2058.0000    	-0.10430582E-01	 0.12961100E-02
  2058.0000    	  2059.0000    	-0.11075931E-01	 0.13946771E-02
  2059.0000    	  2060.0000    	-0.10513315E-01	 0.12818791E-02
  2060.0000    	  2061.0000    	-0.73484800E-02	 0.16427653E-02
  2061.0000    	  2062.0000    	-0.73847648E-02	 0.13664804E-02
  2062.0000    	  2063.0000    	-0.59016076E-02	 0.14175017E-02
  2063.0000    	  2064.0000    	-0.43348900E-02	 0.12881529E-02
  2064.0000    	  2065.0000    	-0.48384990E-02	 0.11209112E-02
  2065.0000    	  2066.0000    	-0.25703542E-02	 0.10847827E-02
  2066.0000    	  2067.0000    	-0.45710968E-02	 0.10621727E-02
  2067.0000    	  2068.0000    	-0.58632767E-02	 0.11394903E-02
  2068.0000    	  2069.0000    	-0.11576940E-01	 0.11028339E-02
  2069.0000    	  2070.0000    	-0.10420652E-01	 0.12163217E-02
  2070.0000    	  2071.0000    	-0.10977572E-01	 0.14545333E-02
  2071.0000    	  2072.0000    	-0.10416017E-01	 0.14912894E-02
  2072.0000    	  2073.0000    	-0.64647583E-02	 0.13625340E-02
  2073.0000    	  2074.0000    	-0.68776897E-02	 0.14128599E-02
  2074.0000    	  2075.0000    	-0.61122398E-02	 0.14237099E-02
  2075.0000    	  2076.0000    	-0.25171683E-02	 0.10796835E-02
  2076.0000    	  2077.0000    	-0.52432366E-02	 0.10716268E-02
  2077.0000    	  2078.0000    	-0.53629083E-02	 0.96117314E-03
  2078.0000    	  2079.0000    	-0.42941429E-02	 0.11697218E-02
  2079.0000    	  2080.0000    	-0.11155082E-01	 0.12655071E-02
  2080.0000    	  2081.0000    	-0.12039279E-01	 0.12022787E-02
  2081.0000    	  2082.0000    	-0.98673227E-02	 0.13139459E-02
  2082.0000    	  2083.0000    	-0.70816819E-02	 0.14006760E-02
  2083.0000    	  2084.0000    	-0.74876134E-02	 0.14971595E-02
  2084.0000    	  2085.0000    	-0.51713159E-02	 0.15645332E-02
  2085.0000    	  2086.0000    	-0.22453764E-02	 0.12295182E-02
  2086.0000    	  2087.0000    	-0.38010615E-02	 0.11278247E-02
  2087.0000    	  2088.0000    	-0.37269503E-02	 0.11075330E-02
  2088.0000    	  2089.0000    	-0.45747888E-02	 0.93516409E-03
  2089.0000    	  2090.0000    	-0.50033152E-02	 0.12055195E-02
  2090.0000    	  2091.0000    	-0.12155340E-01	 0.11732669E-02
  2091.0000    	  2092.0000    	-0.10736379E-01	 0.11131302E-02
  2092.0000    	  2093.0000    	-0.10625259E-01	 0.13003875E-02
  2093.0000    	  2094.0000    	-0.87350971E-02	 0.16765780E-02
  2094.0000    	  2095.0000    	-0.75836319E-02	 0.14834146E-02
  2095.0000    	  2096.0000    	-0.39163692E-02	 0.14046115E-02
  2096.0000    	  2097.0000    	-0.47143175E-02	 0.12217813E-02
  2097.0000    	  2098.0000    	-0.54968105E-02	 0.11914159E-02
  2098.0000    	  2099.0000    	-0.23816630E-02	 0.10335535E-02
  2099.0000    	  2100.0000    	-0.57956690E-02	 0.10211431E-02
  2100.0000    	  2101.0000    	-0.65376831E-02	 0.11594882E-02
  2101.0000    	  2102.0000    	-0.10449725E-01	 0.10800097E-02
  2102.0000    	  2103.0000    	-0.12072301E-01	 0.11550216E-02
  2103.0000    	  2104.0000    	-0.89643191E-02	 0.12700390E-02
  2104.0000    	  2105.0000    	-0.63383614E-02	 0.15976022E-02
