# xi0
# underflow	 -234.30954    	 0.33960324    
# overflow	-0.34912801    	 0.14182407E-01
# sum	 -267.46156    	 0.37346455    
# xmin	xmax	cross	numerror
  2024.0000    	  2025.0000    	-0.64235673E-01	 0.90108289E-02
  2025.0000    	  2026.0000    	-0.96369950E-01	 0.89047447E-02
  2026.0000    	  2027.0000    	-0.76265842E-01	 0.86828616E-02
  2027.0000    	  2028.0000    	-0.63356477E-01	 0.72405166E-02
  2028.0000    	  2029.0000    	-0.68963570E-01	 0.72319674E-02
  2029.0000    	  2030.0000    	-0.57430295E-01	 0.63733381E-02
  2030.0000    	  2031.0000    	-0.53012333E-01	 0.59572697E-02
  2031.0000    	  2032.0000    	-0.40408670E-01	 0.44741752E-02
  2032.0000    	  2033.0000    	-0.30501196E-01	 0.39048827E-02
  2033.0000    	  2034.0000    	-0.24559983E-01	 0.32312078E-02
  2034.0000    	  2035.0000    	-0.17391357E-01	 0.23636271E-02
  2035.0000    	  2036.0000    	-0.88647215E-01	 0.84575582E-02
  2036.0000    	  2037.0000    	-0.59002730E-01	 0.85002210E-02
  2037.0000    	  2038.0000    	-0.83972017E-01	 0.85029893E-02
  2038.0000    	  2039.0000    	-0.81307541E-01	 0.77340577E-02
  2039.0000    	  2040.0000    	-0.65608182E-01	 0.68270108E-02
  2040.0000    	  2041.0000    	-0.53483087E-01	 0.61741537E-02
  2041.0000    	  2042.0000    	-0.35795794E-01	 0.61511582E-02
  2042.0000    	  2043.0000    	-0.34407107E-01	 0.46496667E-02
  2043.0000    	  2044.0000    	-0.26477622E-01	 0.36840695E-02
  2044.0000    	  2045.0000    	-0.17893305E-01	 0.31321479E-02
  2045.0000    	  2046.0000    	-0.15172915E-01	 0.24102903E-02
  2046.0000    	  2047.0000    	-0.85034499E-01	 0.85181772E-02
  2047.0000    	  2048.0000    	-0.62831410E-01	 0.88712347E-02
  2048.0000    	  2049.0000    	-0.71282638E-01	 0.80695364E-02
  2049.0000    	  2050.0000    	-0.56313879E-01	 0.77913049E-02
  2050.0000    	  2051.0000    	-0.47371005E-01	 0.67896142E-02
  2051.0000    	  2052.0000    	-0.37163684E-01	 0.66851995E-02
  2052.0000    	  2053.0000    	-0.45225983E-01	 0.56973420E-02
  2053.0000    	  2054.0000    	-0.35830776E-01	 0.42591578E-02
  2054.0000    	  2055.0000    	-0.31186159E-01	 0.41390902E-02
  2055.0000    	  2056.0000    	-0.17856454E-01	 0.32741570E-02
  2056.0000    	  2057.0000    	-0.13670285E-01	 0.25736352E-02
  2057.0000    	  2058.0000    	-0.82376609E-01	 0.82286145E-02
  2058.0000    	  2059.0000    	-0.76713292E-01	 0.89904870E-02
  2059.0000    	  2060.0000    	-0.71889398E-01	 0.75583272E-02
  2060.0000    	  2061.0000    	-0.68888227E-01	 0.78947173E-02
  2061.0000    	  2062.0000    	-0.67472368E-01	 0.66532909E-02
  2062.0000    	  2063.0000    	-0.51558370E-01	 0.64324182E-02
  2063.0000    	  2064.0000    	-0.47494860E-01	 0.53701445E-02
  2064.0000    	  2065.0000    	-0.38304978E-01	 0.44586901E-02
  2065.0000    	  2066.0000    	-0.24270310E-01	 0.42133248E-02
  2066.0000    	  2067.0000    	-0.18156633E-01	 0.31105067E-02
  2067.0000    	  2068.0000    	-0.14820024E-01	 0.24119521E-02
  2068.0000    	  2069.0000    	-0.82193176E-01	 0.84022562E-02
  2069.0000    	  2070.0000    	-0.92863140E-01	 0.84767226E-02
  2070.0000    	  2071.0000    	-0.76726903E-01	 0.81432826E-02
  2071.0000    	  2072.0000    	-0.61788485E-01	 0.70202050E-02
  2072.0000    	  2073.0000    	-0.52156836E-01	 0.64165534E-02
  2073.0000    	  2074.0000    	-0.50796905E-01	 0.59726114E-02
  2074.0000    	  2075.0000    	-0.50294511E-01	 0.54928623E-02
  2075.0000    	  2076.0000    	-0.31466567E-01	 0.41893691E-02
  2076.0000    	  2077.0000    	-0.25601888E-01	 0.41535549E-02
