# xi0
# underflow	 -25.036982    	 0.45358026E-01
# overflow	-0.47436493E-01	 0.17975033E-02
# sum	 -27.626535    	 0.46861434E-01
# xmin	xmax	cross	numerror
  3124.0000    	  3125.0000    	-0.40927513E-02	 0.47835704E-03
  3125.0000    	  3126.0000    	-0.34330829E-02	 0.39279407E-03
  3126.0000    	  3127.0000    	-0.47688215E-02	 0.42523568E-03
  3127.0000    	  3128.0000    	-0.33732339E-02	 0.38362221E-03
  3128.0000    	  3129.0000    	-0.29678027E-02	 0.42008368E-03
  3129.0000    	  3130.0000    	-0.31193617E-02	 0.40299403E-03
  3130.0000    	  3131.0000    	-0.21175596E-02	 0.37949918E-03
  3131.0000    	  3132.0000    	-0.28003280E-02	 0.43273227E-03
  3132.0000    	  3133.0000    	-0.18255732E-02	 0.49587847E-03
  3133.0000    	  3134.0000    	-0.24696712E-02	 0.43750545E-03
  3134.0000    	  3135.0000    	-0.10406448E-02	 0.29475863E-03
  3135.0000    	  3136.0000    	-0.46742352E-02	 0.45757450E-03
  3136.0000    	  3137.0000    	-0.51032396E-02	 0.41612547E-03
  3137.0000    	  3138.0000    	-0.32602216E-02	 0.40947587E-03
  3138.0000    	  3139.0000    	-0.20973690E-02	 0.33080212E-03
  3139.0000    	  3140.0000    	-0.26516616E-02	 0.35020680E-03
  3140.0000    	  3141.0000    	-0.19081091E-02	 0.38690304E-03
  3141.0000    	  3142.0000    	-0.27487496E-02	 0.37140051E-03
  3142.0000    	  3143.0000    	-0.30445742E-02	 0.41262986E-03
  3143.0000    	  3144.0000    	-0.26625577E-02	 0.46974741E-03
  3144.0000    	  3145.0000    	-0.28952484E-02	 0.49736443E-03
  3145.0000    	  3146.0000    	-0.12034286E-02	 0.25889070E-03
  3146.0000    	  3147.0000    	-0.45396310E-02	 0.40461695E-03
  3147.0000    	  3148.0000    	-0.37010082E-02	 0.41577475E-03
  3148.0000    	  3149.0000    	-0.38398708E-02	 0.42300122E-03
  3149.0000    	  3150.0000    	-0.36662076E-02	 0.38604204E-03
  3150.0000    	  3151.0000    	-0.28681116E-02	 0.37256795E-03
  3151.0000    	  3152.0000    	-0.31430999E-02	 0.36926731E-03
  3152.0000    	  3153.0000    	-0.28126831E-02	 0.37303848E-03
  3153.0000    	  3154.0000    	-0.24435087E-02	 0.39490118E-03
  3154.0000    	  3155.0000    	-0.20137225E-02	 0.41459689E-03
  3155.0000    	  3156.0000    	-0.14160489E-02	 0.27597470E-03
  3156.0000    	  3157.0000    	-0.21274199E-02	 0.49984545E-03
  3157.0000    	  3158.0000    	-0.44623244E-02	 0.43972540E-03
  3158.0000    	  3159.0000    	-0.41380983E-02	 0.41057866E-03
  3159.0000    	  3160.0000    	-0.36091498E-02	 0.42612237E-03
  3160.0000    	  3161.0000    	-0.30873721E-02	 0.39401351E-03
  3161.0000    	  3162.0000    	-0.30699408E-02	 0.38883619E-03
  3162.0000    	  3163.0000    	-0.28461841E-02	 0.38979612E-03
  3163.0000    	  3164.0000    	-0.28701132E-02	 0.37170541E-03
  3164.0000    	  3165.0000    	-0.21630758E-02	 0.41365132E-03
  3165.0000    	  3166.0000    	-0.27812819E-02	 0.43993574E-03
  3166.0000    	  3167.0000    	-0.27294892E-02	 0.52301948E-03
  3167.0000    	  3168.0000    	-0.20539178E-02	 0.35899294E-03
  3168.0000    	  3169.0000    	-0.36976942E-02	 0.39106516E-03
  3169.0000    	  3170.0000    	-0.44390595E-02	 0.42436180E-03
  3170.0000    	  3171.0000    	-0.32781649E-02	 0.38826891E-03
  3171.0000    	  3172.0000    	-0.26222155E-02	 0.40730413E-03
  3172.0000    	  3173.0000    	-0.29621995E-02	 0.38325848E-03
  3173.0000    	  3174.0000    	-0.19455365E-02	 0.37116196E-03
  3174.0000    	  3175.0000    	-0.19103239E-02	 0.32403241E-03
  3175.0000    	  3176.0000    	-0.32953541E-02	 0.40786726E-03
  3176.0000    	  3177.0000    	-0.24727067E-02	 0.44559405E-03
  3177.0000    	  3178.0000    	-0.12665127E-02	 0.36392355E-03
  3178.0000    	  3179.0000    	-0.23059052E-02	 0.45022371E-03
  3179.0000    	  3180.0000    	-0.47435114E-02	 0.43386633E-03
  3180.0000    	  3181.0000    	-0.42764859E-02	 0.47392827E-03
  3181.0000    	  3182.0000    	-0.36725596E-02	 0.40941334E-03
  3182.0000    	  3183.0000    	-0.32824182E-02	 0.41425626E-03
  3183.0000    	  3184.0000    	-0.29470150E-02	 0.36447879E-03
  3184.0000    	  3185.0000    	-0.22938446E-02	 0.33238352E-03
  3185.0000    	  3186.0000    	-0.28471719E-02	 0.37251072E-03
  3186.0000    	  3187.0000    	-0.26386108E-02	 0.40924533E-03
  3187.0000    	  3188.0000    	-0.12989427E-02	 0.33263420E-03
  3188.0000    	  3189.0000    	-0.19076372E-02	 0.38416223E-03
  3189.0000    	  3190.0000    	-0.11939853E-02	 0.10668837E-03
  3190.0000    	  3191.0000    	-0.46168045E-02	 0.43676853E-03
  3191.0000    	  3192.0000    	-0.45268892E-02	 0.38561628E-03
  3192.0000    	  3193.0000    	-0.38336834E-02	 0.39707329E-03
  3193.0000    	  3194.0000    	-0.34005817E-02	 0.37313719E-03
  3194.0000    	  3195.0000    	-0.28301142E-02	 0.36766831E-03
  3195.0000    	  3196.0000    	-0.25922838E-02	 0.36381057E-03
  3196.0000    	  3197.0000    	-0.24562958E-02	 0.39253984E-03
  3197.0000    	  3198.0000    	-0.24263486E-02	 0.39439635E-03
  3198.0000    	  3199.0000    	-0.20512154E-02	 0.42035263E-03
  3199.0000    	  3200.0000    	-0.23203903E-02	 0.44182074E-03
  3200.0000    	  3201.0000    	-0.15034378E-02	 0.41459831E-03
  3201.0000    	  3202.0000    	-0.46583775E-02	 0.36207461E-03
  3202.0000    	  3203.0000    	-0.40081836E-02	 0.39613167E-03
  3203.0000    	  3204.0000    	-0.36842365E-02	 0.38517146E-03
  3204.0000    	  3205.0000    	-0.30457041E-02	 0.42837461E-03
  3205.0000    	  3206.0000    	-0.28857782E-02	 0.38593514E-03
  3206.0000    	  3207.0000    	-0.18692589E-02	 0.33217902E-03
  3207.0000    	  3208.0000    	-0.23025626E-02	 0.35468378E-03
  3208.0000    	  3209.0000    	-0.27716653E-02	 0.40256871E-03
  3209.0000    	  3210.0000    	-0.26316682E-02	 0.41483342E-03
  3210.0000    	  3211.0000    	-0.25348214E-02	 0.49078652E-03
  3211.0000    	  3212.0000    	-0.20171536E-02	 0.29278772E-03
  3212.0000    	  3213.0000    	-0.42957953E-02	 0.38467239E-03
  3213.0000    	  3214.0000    	-0.35659635E-02	 0.39584413E-03
  3214.0000    	  3215.0000    	-0.28485512E-02	 0.38009457E-03
  3215.0000    	  3216.0000    	-0.32034955E-02	 0.44311954E-03
  3216.0000    	  3217.0000    	-0.27114389E-02	 0.38616504E-03
  3217.0000    	  3218.0000    	-0.21280522E-02	 0.36257401E-03
  3218.0000    	  3219.0000    	-0.29585111E-02	 0.33409950E-03
  3219.0000    	  3220.0000    	-0.25466886E-02	 0.39465828E-03
  3220.0000    	  3221.0000    	-0.28059581E-02	 0.43640844E-03
  3221.0000    	  3222.0000    	-0.14945289E-02	 0.50987534E-03
  3222.0000    	  3223.0000    	-0.37027576E-03	 0.31392543E-03
  3223.0000    	  3224.0000    	-0.42771622E-02	 0.45429408E-03
  3224.0000    	  3225.0000    	-0.42141061E-02	 0.39503269E-03
  3225.0000    	  3226.0000    	-0.37471931E-02	 0.41260424E-03
  3226.0000    	  3227.0000    	-0.36465074E-02	 0.41591422E-03
  3227.0000    	  3228.0000    	-0.25831169E-02	 0.34425022E-03
  3228.0000    	  3229.0000    	-0.32906704E-02	 0.37618051E-03
  3229.0000    	  3230.0000    	-0.15189732E-02	 0.35256693E-03
  3230.0000    	  3231.0000    	-0.26033574E-02	 0.37392165E-03
  3231.0000    	  3232.0000    	-0.26625930E-02	 0.44329390E-03
  3232.0000    	  3233.0000    	-0.13908526E-02	 0.24715388E-03
  3233.0000    	  3234.0000    	-0.18065351E-02	 0.41235735E-03
  3234.0000    	  3235.0000    	-0.43017956E-02	 0.47297548E-03
  3235.0000    	  3236.0000    	-0.30567942E-02	 0.38596473E-03
  3236.0000    	  3237.0000    	-0.40067013E-02	 0.39947615E-03
  3237.0000    	  3238.0000    	-0.36787389E-02	 0.40346948E-03
  3238.0000    	  3239.0000    	-0.29015194E-02	 0.38571342E-03
  3239.0000    	  3240.0000    	-0.30449471E-02	 0.39171648E-03
  3240.0000    	  3241.0000    	-0.20191968E-02	 0.29562142E-03
  3241.0000    	  3242.0000    	-0.21921441E-02	 0.37936298E-03
  3242.0000    	  3243.0000    	-0.23080116E-02	 0.39729308E-03
  3243.0000    	  3244.0000    	-0.25247665E-02	 0.50958960E-03
  3244.0000    	  3245.0000    	-0.18604763E-02	 0.46457486E-03
  3245.0000    	  3246.0000    	-0.40467069E-02	 0.39510279E-03
  3246.0000    	  3247.0000    	-0.40556969E-02	 0.40869493E-03
  3247.0000    	  3248.0000    	-0.30507667E-02	 0.40318954E-03
  3248.0000    	  3249.0000    	-0.31523159E-02	 0.39241305E-03
  3249.0000    	  3250.0000    	-0.26086161E-02	 0.36446376E-03
  3250.0000    	  3251.0000    	-0.26842170E-02	 0.35998027E-03
  3251.0000    	  3252.0000    	-0.23928479E-02	 0.32892120E-03
  3252.0000    	  3253.0000    	-0.27661242E-02	 0.47018102E-03
  3253.0000    	  3254.0000    	-0.22575968E-02	 0.26389900E-03
  3254.0000    	  3255.0000    	-0.19149044E-02	 0.49118464E-03
  3255.0000    	  3256.0000    	-0.13229833E-02	 0.12816291E-03
  3256.0000    	  3257.0000    	-0.42677561E-02	 0.42292172E-03
  3257.0000    	  3258.0000    	-0.39720111E-02	 0.39808079E-03
  3258.0000    	  3259.0000    	-0.47785443E-02	 0.43353793E-03
  3259.0000    	  3260.0000    	-0.35412066E-02	 0.38685874E-03
  3260.0000    	  3261.0000    	-0.29957957E-02	 0.39453337E-03
  3261.0000    	  3262.0000    	-0.14692254E-02	 0.31381430E-03
  3262.0000    	  3263.0000    	-0.27722606E-02	 0.38944516E-03
  3263.0000    	  3264.0000    	-0.29897359E-02	 0.40985589E-03
  3264.0000    	  3265.0000    	-0.23745888E-02	 0.39065827E-03
  3265.0000    	  3266.0000    	-0.13936665E-02	 0.48265286E-03
  3266.0000    	  3267.0000    	-0.16869672E-02	 0.28926158E-03
  3267.0000    	  3268.0000    	-0.42072367E-02	 0.37422942E-03
  3268.0000    	  3269.0000    	-0.40844625E-02	 0.41102399E-03
  3269.0000    	  3270.0000    	-0.29667698E-02	 0.35200378E-03
  3270.0000    	  3271.0000    	-0.29921961E-02	 0.35619934E-03
  3271.0000    	  3272.0000    	-0.22847353E-02	 0.37552376E-03
  3272.0000    	  3273.0000    	-0.29371883E-02	 0.35216330E-03
  3273.0000    	  3274.0000    	-0.25260678E-02	 0.34796323E-03
  3274.0000    	  3275.0000    	-0.30771822E-02	 0.39781096E-03
  3275.0000    	  3276.0000    	-0.21068839E-02	 0.48188081E-03
  3276.0000    	  3277.0000    	-0.22195858E-02	 0.48188137E-03
  3277.0000    	  3278.0000    	-0.15689325E-02	 0.46395027E-03
  3278.0000    	  3279.0000    	-0.47656621E-02	 0.44064190E-03
  3279.0000    	  3280.0000    	-0.40169053E-02	 0.44449405E-03
  3280.0000    	  3281.0000    	-0.34222988E-02	 0.39720408E-03
  3281.0000    	  3282.0000    	-0.28530288E-02	 0.41374907E-03
  3282.0000    	  3283.0000    	-0.30862235E-02	 0.39860600E-03
  3283.0000    	  3284.0000    	-0.18968244E-02	 0.35611240E-03
  3284.0000    	  3285.0000    	-0.23941656E-02	 0.36230740E-03
  3285.0000    	  3286.0000    	-0.24554536E-02	 0.36151656E-03
  3286.0000    	  3287.0000    	-0.21814403E-02	 0.43993464E-03
  3287.0000    	  3288.0000    	-0.21602943E-02	 0.44400136E-03
  3288.0000    	  3289.0000    	-0.12237630E-02	 0.43603398E-03
  3289.0000    	  3290.0000    	-0.38528581E-02	 0.41617373E-03
  3290.0000    	  3291.0000    	-0.39151872E-02	 0.37986729E-03
  3291.0000    	  3292.0000    	-0.37733022E-02	 0.41574575E-03
  3292.0000    	  3293.0000    	-0.32173964E-02	 0.43642544E-03
  3293.0000    	  3294.0000    	-0.25661574E-02	 0.39602167E-03
  3294.0000    	  3295.0000    	-0.21061792E-02	 0.31825471E-03
  3295.0000    	  3296.0000    	-0.21506349E-02	 0.31577369E-03
  3296.0000    	  3297.0000    	-0.24050284E-02	 0.38849224E-03
  3297.0000    	  3298.0000    	-0.26700737E-02	 0.41210242E-03
  3298.0000    	  3299.0000    	-0.23859092E-02	 0.39954042E-03
  3299.0000    	  3300.0000    	-0.88266660E-03	 0.19292189E-03
  3300.0000    	  3301.0000    	-0.39019377E-02	 0.40724001E-03
  3301.0000    	  3302.0000    	-0.45250329E-02	 0.43604529E-03
  3302.0000    	  3303.0000    	-0.34248584E-02	 0.36243728E-03
  3303.0000    	  3304.0000    	-0.31135960E-02	 0.37702885E-03
  3304.0000    	  3305.0000    	-0.30798565E-02	 0.39596639E-03
  3305.0000    	  3306.0000    	-0.30550191E-02	 0.33510549E-03
  3306.0000    	  3307.0000    	-0.25449906E-02	 0.36764364E-03
  3307.0000    	  3308.0000    	-0.26205717E-02	 0.38121067E-03
  3308.0000    	  3309.0000    	-0.23147010E-02	 0.41966565E-03
  3309.0000    	  3310.0000    	-0.19989122E-02	 0.46471743E-03
  3310.0000    	  3311.0000    	-0.11672942E-02	 0.40658742E-03
  3311.0000    	  3312.0000    	-0.44435999E-02	 0.42760357E-03
  3312.0000    	  3313.0000    	-0.29901267E-02	 0.41271801E-03
  3313.0000    	  3314.0000    	-0.38116296E-02	 0.38702258E-03
  3314.0000    	  3315.0000    	-0.28188442E-02	 0.41517144E-03
  3315.0000    	  3316.0000    	-0.31286487E-02	 0.38935549E-03
  3316.0000    	  3317.0000    	-0.26764721E-02	 0.36326120E-03
  3317.0000    	  3318.0000    	-0.18756939E-02	 0.39500108E-03
  3318.0000    	  3319.0000    	-0.24504514E-02	 0.27942050E-03
  3319.0000    	  3320.0000    	-0.22491683E-02	 0.42639594E-03
  3320.0000    	  3321.0000    	-0.13817510E-02	 0.42744381E-03
  3321.0000    	  3322.0000    	-0.14144678E-02	 0.15943677E-03
  3322.0000    	  3323.0000    	-0.41646007E-02	 0.38892684E-03
  3323.0000    	  3324.0000    	-0.36640591E-02	 0.40347212E-03
  3324.0000    	  3325.0000    	-0.39166534E-02	 0.40253910E-03
  3325.0000    	  3326.0000    	-0.25925358E-02	 0.41425519E-03
  3326.0000    	  3327.0000    	-0.25610748E-02	 0.36328544E-03
  3327.0000    	  3328.0000    	-0.30880396E-02	 0.36996864E-03
  3328.0000    	  3329.0000    	-0.19958278E-02	 0.34047503E-03
  3329.0000    	  3330.0000    	-0.16110602E-02	 0.35329046E-03
  3330.0000    	  3331.0000    	-0.24969509E-02	 0.36383249E-03
  3331.0000    	  3332.0000    	-0.17933612E-02	 0.33189245E-03
  3332.0000    	  3333.0000    	-0.10157435E-02	 0.42134323E-03
  3333.0000    	  3334.0000    	-0.35994796E-02	 0.35789988E-03
  3334.0000    	  3335.0000    	-0.41987523E-02	 0.39605491E-03
  3335.0000    	  3336.0000    	-0.33065298E-02	 0.38433383E-03
  3336.0000    	  3337.0000    	-0.29479398E-02	 0.38375210E-03
  3337.0000    	  3338.0000    	-0.29225026E-02	 0.38008575E-03
  3338.0000    	  3339.0000    	-0.26081170E-02	 0.41059603E-03
  3339.0000    	  3340.0000    	-0.18051209E-02	 0.31796462E-03
  3340.0000    	  3341.0000    	-0.33183740E-02	 0.41640904E-03
  3341.0000    	  3342.0000    	-0.26171143E-02	 0.47027897E-03
  3342.0000    	  3343.0000    	-0.22490005E-02	 0.52026415E-03
  3343.0000    	  3344.0000    	-0.90324867E-03	 0.32998811E-03
  3344.0000    	  3345.0000    	-0.41812731E-02	 0.40466612E-03
  3345.0000    	  3346.0000    	-0.42116159E-02	 0.40100463E-03
  3346.0000    	  3347.0000    	-0.33442777E-02	 0.39023108E-03
  3347.0000    	  3348.0000    	-0.28894558E-02	 0.46313264E-03
  3348.0000    	  3349.0000    	-0.24166306E-02	 0.34353953E-03
  3349.0000    	  3350.0000    	-0.17994236E-02	 0.35213926E-03
  3350.0000    	  3351.0000    	-0.18730865E-02	 0.31572118E-03
  3351.0000    	  3352.0000    	-0.18942701E-02	 0.42133598E-03
  3352.0000    	  3353.0000    	-0.27379604E-02	 0.44745191E-03
  3353.0000    	  3354.0000    	-0.10579933E-02	 0.36060941E-03
  3354.0000    	  3355.0000    	-0.11925125E-02	 0.11975427E-03
  3355.0000    	  3356.0000    	-0.37159930E-02	 0.39917328E-03
  3356.0000    	  3357.0000    	-0.45921072E-02	 0.44621824E-03
  3357.0000    	  3358.0000    	-0.31283909E-02	 0.38434811E-03
  3358.0000    	  3359.0000    	-0.32805681E-02	 0.42469685E-03
  3359.0000    	  3360.0000    	-0.29322729E-02	 0.36297101E-03
  3360.0000    	  3361.0000    	-0.24457478E-02	 0.30355418E-03
  3361.0000    	  3362.0000    	-0.27407552E-02	 0.39051378E-03
  3362.0000    	  3363.0000    	-0.22364579E-02	 0.40819040E-03
  3363.0000    	  3364.0000    	-0.21266423E-02	 0.40400572E-03
  3364.0000    	  3365.0000    	-0.12555417E-02	 0.36958210E-03
  3365.0000    	  3366.0000    	-0.94005068E-03	 0.35368315E-03
  3366.0000    	  3367.0000    	-0.35443452E-02	 0.40424367E-03
  3367.0000    	  3368.0000    	-0.45094878E-02	 0.42830017E-03
