# xi3
# underflow	 -135.17872    	 0.17267407    
# overflow	-0.45681401    	 0.23917770E-01
# sum	 -161.78372    	 0.23707206    
# xmin	xmax	cross	numerror
  3124.0000    	  3125.0000    	-0.31344354E-01	 0.98543668E-02
  3125.0000    	  3126.0000    	-0.53623784E-01	 0.84389703E-02
  3126.0000    	  3127.0000    	-0.33329257E-01	 0.75841499E-02
  3127.0000    	  3128.0000    	-0.42240714E-01	 0.77219213E-02
  3128.0000    	  3129.0000    	-0.52481613E-01	 0.66970472E-02
  3129.0000    	  3130.0000    	-0.45490507E-01	 0.90758216E-02
  3130.0000    	  3131.0000    	-0.52454009E-01	 0.78355614E-02
  3131.0000    	  3132.0000    	-0.25074105E-01	 0.78643164E-02
  3132.0000    	  3133.0000    	-0.14577606E-01	 0.63234920E-02
  3133.0000    	  3134.0000    	-0.28670963E-02	 0.69424795E-02
  3134.0000    	  3135.0000    	-0.73359642E-02	 0.47967602E-02
  3135.0000    	  3136.0000    	-0.37945406E-01	 0.72843220E-02
  3136.0000    	  3137.0000    	-0.41236827E-01	 0.72735936E-02
  3137.0000    	  3138.0000    	-0.32850681E-01	 0.70329693E-02
  3138.0000    	  3139.0000    	-0.48239599E-01	 0.75460770E-02
  3139.0000    	  3140.0000    	-0.35333945E-01	 0.71355180E-02
  3140.0000    	  3141.0000    	-0.33565802E-01	 0.73736800E-02
  3141.0000    	  3142.0000    	-0.44547200E-01	 0.76702489E-02
  3142.0000    	  3143.0000    	-0.26143027E-01	 0.69614320E-02
  3143.0000    	  3144.0000    	 0.19446067E-02	 0.35442146E-02
  3144.0000    	  3145.0000    	-0.17690854E-01	 0.61397008E-02
  3145.0000    	  3146.0000    	-0.29419328E-01	 0.59529000E-02
  3146.0000    	  3147.0000    	-0.32387089E-01	 0.39687666E-02
  3147.0000    	  3148.0000    	-0.45253386E-01	 0.87271253E-02
  3148.0000    	  3149.0000    	-0.34566073E-01	 0.28311881E-02
  3149.0000    	  3150.0000    	-0.56801450E-01	 0.71034404E-02
  3150.0000    	  3151.0000    	-0.43189472E-01	 0.83806308E-02
  3151.0000    	  3152.0000    	-0.50473935E-01	 0.90050784E-02
  3152.0000    	  3153.0000    	-0.48020895E-01	 0.81144520E-02
  3153.0000    	  3154.0000    	-0.45463536E-01	 0.75599221E-02
  3154.0000    	  3155.0000    	-0.19343326E-01	 0.61970406E-02
  3155.0000    	  3156.0000    	-0.24674355E-01	 0.61065783E-02
  3156.0000    	  3157.0000    	-0.43494266E-02	 0.55630994E-02
  3157.0000    	  3158.0000    	-0.43162287E-01	 0.74922002E-02
  3158.0000    	  3159.0000    	-0.43479431E-01	 0.76911290E-02
  3159.0000    	  3160.0000    	-0.38749959E-01	 0.59416871E-02
  3160.0000    	  3161.0000    	-0.35028267E-01	 0.10203573E-01
  3161.0000    	  3162.0000    	-0.48717763E-01	 0.69539205E-02
  3162.0000    	  3163.0000    	-0.44971338E-01	 0.41499620E-02
  3163.0000    	  3164.0000    	-0.53231528E-01	 0.72144561E-02
  3164.0000    	  3165.0000    	-0.25342032E-01	 0.55453130E-02
  3165.0000    	  3166.0000    	-0.25361199E-01	 0.66187503E-02
  3166.0000    	  3167.0000    	-0.21968151E-01	 0.66250392E-02
  3167.0000    	  3168.0000    	-0.24891781E-01	 0.56240338E-02
  3168.0000    	  3169.0000    	-0.31262730E-01	 0.37408058E-02
  3169.0000    	  3170.0000    	-0.54203121E-01	 0.79992747E-02
  3170.0000    	  3171.0000    	-0.34323232E-01	 0.38558853E-02
  3171.0000    	  3172.0000    	-0.35872147E-01	 0.10192149E-01
  3172.0000    	  3173.0000    	-0.37504352E-01	 0.31597358E-02
  3173.0000    	  3174.0000    	-0.50582263E-01	 0.98436262E-02
  3174.0000    	  3175.0000    	-0.50799818E-01	 0.76441723E-02
  3175.0000    	  3176.0000    	-0.42176574E-01	 0.60849910E-02
  3176.0000    	  3177.0000    	 0.22946289E-02	 0.41900021E-02
  3177.0000    	  3178.0000    	-0.28623761E-01	 0.57568073E-02
  3178.0000    	  3179.0000    	-0.42840503E-02	 0.47163781E-02
  3179.0000    	  3180.0000    	-0.47731263E-01	 0.74476000E-02
  3180.0000    	  3181.0000    	-0.36116443E-01	 0.44717485E-02
  3181.0000    	  3182.0000    	-0.64835920E-01	 0.86093886E-02
  3182.0000    	  3183.0000    	-0.48459305E-01	 0.55339178E-02
  3183.0000    	  3184.0000    	-0.46641539E-01	 0.79923459E-02
  3184.0000    	  3185.0000    	-0.57936170E-01	 0.87685840E-02
  3185.0000    	  3186.0000    	-0.36712182E-01	 0.24115896E-02
  3186.0000    	  3187.0000    	-0.53598389E-01	 0.78266352E-02
  3187.0000    	  3188.0000    	-0.23741795E-01	 0.62844446E-02
  3188.0000    	  3189.0000    	 0.36008315E-02	 0.49402032E-02
  3189.0000    	  3190.0000    	-0.29067357E-01	 0.55171504E-02
  3190.0000    	  3191.0000    	-0.22706009E-01	 0.21641540E-02
  3191.0000    	  3192.0000    	-0.32211944E-01	 0.56851280E-02
  3192.0000    	  3193.0000    	-0.31005956E-01	 0.33873516E-02
  3193.0000    	  3194.0000    	-0.31303383E-01	 0.69953467E-02
  3194.0000    	  3195.0000    	-0.52797111E-01	 0.76485362E-02
  3195.0000    	  3196.0000    	-0.42613364E-01	 0.78253170E-02
  3196.0000    	  3197.0000    	-0.58917765E-01	 0.84353019E-02
  3197.0000    	  3198.0000    	-0.33009245E-01	 0.43937818E-02
  3198.0000    	  3199.0000    	-0.29947893E-01	 0.74709368E-02
  3199.0000    	  3200.0000    	-0.29488135E-01	 0.57435620E-02
  3200.0000    	  3201.0000    	-0.12349843E-01	 0.58843409E-02
