# xi2
# underflow	 -101.57560    	 0.19761226    
# overflow	-0.18602570E-01	 0.52586216E-02
# sum	 -119.62344    	 0.23562358    
# xmin	xmax	cross	numerror
  4224.0000    	  4225.0000    	-0.14398466E-01	 0.45568078E-02
  4225.0000    	  4226.0000    	-0.14149600E-01	 0.40887571E-02
  4226.0000    	  4227.0000    	-0.98101065E-02	 0.45140555E-02
  4227.0000    	  4228.0000    	-0.14213314E-01	 0.46823338E-02
  4228.0000    	  4229.0000    	-0.10116198E-01	 0.56815613E-02
  4229.0000    	  4230.0000    	-0.14148941E-01	 0.49950975E-02
  4230.0000    	  4231.0000    	-0.73446701E-02	 0.54531933E-02
  4231.0000    	  4232.0000    	-0.51212665E-02	 0.53067907E-02
  4232.0000    	  4233.0000    	-0.63889063E-02	 0.41386456E-02
  4233.0000    	  4234.0000    	-0.10073118E-01	 0.40760001E-02
  4234.0000    	  4235.0000    	-0.44206164E-02	 0.30806570E-02
  4235.0000    	  4236.0000    	-0.13764748E-01	 0.59898169E-02
  4236.0000    	  4237.0000    	-0.15443898E-01	 0.33015492E-02
  4237.0000    	  4238.0000    	-0.18343711E-01	 0.43115456E-02
  4238.0000    	  4239.0000    	-0.19947773E-01	 0.53475961E-02
  4239.0000    	  4240.0000    	-0.12030203E-01	 0.51719775E-02
  4240.0000    	  4241.0000    	-0.65575138E-02	 0.39937679E-02
  4241.0000    	  4242.0000    	-0.12628748E-01	 0.49860346E-02
  4242.0000    	  4243.0000    	-0.32540318E-02	 0.42785384E-02
  4243.0000    	  4244.0000    	-0.59536224E-02	 0.43779024E-02
  4244.0000    	  4245.0000    	-0.12510253E-01	 0.39411405E-02
  4245.0000    	  4246.0000    	-0.95057614E-02	 0.30023854E-02
  4246.0000    	  4247.0000    	-0.25116357E-01	 0.50015974E-02
  4247.0000    	  4248.0000    	-0.14388598E-01	 0.36443401E-02
  4248.0000    	  4249.0000    	-0.15633692E-01	 0.45101142E-02
  4249.0000    	  4250.0000    	-0.45866843E-02	 0.38213321E-02
  4250.0000    	  4251.0000    	-0.17722274E-01	 0.53113231E-02
  4251.0000    	  4252.0000    	-0.91615432E-05	 0.48642963E-02
  4252.0000    	  4253.0000    	 0.25308276E-02	 0.55441694E-02
  4253.0000    	  4254.0000    	-0.77676171E-02	 0.52041629E-02
  4254.0000    	  4255.0000    	-0.10703320E-01	 0.46018023E-02
  4255.0000    	  4256.0000    	-0.76952208E-02	 0.38722608E-02
  4256.0000    	  4257.0000    	 0.44979011E-03	 0.25259272E-02
  4257.0000    	  4258.0000    	-0.17419935E-01	 0.42344084E-02
  4258.0000    	  4259.0000    	-0.12118282E-01	 0.45582930E-02
  4259.0000    	  4260.0000    	-0.16408495E-01	 0.40933898E-02
  4260.0000    	  4261.0000    	-0.13793682E-01	 0.48126148E-02
  4261.0000    	  4262.0000    	-0.15981349E-01	 0.49234869E-02
  4262.0000    	  4263.0000    	-0.11189373E-01	 0.49387544E-02
  4263.0000    	  4264.0000    	-0.98411227E-02	 0.47907516E-02
  4264.0000    	  4265.0000    	-0.99358617E-02	 0.42922672E-02
  4265.0000    	  4266.0000    	-0.13488194E-01	 0.38339433E-02
  4266.0000    	  4267.0000    	-0.36913680E-02	 0.34465967E-02
  4267.0000    	  4268.0000    	-0.60460975E-02	 0.25207592E-02
  4268.0000    	  4269.0000    	-0.13079444E-01	 0.44115819E-02
  4269.0000    	  4270.0000    	-0.67885544E-02	 0.53401969E-02
  4270.0000    	  4271.0000    	-0.17249139E-01	 0.50632211E-02
  4271.0000    	  4272.0000    	-0.15546774E-01	 0.45112548E-02
  4272.0000    	  4273.0000    	-0.20733635E-01	 0.50162200E-02
  4273.0000    	  4274.0000    	-0.19440604E-02	 0.46395420E-02
  4274.0000    	  4275.0000    	 0.41636354E-02	 0.46691730E-02
  4275.0000    	  4276.0000    	-0.16928119E-02	 0.47784745E-02
  4276.0000    	  4277.0000    	-0.77665563E-02	 0.46803753E-02
  4277.0000    	  4278.0000    	-0.16382534E-01	 0.41715855E-02
  4278.0000    	  4279.0000    	-0.35965846E-02	 0.33528750E-02
  4279.0000    	  4280.0000    	-0.22064098E-01	 0.51944612E-02
  4280.0000    	  4281.0000    	-0.21706834E-01	 0.45970991E-02
  4281.0000    	  4282.0000    	-0.12695499E-01	 0.38956972E-02
  4282.0000    	  4283.0000    	-0.12422360E-01	 0.42520112E-02
  4283.0000    	  4284.0000    	-0.29028386E-02	 0.49293916E-02
  4284.0000    	  4285.0000    	-0.30954973E-01	 0.55942051E-02
  4285.0000    	  4286.0000    	-0.12568822E-01	 0.46386130E-02
  4286.0000    	  4287.0000    	-0.42496508E-02	 0.49747942E-02
  4287.0000    	  4288.0000    	-0.11614774E-01	 0.45298835E-02
  4288.0000    	  4289.0000    	-0.15423920E-01	 0.43120436E-02
  4289.0000    	  4290.0000    	-0.51813151E-02	 0.28178236E-02
  4290.0000    	  4291.0000    	-0.23142807E-01	 0.45950868E-02
  4291.0000    	  4292.0000    	-0.17062392E-01	 0.38589650E-02
  4292.0000    	  4293.0000    	-0.18753876E-01	 0.51544126E-02
  4293.0000    	  4294.0000    	-0.27838171E-01	 0.52362054E-02
  4294.0000    	  4295.0000    	-0.21418507E-01	 0.53567723E-02
  4295.0000    	  4296.0000    	-0.16527308E-01	 0.54130076E-02
  4296.0000    	  4297.0000    	-0.53367812E-02	 0.46423939E-02
  4297.0000    	  4298.0000    	-0.51766039E-02	 0.45459759E-02
  4298.0000    	  4299.0000    	-0.76501379E-02	 0.38245647E-02
  4299.0000    	  4300.0000    	-0.10819987E-01	 0.34841068E-02
  4300.0000    	  4301.0000    	-0.34437042E-02	 0.30634188E-02
  4301.0000    	  4302.0000    	-0.12706606E-01	 0.39915852E-02
  4302.0000    	  4303.0000    	-0.11207312E-01	 0.46382875E-02
  4303.0000    	  4304.0000    	-0.18991955E-01	 0.46974691E-02
  4304.0000    	  4305.0000    	-0.18484366E-01	 0.40191474E-02
  4305.0000    	  4306.0000    	-0.23549011E-01	 0.53830016E-02
  4306.0000    	  4307.0000    	-0.22062342E-01	 0.50119342E-02
  4307.0000    	  4308.0000    	-0.97088736E-02	 0.55044322E-02
  4308.0000    	  4309.0000    	-0.50569996E-02	 0.46679897E-02
  4309.0000    	  4310.0000    	-0.11443130E-01	 0.44473116E-02
  4310.0000    	  4311.0000    	-0.86407499E-02	 0.35408616E-02
  4311.0000    	  4312.0000    	-0.11416272E-01	 0.30511933E-02
  4312.0000    	  4313.0000    	-0.18468879E-01	 0.55294880E-02
  4313.0000    	  4314.0000    	-0.18291038E-01	 0.38102805E-02
  4314.0000    	  4315.0000    	-0.21698042E-01	 0.46831695E-02
  4315.0000    	  4316.0000    	-0.19451567E-01	 0.43469660E-02
  4316.0000    	  4317.0000    	-0.25160031E-01	 0.49944077E-02
  4317.0000    	  4318.0000    	-0.13230324E-01	 0.57488864E-02
  4318.0000    	  4319.0000    	-0.95395608E-02	 0.46799355E-02
  4319.0000    	  4320.0000    	-0.22008511E-01	 0.41730305E-02
  4320.0000    	  4321.0000    	-0.10227310E-01	 0.43308177E-02
  4321.0000    	  4322.0000    	-0.14725226E-01	 0.32850332E-02
  4322.0000    	  4323.0000    	-0.28614757E-02	 0.23710540E-02
  4323.0000    	  4324.0000    	-0.62625943E-02	 0.46119230E-02
  4324.0000    	  4325.0000    	-0.26487351E-01	 0.49014347E-02
  4325.0000    	  4326.0000    	-0.95420329E-02	 0.42137246E-02
