# xi0
# underflow	 -376.98952    	 0.39722963    
# overflow	-0.70823255    	 0.24055747E-01
# sum	 -403.95711    	 0.44726031    
# xmin	xmax	cross	numerror
  1034.0000    	  1035.0000    	-0.54397020E-01	 0.64297577E-02
  1035.0000    	  1036.0000    	-0.44094134E-01	 0.68313229E-02
  1036.0000    	  1037.0000    	-0.21242831E-01	 0.76248391E-02
  1037.0000    	  1038.0000    	 0.31601571E-03	 0.79279361E-02
  1038.0000    	  1039.0000    	-0.15380921E-01	 0.89625426E-02
  1039.0000    	  1040.0000    	 0.19370367E-02	 0.98303309E-02
  1040.0000    	  1041.0000    	 0.18381478E-01	 0.10215853E-01
  1041.0000    	  1042.0000    	 0.31194149E-01	 0.86281463E-02
  1042.0000    	  1043.0000    	 0.44836909E-01	 0.83678201E-02
  1043.0000    	  1044.0000    	 0.48845745E-01	 0.76676129E-02
  1044.0000    	  1045.0000    	 0.29284120E-01	 0.78338079E-02
  1045.0000    	  1046.0000    	-0.38263387E-01	 0.63552635E-02
  1046.0000    	  1047.0000    	-0.53035458E-01	 0.66791943E-02
  1047.0000    	  1048.0000    	-0.40605770E-01	 0.77544273E-02
  1048.0000    	  1049.0000    	-0.14154951E-01	 0.79415185E-02
  1049.0000    	  1050.0000    	-0.23163627E-02	 0.97577364E-02
  1050.0000    	  1051.0000    	 0.90310954E-02	 0.89973365E-02
  1051.0000    	  1052.0000    	 0.19944530E-01	 0.95010165E-02
  1052.0000    	  1053.0000    	 0.51364670E-01	 0.10209179E-01
  1053.0000    	  1054.0000    	 0.29735010E-01	 0.90588159E-02
  1054.0000    	  1055.0000    	 0.35020357E-01	 0.77529105E-02
  1055.0000    	  1056.0000    	 0.34851469E-01	 0.69374670E-02
  1056.0000    	  1057.0000    	-0.47310059E-01	 0.65607491E-02
  1057.0000    	  1058.0000    	-0.39955195E-01	 0.68630143E-02
  1058.0000    	  1059.0000    	-0.33769186E-01	 0.70853847E-02
  1059.0000    	  1060.0000    	-0.36886010E-01	 0.82291387E-02
  1060.0000    	  1061.0000    	-0.16441808E-01	 0.90879190E-02
  1061.0000    	  1062.0000    	 0.19101928E-01	 0.82843701E-02
  1062.0000    	  1063.0000    	 0.94022134E-02	 0.96574936E-02
  1063.0000    	  1064.0000    	 0.36039351E-01	 0.10366477E-01
  1064.0000    	  1065.0000    	 0.33515709E-01	 0.83497308E-02
  1065.0000    	  1066.0000    	 0.39975707E-01	 0.77277218E-02
  1066.0000    	  1067.0000    	 0.37943425E-01	 0.64207170E-02
  1067.0000    	  1068.0000    	-0.41176208E-01	 0.64556596E-02
  1068.0000    	  1069.0000    	-0.37053361E-01	 0.65383825E-02
  1069.0000    	  1070.0000    	-0.27392731E-01	 0.75514147E-02
  1070.0000    	  1071.0000    	-0.27143255E-01	 0.79165414E-02
  1071.0000    	  1072.0000    	-0.18825074E-02	 0.84265993E-02
  1072.0000    	  1073.0000    	 0.37386181E-02	 0.90715817E-02
  1073.0000    	  1074.0000    	 0.26322384E-01	 0.89876542E-02
  1074.0000    	  1075.0000    	 0.22416557E-01	 0.97532661E-02
  1075.0000    	  1076.0000    	 0.41432659E-01	 0.97383238E-02
  1076.0000    	  1077.0000    	 0.40520892E-01	 0.78968839E-02
  1077.0000    	  1078.0000    	 0.45796160E-01	 0.66055550E-02
  1078.0000    	  1079.0000    	-0.66509855E-01	 0.59991064E-02
  1079.0000    	  1080.0000    	-0.39198290E-01	 0.68336192E-02
  1080.0000    	  1081.0000    	-0.28413399E-01	 0.76267918E-02
  1081.0000    	  1082.0000    	-0.24265404E-01	 0.81355246E-02
  1082.0000    	  1083.0000    	-0.50066306E-02	 0.94464725E-02
  1083.0000    	  1084.0000    	 0.10414509E-02	 0.89502436E-02
  1084.0000    	  1085.0000    	 0.16865992E-01	 0.89779988E-02
  1085.0000    	  1086.0000    	 0.18831792E-01	 0.83692728E-02
  1086.0000    	  1087.0000    	 0.33146287E-01	 0.87308387E-02
  1087.0000    	  1088.0000    	 0.23662757E-01	 0.80102888E-02
  1088.0000    	  1089.0000    	 0.33624192E-01	 0.55828170E-02
  1089.0000    	  1090.0000    	-0.41581887E-01	 0.63270691E-02
  1090.0000    	  1091.0000    	-0.56995197E-01	 0.69374333E-02
  1091.0000    	  1092.0000    	-0.31977457E-01	 0.72924938E-02
  1092.0000    	  1093.0000    	-0.28096142E-01	 0.89455496E-02
  1093.0000    	  1094.0000    	-0.25159839E-01	 0.87692007E-02
  1094.0000    	  1095.0000    	 0.63688564E-02	 0.90176958E-02
  1095.0000    	  1096.0000    	 0.19671025E-01	 0.90345982E-02
  1096.0000    	  1097.0000    	 0.35364938E-01	 0.90914650E-02
  1097.0000    	  1098.0000    	 0.43573641E-01	 0.71794249E-02
  1098.0000    	  1099.0000    	 0.32258975E-01	 0.64712130E-02
  1099.0000    	  1100.0000    	 0.25333138E-01	 0.61959123E-02
  1100.0000    	  1101.0000    	-0.55021830E-01	 0.64191829E-02
  1101.0000    	  1102.0000    	-0.42569262E-01	 0.69445452E-02
  1102.0000    	  1103.0000    	-0.39620154E-01	 0.70475671E-02
  1103.0000    	  1104.0000    	-0.19731967E-01	 0.83626135E-02
  1104.0000    	  1105.0000    	 0.61249142E-04	 0.93057752E-02
  1105.0000    	  1106.0000    	-0.16073274E-03	 0.89958732E-02
  1106.0000    	  1107.0000    	 0.15305784E-01	 0.97443142E-02
  1107.0000    	  1108.0000    	 0.38290429E-02	 0.99530753E-02
  1108.0000    	  1109.0000    	 0.34255028E-01	 0.80921056E-02
  1109.0000    	  1110.0000    	 0.45999202E-01	 0.68111256E-02
  1110.0000    	  1111.0000    	 0.35395731E-01	 0.63560403E-02
  1111.0000    	  1112.0000    	-0.43884141E-01	 0.62152004E-02
  1112.0000    	  1113.0000    	-0.49160552E-01	 0.65464561E-02
