# xi3
# underflow	  485.87481    	 0.34583398    
# overflow	 0.46220740    	 0.25762320E-01
# sum	  540.28288    	 0.46733692    
# xmin	xmax	cross	numerror
  1034.0000    	  1035.0000    	 0.21383278    	 0.24340818E-01
  1035.0000    	  1036.0000    	 0.18615168    	 0.21429042E-01
  1036.0000    	  1037.0000    	 0.13212726    	 0.22253935E-01
  1037.0000    	  1038.0000    	 0.19824201    	 0.19124526E-01
  1038.0000    	  1039.0000    	 0.13443358    	 0.20200981E-01
  1039.0000    	  1040.0000    	 0.13143398    	 0.15800129E-01
  1040.0000    	  1041.0000    	 0.11582324    	 0.11915029E-01
  1041.0000    	  1042.0000    	 0.71583741E-01	 0.11550494E-01
  1042.0000    	  1043.0000    	 0.54919919E-01	 0.97921652E-02
  1043.0000    	  1044.0000    	 0.36693819E-01	 0.68212178E-02
  1044.0000    	  1045.0000    	 0.10031519E-01	 0.60107043E-02
  1045.0000    	  1046.0000    	 0.17191309    	 0.23134516E-01
  1046.0000    	  1047.0000    	 0.13581086    	 0.21453581E-01
  1047.0000    	  1048.0000    	 0.21044393    	 0.21535063E-01
  1048.0000    	  1049.0000    	 0.14827774    	 0.18642431E-01
  1049.0000    	  1050.0000    	 0.13393863    	 0.18924889E-01
  1050.0000    	  1051.0000    	 0.11818127    	 0.16579791E-01
  1051.0000    	  1052.0000    	 0.93981218E-01	 0.11982299E-01
  1052.0000    	  1053.0000    	 0.86330710E-01	 0.11471132E-01
  1053.0000    	  1054.0000    	 0.49005373E-01	 0.10238225E-01
  1054.0000    	  1055.0000    	 0.36079238E-01	 0.68855812E-02
  1055.0000    	  1056.0000    	 0.72081210E-02	 0.54562541E-02
  1056.0000    	  1057.0000    	 0.21311491    	 0.21489091E-01
  1057.0000    	  1058.0000    	 0.21652003    	 0.23230991E-01
  1058.0000    	  1059.0000    	 0.18303711    	 0.19914755E-01
  1059.0000    	  1060.0000    	 0.18601247    	 0.20343823E-01
  1060.0000    	  1061.0000    	 0.13920174    	 0.18760760E-01
  1061.0000    	  1062.0000    	 0.98979887E-01	 0.15442867E-01
  1062.0000    	  1063.0000    	 0.10502678    	 0.12424816E-01
  1063.0000    	  1064.0000    	 0.64928300E-01	 0.11151415E-01
  1064.0000    	  1065.0000    	 0.55307294E-01	 0.97797522E-02
  1065.0000    	  1066.0000    	 0.34819315E-01	 0.77289833E-02
  1066.0000    	  1067.0000    	 0.20828587E-01	 0.64004073E-02
  1067.0000    	  1068.0000    	 0.18001372    	 0.22383962E-01
  1068.0000    	  1069.0000    	 0.18907084    	 0.19854859E-01
  1069.0000    	  1070.0000    	 0.14719399    	 0.21183974E-01
  1070.0000    	  1071.0000    	 0.15873329    	 0.19250092E-01
  1071.0000    	  1072.0000    	 0.14354360    	 0.17342831E-01
  1072.0000    	  1073.0000    	 0.13567888    	 0.15406266E-01
  1073.0000    	  1074.0000    	 0.11546154    	 0.11989767E-01
  1074.0000    	  1075.0000    	 0.87272679E-01	 0.10546486E-01
  1075.0000    	  1076.0000    	 0.52743305E-01	 0.99545582E-02
  1076.0000    	  1077.0000    	 0.33781777E-01	 0.77403172E-02
  1077.0000    	  1078.0000    	 0.10649661E-01	 0.60677932E-02
  1078.0000    	  1079.0000    	 0.20709932    	 0.24139177E-01
  1079.0000    	  1080.0000    	 0.16941442    	 0.23551029E-01
  1080.0000    	  1081.0000    	 0.18476401    	 0.20729713E-01
  1081.0000    	  1082.0000    	 0.15234339    	 0.18921977E-01
  1082.0000    	  1083.0000    	 0.15795586    	 0.16849754E-01
  1083.0000    	  1084.0000    	 0.12631075    	 0.14820391E-01
  1084.0000    	  1085.0000    	 0.10060715    	 0.12523660E-01
