# xi2
# underflow	 -112.23145    	 0.85146244    
# overflow	 -1.5421582    	 0.54150343E-01
# sum	 -137.79774    	  1.0014659    
# xmin	xmax	cross	numerror
  0.0000000    	  1.0000000    	 0.30105024    	 0.25007639E-01
  1.0000000    	  2.0000000    	 0.25075560    	 0.25061043E-01
  2.0000000    	  3.0000000    	 0.25428736    	 0.23436277E-01
  3.0000000    	  4.0000000    	 0.29652638    	 0.24595880E-01
  4.0000000    	  5.0000000    	 0.30364035    	 0.25925705E-01
  5.0000000    	  6.0000000    	 0.30151798    	 0.27180198E-01
  6.0000000    	  7.0000000    	 0.31972870    	 0.27726219E-01
  7.0000000    	  8.0000000    	 0.32577105    	 0.33132577E-01
  8.0000000    	  9.0000000    	 0.42240431    	 0.32797748E-01
  9.0000000    	  10.000000    	 0.45910852    	 0.34742129E-01
  10.000000    	  11.000000    	 0.50818314    	 0.37082347E-01
  11.000000    	  12.000000    	 0.22603293    	 0.23550747E-01
  12.000000    	  13.000000    	 0.25248353    	 0.23831110E-01
  13.000000    	  14.000000    	 0.20443954    	 0.24843499E-01
  14.000000    	  15.000000    	 0.24428551    	 0.24911622E-01
  15.000000    	  16.000000    	 0.29246472    	 0.24090682E-01
  16.000000    	  17.000000    	 0.28782921    	 0.24877158E-01
  17.000000    	  18.000000    	 0.29076974    	 0.27875620E-01
  18.000000    	  19.000000    	 0.34502578    	 0.32878191E-01
  19.000000    	  20.000000    	 0.37001494    	 0.31375828E-01
  20.000000    	  21.000000    	 0.43452213    	 0.32389743E-01
  21.000000    	  22.000000    	 0.48699433    	 0.36262672E-01
  22.000000    	  23.000000    	 0.23569738    	 0.22739914E-01
  23.000000    	  24.000000    	 0.17313083    	 0.22785126E-01
  24.000000    	  25.000000    	 0.21469843    	 0.23196142E-01
  25.000000    	  26.000000    	 0.22289298    	 0.24008016E-01
  26.000000    	  27.000000    	 0.20969814    	 0.23774403E-01
  27.000000    	  28.000000    	 0.28251959    	 0.25800360E-01
  28.000000    	  29.000000    	 0.29284153    	 0.28748594E-01
  29.000000    	  30.000000    	 0.33379160    	 0.29319450E-01
  30.000000    	  31.000000    	 0.35300050    	 0.29461826E-01
  31.000000    	  32.000000    	 0.41986825    	 0.30984469E-01
  32.000000    	  33.000000    	 0.43265510    	 0.35086457E-01
  33.000000    	  34.000000    	 0.12296080    	 0.20878453E-01
  34.000000    	  35.000000    	 0.14000362    	 0.21950644E-01
  35.000000    	  36.000000    	 0.17727492    	 0.22131468E-01
  36.000000    	  37.000000    	 0.17463298    	 0.22836724E-01
  37.000000    	  38.000000    	 0.16379380    	 0.23876368E-01
  38.000000    	  39.000000    	 0.20120206    	 0.25168793E-01
  39.000000    	  40.000000    	 0.20136136    	 0.27718148E-01
  40.000000    	  41.000000    	 0.26365936    	 0.28175754E-01
  41.000000    	  42.000000    	 0.28745853    	 0.31185471E-01
