# xi4
# underflow	 -16.707031    	 0.38355929E-01
# overflow	-0.19759782E-02	 0.45220288E-03
# sum	 -17.619855    	 0.40898730E-01
# xmin	xmax	cross	numerror
  4224.0000    	  4225.0000    	-0.21099410E-02	 0.55385486E-03
  4225.0000    	  4226.0000    	-0.23250001E-02	 0.90198797E-03
  4226.0000    	  4227.0000    	-0.42388949E-03	 0.55585156E-03
  4227.0000    	  4228.0000    	-0.17646450E-02	 0.59222598E-03
  4228.0000    	  4229.0000    	-0.24225957E-02	 0.83806151E-03
  4229.0000    	  4230.0000    	-0.43406348E-02	 0.10526636E-02
  4230.0000    	  4231.0000    	-0.15019986E-02	 0.12974451E-02
  4231.0000    	  4232.0000    	-0.61311751E-03	 0.91791318E-03
  4232.0000    	  4233.0000    	-0.23854828E-02	 0.93918299E-03
  4233.0000    	  4234.0000    	 0.16038772E-03	 0.70835040E-03
  4234.0000    	  4235.0000    	 0.20651899E-03	 0.39025323E-03
  4235.0000    	  4236.0000    	-0.12213502E-02	 0.73708776E-03
  4236.0000    	  4237.0000    	-0.24775158E-02	 0.71361920E-03
  4237.0000    	  4238.0000    	-0.12794973E-02	 0.66766550E-03
  4238.0000    	  4239.0000    	-0.12393584E-02	 0.52257537E-03
  4239.0000    	  4240.0000    	-0.11759554E-03	 0.66392914E-03
  4240.0000    	  4241.0000    	-0.11368352E-02	 0.95327894E-03
  4241.0000    	  4242.0000    	-0.32985708E-02	 0.12950708E-02
  4242.0000    	  4243.0000    	-0.28501750E-02	 0.84858517E-03
  4243.0000    	  4244.0000    	-0.12062810E-02	 0.90171141E-03
  4244.0000    	  4245.0000    	-0.21803724E-03	 0.61413967E-03
  4245.0000    	  4246.0000    	-0.19654638E-03	 0.37385362E-03
  4246.0000    	  4247.0000    	-0.33513948E-03	 0.39157135E-03
  4247.0000    	  4248.0000    	-0.22669985E-03	 0.36269997E-03
  4248.0000    	  4249.0000    	-0.68877253E-03	 0.32409795E-03
  4249.0000    	  4250.0000    	-0.25196209E-02	 0.62601207E-03
  4250.0000    	  4251.0000    	-0.20597591E-02	 0.82102838E-03
  4251.0000    	  4252.0000    	-0.17767869E-02	 0.72515060E-03
  4252.0000    	  4253.0000    	-0.21930664E-02	 0.10339192E-02
  4253.0000    	  4254.0000    	 0.51298378E-03	 0.72503802E-03
  4254.0000    	  4255.0000    	-0.13780801E-02	 0.67398283E-03
  4255.0000    	  4256.0000    	 0.56560921E-04	 0.69479552E-03
  4256.0000    	  4257.0000    	 0.10343005E-04	 0.46323722E-03
  4257.0000    	  4258.0000    	-0.41967693E-04	 0.31661756E-04
  4258.0000    	  4259.0000    	-0.49684119E-04	 0.60093720E-03
  4259.0000    	  4260.0000    	-0.47705820E-03	 0.32507757E-03
  4260.0000    	  4261.0000    	-0.16911804E-02	 0.70468568E-03
  4261.0000    	  4262.0000    	 0.19433961E-03	 0.29568743E-03
  4262.0000    	  4263.0000    	-0.20457193E-02	 0.66669816E-03
  4263.0000    	  4264.0000    	-0.74882152E-03	 0.60696030E-03
  4264.0000    	  4265.0000    	-0.15444766E-02	 0.97351312E-03
  4265.0000    	  4266.0000    	-0.28271165E-03	 0.73764353E-03
  4266.0000    	  4267.0000    	-0.88929066E-03	 0.56883950E-03
  4267.0000    	  4268.0000    	-0.32425680E-03	 0.48975671E-03
  4268.0000    	  4269.0000    	-0.29955279E-04	 0.31293725E-03
  4269.0000    	  4270.0000    	-0.26897778E-03	 0.18047905E-03
  4270.0000    	  4271.0000    	-0.15493597E-03	 0.35593969E-03
  4271.0000    	  4272.0000    	-0.26047960E-02	 0.79355309E-03
  4272.0000    	  4273.0000    	-0.16777233E-02	 0.59905329E-03
  4273.0000    	  4274.0000    	-0.18013512E-02	 0.85819459E-03
  4274.0000    	  4275.0000    	-0.21852704E-02	 0.57238118E-03
  4275.0000    	  4276.0000    	-0.97885344E-03	 0.61375446E-03
  4276.0000    	  4277.0000    	 0.16291657E-05	 0.94084853E-03
  4277.0000    	  4278.0000    	-0.27640557E-03	 0.69320226E-03
  4278.0000    	  4279.0000    	 0.40141219E-03	 0.50653418E-03
  4279.0000    	  4280.0000    	-0.11525237E-02	 0.50857927E-03
  4280.0000    	  4281.0000    	-0.13304644E-02	 0.64437840E-03
  4281.0000    	  4282.0000    	-0.21839526E-03	 0.52364226E-03
  4282.0000    	  4283.0000    	-0.39558738E-03	 0.51065515E-03
  4283.0000    	  4284.0000    	-0.27053456E-02	 0.89407896E-03
  4284.0000    	  4285.0000    	-0.62229324E-03	 0.71999904E-03
  4285.0000    	  4286.0000    	-0.12351746E-02	 0.89388273E-03
  4286.0000    	  4287.0000    	 0.32157271E-04	 0.10010167E-02
  4287.0000    	  4288.0000    	-0.14152620E-02	 0.65372581E-03
  4288.0000    	  4289.0000    	 0.59709030E-03	 0.34686595E-03
  4289.0000    	  4290.0000    	 0.40918447E-03	 0.40105386E-03
  4290.0000    	  4291.0000    	 0.82002983E-04	 0.24228790E-03
  4291.0000    	  4292.0000    	-0.54928402E-03	 0.42561438E-03
  4292.0000    	  4293.0000    	-0.80890850E-03	 0.36038733E-03
  4293.0000    	  4294.0000    	-0.14950951E-02	 0.55613271E-03
  4294.0000    	  4295.0000    	-0.18395904E-02	 0.46291441E-03
  4295.0000    	  4296.0000    	-0.15026457E-02	 0.45254378E-03
  4296.0000    	  4297.0000    	-0.27467403E-02	 0.62364119E-03
  4297.0000    	  4298.0000    	-0.61551321E-03	 0.91824150E-03
  4298.0000    	  4299.0000    	-0.12738535E-02	 0.77854050E-03
  4299.0000    	  4300.0000    	 0.18517883E-03	 0.30060652E-03
  4300.0000    	  4301.0000    	-0.26048882E-03	 0.41806961E-03
  4301.0000    	  4302.0000    	-0.29560195E-03	 0.19155763E-03
  4302.0000    	  4303.0000    	-0.79454706E-03	 0.45781407E-03
  4303.0000    	  4304.0000    	-0.18731352E-02	 0.76204049E-03
  4304.0000    	  4305.0000    	-0.15251259E-02	 0.58330909E-03
  4305.0000    	  4306.0000    	-0.45478559E-03	 0.79865055E-03
  4306.0000    	  4307.0000    	-0.26086814E-02	 0.82712911E-03
  4307.0000    	  4308.0000    	-0.11871184E-02	 0.34313620E-03
  4308.0000    	  4309.0000    	-0.23844683E-02	 0.84125784E-03
  4309.0000    	  4310.0000    	-0.23599398E-02	 0.75236809E-03
  4310.0000    	  4311.0000    	-0.37241088E-04	 0.41097467E-03
  4311.0000    	  4312.0000    	 0.38649304E-03	 0.50636848E-03
  4312.0000    	  4313.0000    	-0.89768766E-04	 0.12116064E-03
  4313.0000    	  4314.0000    	-0.10693258E-02	 0.47809156E-03
  4314.0000    	  4315.0000    	-0.96467578E-03	 0.35514733E-03
  4315.0000    	  4316.0000    	-0.29729194E-02	 0.64530516E-03
  4316.0000    	  4317.0000    	-0.24005120E-02	 0.80361053E-03
  4317.0000    	  4318.0000    	-0.12277714E-02	 0.63223983E-03
  4318.0000    	  4319.0000    	-0.31175421E-02	 0.63404274E-03
  4319.0000    	  4320.0000    	-0.49961107E-02	 0.97146463E-03
  4320.0000    	  4321.0000    	-0.16587080E-02	 0.61829499E-03
  4321.0000    	  4322.0000    	-0.56450200E-03	 0.75367775E-03
  4322.0000    	  4323.0000    	-0.14613493E-02	 0.43552971E-03
  4323.0000    	  4324.0000    	-0.58064509E-04	 0.12690986E-03
  4324.0000    	  4325.0000    	-0.21368647E-03	 0.44018182E-03
  4325.0000    	  4326.0000    	-0.53420265E-03	 0.25157440E-03
  4326.0000    	  4327.0000    	-0.86861416E-03	 0.31291055E-03
  4327.0000    	  4328.0000    	-0.92288575E-03	 0.62734584E-03
  4328.0000    	  4329.0000    	-0.25281929E-02	 0.86041322E-03
  4329.0000    	  4330.0000    	-0.24323954E-02	 0.93961023E-03
  4330.0000    	  4331.0000    	-0.21355502E-02	 0.69084131E-03
  4331.0000    	  4332.0000    	-0.31350389E-02	 0.79725342E-03
  4332.0000    	  4333.0000    	-0.41984224E-03	 0.33433205E-03
  4333.0000    	  4334.0000    	-0.54283404E-03	 0.41915843E-03
  4334.0000    	  4335.0000    	-0.98179460E-03	 0.66897672E-03
  4335.0000    	  4336.0000    	-0.62076539E-03	 0.32733060E-03
  4336.0000    	  4337.0000    	-0.80968947E-03	 0.33031309E-03
  4337.0000    	  4338.0000    	-0.11579495E-02	 0.51242437E-03
  4338.0000    	  4339.0000    	-0.15645225E-02	 0.56513137E-03
  4339.0000    	  4340.0000    	-0.54984918E-03	 0.46991156E-03
  4340.0000    	  4341.0000    	-0.28045666E-02	 0.72707680E-03
  4341.0000    	  4342.0000    	-0.20384021E-02	 0.73099658E-03
  4342.0000    	  4343.0000    	-0.84034305E-03	 0.81828811E-03
  4343.0000    	  4344.0000    	-0.21734413E-03	 0.40157212E-03
  4344.0000    	  4345.0000    	-0.72726325E-03	 0.42083641E-03
  4345.0000    	  4346.0000    	-0.23957742E-02	 0.59066255E-03
  4346.0000    	  4347.0000    	-0.76837384E-03	 0.34467844E-03
  4347.0000    	  4348.0000    	-0.23441444E-03	 0.52847828E-03
  4348.0000    	  4349.0000    	-0.94593695E-03	 0.65062747E-03
  4349.0000    	  4350.0000    	-0.26569507E-04	 0.71410609E-03
  4350.0000    	  4351.0000    	-0.27650959E-02	 0.56855706E-03
  4351.0000    	  4352.0000    	-0.74270705E-03	 0.72783331E-03
  4352.0000    	  4353.0000    	-0.97480313E-03	 0.62614283E-03
  4353.0000    	  4354.0000    	-0.18996488E-02	 0.68834814E-03
  4354.0000    	  4355.0000    	-0.13923138E-02	 0.56749548E-03
  4355.0000    	  4356.0000    	-0.55679366E-03	 0.47474092E-03
  4356.0000    	  4357.0000    	-0.51251857E-03	 0.49715755E-03
  4357.0000    	  4358.0000    	-0.15845962E-02	 0.47085512E-03
  4358.0000    	  4359.0000    	-0.20212441E-02	 0.50988524E-03
  4359.0000    	  4360.0000    	-0.20742793E-02	 0.71425620E-03
  4360.0000    	  4361.0000    	-0.14778016E-02	 0.40683518E-03
