# xi4
# underflow	 -1145.0063    	 0.37042665    
# overflow	 -1.5930720    	 0.81488447E-01
# sum	 -1395.5707    	 0.73866390    
# xmin	xmax	cross	numerror
  0.0000000    	  1.0000000    	-0.98506489    	 0.37235972E-01
  1.0000000    	  2.0000000    	 -1.0083694    	 0.38494288E-01
  2.0000000    	  3.0000000    	-0.97033741    	 0.36741473E-01
  3.0000000    	  4.0000000    	-0.96921983    	 0.32306623E-01
  4.0000000    	  5.0000000    	-0.90621938    	 0.30702469E-01
  5.0000000    	  6.0000000    	-0.85783833    	 0.29535644E-01
  6.0000000    	  7.0000000    	-0.84253852    	 0.28649675E-01
  7.0000000    	  8.0000000    	-0.81635150    	 0.28329068E-01
  8.0000000    	  9.0000000    	-0.75618393    	 0.29755439E-01
  9.0000000    	  10.000000    	-0.75637736    	 0.28622719E-01
  10.000000    	  11.000000    	-0.82216374    	 0.31816053E-01
  11.000000    	  12.000000    	-0.85408392    	 0.35316388E-01
  12.000000    	  13.000000    	-0.84281722    	 0.32938530E-01
  13.000000    	  14.000000    	-0.95741964    	 0.33936919E-01
  14.000000    	  15.000000    	-0.86914196    	 0.32689536E-01
  15.000000    	  16.000000    	-0.83992762    	 0.28216742E-01
  16.000000    	  17.000000    	-0.83138590    	 0.27088081E-01
  17.000000    	  18.000000    	-0.84983719    	 0.26440466E-01
  18.000000    	  19.000000    	-0.80012838    	 0.27350902E-01
  19.000000    	  20.000000    	-0.72735265    	 0.28370111E-01
  20.000000    	  21.000000    	-0.77960114    	 0.28950713E-01
  21.000000    	  22.000000    	-0.68881091    	 0.31123074E-01
  22.000000    	  23.000000    	-0.90033774    	 0.32769160E-01
  23.000000    	  24.000000    	-0.84899777    	 0.32050080E-01
  24.000000    	  25.000000    	-0.81944730    	 0.31402240E-01
  25.000000    	  26.000000    	-0.81726251    	 0.29493461E-01
  26.000000    	  27.000000    	-0.81405634    	 0.27710989E-01
  27.000000    	  28.000000    	-0.81762095    	 0.27243806E-01
  28.000000    	  29.000000    	-0.77564597    	 0.26104762E-01
  29.000000    	  30.000000    	-0.72793242    	 0.27182107E-01
  30.000000    	  31.000000    	-0.74360810    	 0.27010928E-01
  31.000000    	  32.000000    	-0.70196834    	 0.28079160E-01
  32.000000    	  33.000000    	-0.78045484    	 0.28577992E-01
  33.000000    	  34.000000    	-0.69666408    	 0.32686744E-01
  34.000000    	  35.000000    	-0.74221743    	 0.30187062E-01
  35.000000    	  36.000000    	-0.72282855    	 0.28934278E-01
  36.000000    	  37.000000    	-0.77657105    	 0.27200650E-01
  37.000000    	  38.000000    	-0.78349166    	 0.26935985E-01
  38.000000    	  39.000000    	-0.70976914    	 0.27643053E-01
  39.000000    	  40.000000    	-0.72162715    	 0.27635634E-01
  40.000000    	  41.000000    	-0.70829931    	 0.25317946E-01
  41.000000    	  42.000000    	-0.69307527    	 0.28084839E-01
  42.000000    	  43.000000    	-0.67700956    	 0.27825640E-01
  43.000000    	  44.000000    	-0.69960979    	 0.31365549E-01
  44.000000    	  45.000000    	-0.72550262    	 0.31640854E-01
  45.000000    	  46.000000    	-0.76138477    	 0.28971304E-01
  46.000000    	  47.000000    	-0.74192745    	 0.29554638E-01
  47.000000    	  48.000000    	-0.73103375    	 0.27524440E-01
  48.000000    	  49.000000    	-0.70921334    	 0.25694547E-01
  49.000000    	  50.000000    	-0.68130121    	 0.26877243E-01
  50.000000    	  51.000000    	-0.71383504    	 0.26317620E-01
  51.000000    	  52.000000    	-0.70310673    	 0.26155448E-01
  52.000000    	  53.000000    	-0.71555826    	 0.28224417E-01
  53.000000    	  54.000000    	-0.66225665    	 0.26740007E-01
  54.000000    	  55.000000    	-0.69444259    	 0.31310210E-01
  55.000000    	  56.000000    	-0.70389975    	 0.29795428E-01
  56.000000    	  57.000000    	-0.68511454    	 0.28446397E-01
  57.000000    	  58.000000    	-0.70087503    	 0.27877064E-01
  58.000000    	  59.000000    	-0.69482398    	 0.27946459E-01
  59.000000    	  60.000000    	-0.69162748    	 0.25078180E-01
  60.000000    	  61.000000    	-0.73616371    	 0.30243032E-01
  61.000000    	  62.000000    	-0.65069707    	 0.25595509E-01
  62.000000    	  63.000000    	-0.64387275    	 0.25744005E-01
