# xi2
# underflow	 -52.884353    	 0.71975595E-01
# overflow	-0.11020019    	 0.66010484E-02
# sum	 -64.766745    	 0.88251284E-01
# xmin	xmax	cross	numerror
  1034.0000    	  1035.0000    	-0.40164929E-01	 0.35178431E-02
  1035.0000    	  1036.0000    	-0.35849374E-01	 0.30762538E-02
  1036.0000    	  1037.0000    	-0.37250622E-01	 0.31193393E-02
  1037.0000    	  1038.0000    	-0.36567317E-01	 0.24156281E-02
  1038.0000    	  1039.0000    	-0.24932017E-01	 0.22490690E-02
  1039.0000    	  1040.0000    	-0.20368667E-01	 0.19907097E-02
  1040.0000    	  1041.0000    	-0.18194476E-01	 0.18734240E-02
  1041.0000    	  1042.0000    	-0.15176034E-01	 0.14035014E-02
  1042.0000    	  1043.0000    	-0.10583659E-01	 0.11191477E-02
  1043.0000    	  1044.0000    	-0.45772713E-02	 0.11334333E-02
  1044.0000    	  1045.0000    	-0.41473176E-02	 0.81763029E-03
  1045.0000    	  1046.0000    	-0.38817896E-01	 0.40800541E-02
  1046.0000    	  1047.0000    	-0.37756232E-01	 0.29763790E-02
  1047.0000    	  1048.0000    	-0.39540961E-01	 0.28962402E-02
  1048.0000    	  1049.0000    	-0.30289208E-01	 0.28561878E-02
  1049.0000    	  1050.0000    	-0.29863030E-01	 0.21017488E-02
  1050.0000    	  1051.0000    	-0.21883816E-01	 0.19130138E-02
  1051.0000    	  1052.0000    	-0.21061737E-01	 0.17672872E-02
  1052.0000    	  1053.0000    	-0.13143837E-01	 0.15431066E-02
  1053.0000    	  1054.0000    	-0.83061117E-02	 0.12670927E-02
  1054.0000    	  1055.0000    	-0.62579837E-02	 0.94890046E-03
  1055.0000    	  1056.0000    	-0.18420665E-02	 0.82694708E-03
  1056.0000    	  1057.0000    	-0.36194815E-01	 0.40867565E-02
  1057.0000    	  1058.0000    	-0.37178020E-01	 0.30140224E-02
  1058.0000    	  1059.0000    	-0.33453140E-01	 0.30314906E-02
  1059.0000    	  1060.0000    	-0.28929570E-01	 0.28435278E-02
  1060.0000    	  1061.0000    	-0.30413892E-01	 0.25821631E-02
  1061.0000    	  1062.0000    	-0.25660012E-01	 0.19395697E-02
  1062.0000    	  1063.0000    	-0.16310321E-01	 0.17814878E-02
  1063.0000    	  1064.0000    	-0.12428016E-01	 0.13853604E-02
  1064.0000    	  1065.0000    	-0.10860336E-01	 0.11356341E-02
  1065.0000    	  1066.0000    	-0.66205935E-02	 0.95188269E-03
  1066.0000    	  1067.0000    	-0.34552447E-02	 0.89009085E-03
  1067.0000    	  1068.0000    	-0.35831675E-01	 0.33543987E-02
  1068.0000    	  1069.0000    	-0.37889345E-01	 0.32090771E-02
  1069.0000    	  1070.0000    	-0.34469698E-01	 0.30744979E-02
  1070.0000    	  1071.0000    	-0.28797154E-01	 0.26510124E-02
  1071.0000    	  1072.0000    	-0.26063631E-01	 0.26077132E-02
  1072.0000    	  1073.0000    	-0.26028849E-01	 0.19232730E-02
  1073.0000    	  1074.0000    	-0.19327398E-01	 0.17688718E-02
  1074.0000    	  1075.0000    	-0.14608740E-01	 0.13948654E-02
  1075.0000    	  1076.0000    	-0.86798553E-02	 0.12597418E-02
  1076.0000    	  1077.0000    	-0.51019640E-02	 0.88598674E-03
  1077.0000    	  1078.0000    	-0.29203713E-02	 0.83347223E-03
  1078.0000    	  1079.0000    	-0.35301467E-01	 0.30892391E-02
  1079.0000    	  1080.0000    	-0.39400503E-01	 0.31471757E-02
  1080.0000    	  1081.0000    	-0.35675828E-01	 0.28072199E-02
  1081.0000    	  1082.0000    	-0.32219487E-01	 0.23064330E-02
  1082.0000    	  1083.0000    	-0.30887564E-01	 0.24046887E-02
  1083.0000    	  1084.0000    	-0.17438327E-01	 0.21683406E-02
  1084.0000    	  1085.0000    	-0.18732090E-01	 0.17210566E-02
  1085.0000    	  1086.0000    	-0.11416214E-01	 0.15766520E-02
  1086.0000    	  1087.0000    	-0.88297441E-02	 0.10530207E-02
  1087.0000    	  1088.0000    	-0.64153700E-02	 0.10623787E-02
  1088.0000    	  1089.0000    	-0.30465513E-02	 0.95698561E-03
