# xi4
# underflow	  40.700623    	 0.78551375E-01
# overflow	 0.18740465    	 0.18835764E-01
# sum	  56.488547    	 0.13588419    
# xmin	xmax	cross	numerror
  1034.0000    	  1035.0000    	 0.19437030E-01	 0.41618328E-02
  1035.0000    	  1036.0000    	 0.19249739E-01	 0.37561034E-02
  1036.0000    	  1037.0000    	 0.23735805E-01	 0.43113548E-02
  1037.0000    	  1038.0000    	 0.23991879E-01	 0.59452769E-02
  1038.0000    	  1039.0000    	 0.36576436E-01	 0.53796589E-02
  1039.0000    	  1040.0000    	 0.39006107E-01	 0.50971585E-02
  1040.0000    	  1041.0000    	 0.44205838E-01	 0.56535231E-02
  1041.0000    	  1042.0000    	 0.48315480E-01	 0.57577242E-02
  1042.0000    	  1043.0000    	 0.50220420E-01	 0.58045438E-02
  1043.0000    	  1044.0000    	 0.44389451E-01	 0.64758933E-02
  1044.0000    	  1045.0000    	 0.34507185E-01	 0.69242424E-02
  1045.0000    	  1046.0000    	 0.22497530E-02	 0.40700393E-02
  1046.0000    	  1047.0000    	 0.29919510E-01	 0.39195783E-02
  1047.0000    	  1048.0000    	 0.27899528E-01	 0.40515137E-02
  1048.0000    	  1049.0000    	 0.32494522E-01	 0.52449011E-02
  1049.0000    	  1050.0000    	 0.28056582E-01	 0.59742076E-02
  1050.0000    	  1051.0000    	 0.43340691E-01	 0.53469297E-02
  1051.0000    	  1052.0000    	 0.39979456E-01	 0.53201536E-02
  1052.0000    	  1053.0000    	 0.42632359E-01	 0.58611988E-02
  1053.0000    	  1054.0000    	 0.35825218E-01	 0.58826144E-02
  1054.0000    	  1055.0000    	 0.41473995E-01	 0.56615867E-02
  1055.0000    	  1056.0000    	 0.62591160E-01	 0.67035734E-02
  1056.0000    	  1057.0000    	 0.45676773E-02	 0.35495101E-02
  1057.0000    	  1058.0000    	 0.68632271E-02	 0.38780883E-02
  1058.0000    	  1059.0000    	 0.19164811E-01	 0.42001691E-02
  1059.0000    	  1060.0000    	 0.33185021E-01	 0.44495072E-02
  1060.0000    	  1061.0000    	 0.45439485E-01	 0.50364908E-02
  1061.0000    	  1062.0000    	 0.34133002E-01	 0.46829376E-02
  1062.0000    	  1063.0000    	 0.47116067E-01	 0.49153142E-02
  1063.0000    	  1064.0000    	 0.44828987E-01	 0.54658984E-02
  1064.0000    	  1065.0000    	 0.57285544E-01	 0.62486258E-02
  1065.0000    	  1066.0000    	 0.52986505E-01	 0.52831466E-02
  1066.0000    	  1067.0000    	 0.37464497E-01	 0.59387650E-02
  1067.0000    	  1068.0000    	 0.69097806E-02	 0.50330409E-02
  1068.0000    	  1069.0000    	 0.16611476E-01	 0.44711550E-02
  1069.0000    	  1070.0000    	 0.27520194E-01	 0.41133211E-02
  1070.0000    	  1071.0000    	 0.25243957E-01	 0.43430539E-02
  1071.0000    	  1072.0000    	 0.32798004E-01	 0.46666517E-02
  1072.0000    	  1073.0000    	 0.37808826E-01	 0.47487165E-02
  1073.0000    	  1074.0000    	 0.41506718E-01	 0.53738270E-02
  1074.0000    	  1075.0000    	 0.44912742E-01	 0.64063254E-02
  1075.0000    	  1076.0000    	 0.41704000E-01	 0.68067044E-02
  1076.0000    	  1077.0000    	 0.47346529E-01	 0.58091694E-02
  1077.0000    	  1078.0000    	 0.52135877E-01	 0.54533017E-02
  1078.0000    	  1079.0000    	-0.45137300E-02	 0.32066235E-02
  1079.0000    	  1080.0000    	 0.12769090E-01	 0.40686546E-02
  1080.0000    	  1081.0000    	 0.25812749E-01	 0.39170778E-02
  1081.0000    	  1082.0000    	 0.29616591E-01	 0.44967944E-02
  1082.0000    	  1083.0000    	 0.20654578E-01	 0.52284093E-02
  1083.0000    	  1084.0000    	 0.35788221E-01	 0.52060195E-02
  1084.0000    	  1085.0000    	 0.47353409E-01	 0.51993693E-02
  1085.0000    	  1086.0000    	 0.30060307E-01	 0.53775931E-02
  1086.0000    	  1087.0000    	 0.37082078E-01	 0.58751938E-02
  1087.0000    	  1088.0000    	 0.48587289E-01	 0.58480336E-02
  1088.0000    	  1089.0000    	 0.32822533E-01	 0.61688171E-02
  1089.0000    	  1090.0000    	-0.63830096E-02	 0.29329270E-02
  1090.0000    	  1091.0000    	 0.15557667E-01	 0.38784864E-02
  1091.0000    	  1092.0000    	 0.20897948E-01	 0.41875870E-02
  1092.0000    	  1093.0000    	 0.23787288E-01	 0.47039854E-02
  1093.0000    	  1094.0000    	 0.31953847E-01	 0.48447915E-02
  1094.0000    	  1095.0000    	 0.41557355E-01	 0.53024474E-02
  1095.0000    	  1096.0000    	 0.37070070E-01	 0.51358850E-02
  1096.0000    	  1097.0000    	 0.43912727E-01	 0.63054890E-02
  1097.0000    	  1098.0000    	 0.45482029E-01	 0.54063266E-02
  1098.0000    	  1099.0000    	 0.50795120E-01	 0.59997222E-02
  1099.0000    	  1100.0000    	 0.56285840E-01	 0.60257738E-02
  1100.0000    	  1101.0000    	 0.33004465E-02	 0.33265853E-02
  1101.0000    	  1102.0000    	 0.17256897E-01	 0.49082419E-02
  1102.0000    	  1103.0000    	 0.23413515E-01	 0.39089832E-02
  1103.0000    	  1104.0000    	 0.33293322E-01	 0.47348222E-02
  1104.0000    	  1105.0000    	 0.31322505E-01	 0.36103379E-02
  1105.0000    	  1106.0000    	 0.34519530E-01	 0.48467602E-02
  1106.0000    	  1107.0000    	 0.38487487E-01	 0.54231341E-02
  1107.0000    	  1108.0000    	 0.49379277E-01	 0.54017464E-02
  1108.0000    	  1109.0000    	 0.37049180E-01	 0.56547230E-02
  1109.0000    	  1110.0000    	 0.45385219E-01	 0.57246030E-02
  1110.0000    	  1111.0000    	 0.38954729E-01	 0.64112152E-02
  1111.0000    	  1112.0000    	 0.17426070E-01	 0.19328871E-02
  1112.0000    	  1113.0000    	 0.17378252E-01	 0.35019049E-02
  1113.0000    	  1114.0000    	 0.24867868E-01	 0.47668845E-02
  1114.0000    	  1115.0000    	 0.30099453E-01	 0.44269343E-02
  1115.0000    	  1116.0000    	 0.30106443E-01	 0.44149413E-02
  1116.0000    	  1117.0000    	 0.35684864E-01	 0.57770221E-02
  1117.0000    	  1118.0000    	 0.43597403E-01	 0.51171975E-02
  1118.0000    	  1119.0000    	 0.37872168E-01	 0.50732516E-02
  1119.0000    	  1120.0000    	 0.39120193E-01	 0.56402525E-02
  1120.0000    	  1121.0000    	 0.40225092E-01	 0.58184799E-02
  1121.0000    	  1122.0000    	 0.43867677E-01	 0.56307488E-02
  1122.0000    	  1123.0000    	-0.12046917E-02	 0.27704837E-02
  1123.0000    	  1124.0000    	 0.11201050E-01	 0.40314736E-02
  1124.0000    	  1125.0000    	 0.28345627E-01	 0.39720107E-02
  1125.0000    	  1126.0000    	 0.18483599E-01	 0.45393435E-02
  1126.0000    	  1127.0000    	 0.29552823E-01	 0.43522855E-02
  1127.0000    	  1128.0000    	 0.33161258E-01	 0.46474259E-02
  1128.0000    	  1129.0000    	 0.33547903E-01	 0.46510773E-02
  1129.0000    	  1130.0000    	 0.31040118E-01	 0.52769411E-02
  1130.0000    	  1131.0000    	 0.48599217E-01	 0.53047922E-02
  1131.0000    	  1132.0000    	 0.42968899E-01	 0.58571668E-02
  1132.0000    	  1133.0000    	 0.40758754E-01	 0.59536643E-02
  1133.0000    	  1134.0000    	-0.31513422E-04	 0.30345630E-02
  1134.0000    	  1135.0000    	 0.82926349E-02	 0.36480045E-02
  1135.0000    	  1136.0000    	 0.22280660E-01	 0.39817318E-02
  1136.0000    	  1137.0000    	 0.25887815E-01	 0.38713214E-02
  1137.0000    	  1138.0000    	 0.35644418E-01	 0.40484253E-02
  1138.0000    	  1139.0000    	 0.35664107E-01	 0.45908021E-02
  1139.0000    	  1140.0000    	 0.35999268E-01	 0.49357347E-02
  1140.0000    	  1141.0000    	 0.44702017E-01	 0.55468337E-02
  1141.0000    	  1142.0000    	 0.46981753E-01	 0.55502062E-02
  1142.0000    	  1143.0000    	 0.42363458E-01	 0.55638463E-02
  1143.0000    	  1144.0000    	 0.43916442E-01	 0.62275387E-02
  1144.0000    	  1145.0000    	 0.15023647E-01	 0.34472454E-02
  1145.0000    	  1146.0000    	 0.20286152E-01	 0.33780949E-02
  1146.0000    	  1147.0000    	 0.27964647E-01	 0.39904685E-02
  1147.0000    	  1148.0000    	 0.28386518E-01	 0.40854480E-02
  1148.0000    	  1149.0000    	 0.33988740E-01	 0.40692472E-02
  1149.0000    	  1150.0000    	 0.39307770E-01	 0.48400942E-02
  1150.0000    	  1151.0000    	 0.37307928E-01	 0.52015205E-02
  1151.0000    	  1152.0000    	 0.31226135E-01	 0.51690903E-02
  1152.0000    	  1153.0000    	 0.36816814E-01	 0.63317370E-02
  1153.0000    	  1154.0000    	 0.42449374E-01	 0.52486510E-02
  1154.0000    	  1155.0000    	 0.45728400E-01	 0.61973856E-02
  1155.0000    	  1156.0000    	 0.87961373E-02	 0.33670968E-02
  1156.0000    	  1157.0000    	 0.17526534E-01	 0.37898594E-02
  1157.0000    	  1158.0000    	 0.15101808E-01	 0.38816562E-02
  1158.0000    	  1159.0000    	 0.20187250E-01	 0.37156597E-02
  1159.0000    	  1160.0000    	 0.26174177E-01	 0.43523472E-02
  1160.0000    	  1161.0000    	 0.35807523E-01	 0.48510788E-02
  1161.0000    	  1162.0000    	 0.36494566E-01	 0.45700366E-02
  1162.0000    	  1163.0000    	 0.36280465E-01	 0.54362774E-02
  1163.0000    	  1164.0000    	 0.40955055E-01	 0.49100357E-02
  1164.0000    	  1165.0000    	 0.50987412E-01	 0.55975491E-02
  1165.0000    	  1166.0000    	 0.33832031E-01	 0.56923181E-02
  1166.0000    	  1167.0000    	 0.12757454E-01	 0.27792486E-02
  1167.0000    	  1168.0000    	 0.60257659E-02	 0.32676979E-02
  1168.0000    	  1169.0000    	 0.13779325E-01	 0.35633087E-02
  1169.0000    	  1170.0000    	 0.26850030E-01	 0.48831903E-02
  1170.0000    	  1171.0000    	 0.26709856E-01	 0.45504066E-02
  1171.0000    	  1172.0000    	 0.29538613E-01	 0.43043243E-02
  1172.0000    	  1173.0000    	 0.36848893E-01	 0.52570385E-02
  1173.0000    	  1174.0000    	 0.45336774E-01	 0.55671695E-02
  1174.0000    	  1175.0000    	 0.38965974E-01	 0.47772703E-02
  1175.0000    	  1176.0000    	 0.43275126E-01	 0.50445424E-02
  1176.0000    	  1177.0000    	 0.33523893E-01	 0.55839733E-02
  1177.0000    	  1178.0000    	 0.79387554E-04	 0.28167855E-02
  1178.0000    	  1179.0000    	 0.45438991E-02	 0.34270905E-02
  1179.0000    	  1180.0000    	 0.11321135E-01	 0.37274813E-02
  1180.0000    	  1181.0000    	 0.23298591E-01	 0.41605068E-02
  1181.0000    	  1182.0000    	 0.27164550E-01	 0.40683988E-02
  1182.0000    	  1183.0000    	 0.40803294E-01	 0.49867705E-02
  1183.0000    	  1184.0000    	 0.26724642E-01	 0.51795751E-02
  1184.0000    	  1185.0000    	 0.27227496E-01	 0.50879387E-02
  1185.0000    	  1186.0000    	 0.40047687E-01	 0.43629317E-02
  1186.0000    	  1187.0000    	 0.42842521E-01	 0.55828195E-02
  1187.0000    	  1188.0000    	 0.32164120E-01	 0.62060261E-02
  1188.0000    	  1189.0000    	-0.58047329E-02	 0.31085933E-02
  1189.0000    	  1190.0000    	 0.94253432E-02	 0.34281984E-02
  1190.0000    	  1191.0000    	 0.22454274E-01	 0.31940805E-02
  1191.0000    	  1192.0000    	 0.25284302E-01	 0.43055869E-02
  1192.0000    	  1193.0000    	 0.25733734E-01	 0.39643573E-02
  1193.0000    	  1194.0000    	 0.22005568E-01	 0.47845050E-02
  1194.0000    	  1195.0000    	 0.37076858E-01	 0.48174333E-02
  1195.0000    	  1196.0000    	 0.32815998E-01	 0.49548418E-02
  1196.0000    	  1197.0000    	 0.35159851E-01	 0.50035582E-02
  1197.0000    	  1198.0000    	 0.44502606E-01	 0.57431048E-02
  1198.0000    	  1199.0000    	 0.39734631E-01	 0.53620631E-02
  1199.0000    	  1200.0000    	 0.10682135E-01	 0.31712668E-02
  1200.0000    	  1201.0000    	-0.34922905E-02	 0.37742644E-02
  1201.0000    	  1202.0000    	 0.21355190E-01	 0.33698624E-02
  1202.0000    	  1203.0000    	 0.13322245E-01	 0.38436929E-02
  1203.0000    	  1204.0000    	 0.24752281E-01	 0.39094519E-02
  1204.0000    	  1205.0000    	 0.29537235E-01	 0.46337621E-02
  1205.0000    	  1206.0000    	 0.37006076E-01	 0.47096901E-02
  1206.0000    	  1207.0000    	 0.43381909E-01	 0.57883790E-02
  1207.0000    	  1208.0000    	 0.27092621E-01	 0.53076257E-02
  1208.0000    	  1209.0000    	 0.28324959E-01	 0.60390456E-02
  1209.0000    	  1210.0000    	 0.26753492E-01	 0.52729123E-02
  1210.0000    	  1211.0000    	 0.67455977E-02	 0.34248858E-02
  1211.0000    	  1212.0000    	-0.68709402E-02	 0.37243293E-02
  1212.0000    	  1213.0000    	 0.18390458E-01	 0.32240429E-02
  1213.0000    	  1214.0000    	 0.16347182E-01	 0.34786556E-02
  1214.0000    	  1215.0000    	 0.28674715E-01	 0.37770194E-02
  1215.0000    	  1216.0000    	 0.35245654E-01	 0.44522743E-02
  1216.0000    	  1217.0000    	 0.35457216E-01	 0.48163446E-02
  1217.0000    	  1218.0000    	 0.31410453E-01	 0.56995885E-02
  1218.0000    	  1219.0000    	 0.41074856E-01	 0.54902547E-02
  1219.0000    	  1220.0000    	 0.34298065E-01	 0.56563613E-02
  1220.0000    	  1221.0000    	 0.26831530E-01	 0.53733848E-02
  1221.0000    	  1222.0000    	-0.13609494E-02	 0.36201465E-02
  1222.0000    	  1223.0000    	 0.48822257E-02	 0.28901956E-02
  1223.0000    	  1224.0000    	 0.22060767E-01	 0.32359956E-02
  1224.0000    	  1225.0000    	 0.26463436E-01	 0.36828853E-02
  1225.0000    	  1226.0000    	 0.25920193E-01	 0.40457506E-02
  1226.0000    	  1227.0000    	 0.27512243E-01	 0.43284858E-02
  1227.0000    	  1228.0000    	 0.33134590E-01	 0.46424115E-02
  1228.0000    	  1229.0000    	 0.41341294E-01	 0.56080012E-02
  1229.0000    	  1230.0000    	 0.27003971E-01	 0.47593750E-02
  1230.0000    	  1231.0000    	 0.41677369E-01	 0.52030126E-02
  1231.0000    	  1232.0000    	 0.40731614E-01	 0.49710779E-02
  1232.0000    	  1233.0000    	-0.13811044E-02	 0.25738850E-02
  1233.0000    	  1234.0000    	 0.11438350E-01	 0.27962053E-02
  1234.0000    	  1235.0000    	 0.35539486E-02	 0.33073435E-02
  1235.0000    	  1236.0000    	 0.16741264E-01	 0.34701842E-02
  1236.0000    	  1237.0000    	 0.18738240E-01	 0.43853743E-02
  1237.0000    	  1238.0000    	 0.25632777E-01	 0.47741762E-02
  1238.0000    	  1239.0000    	 0.24889233E-01	 0.45002563E-02
  1239.0000    	  1240.0000    	 0.31017261E-01	 0.52558724E-02
  1240.0000    	  1241.0000    	 0.40182072E-01	 0.46375079E-02
  1241.0000    	  1242.0000    	 0.27227547E-01	 0.52877054E-02
  1242.0000    	  1243.0000    	 0.34405236E-01	 0.51925463E-02
  1243.0000    	  1244.0000    	-0.31163034E-02	 0.26887735E-02
  1244.0000    	  1245.0000    	 0.92982769E-02	 0.31530392E-02
  1245.0000    	  1246.0000    	 0.23165178E-01	 0.37140475E-02
  1246.0000    	  1247.0000    	 0.25261176E-01	 0.36432437E-02
  1247.0000    	  1248.0000    	 0.29170303E-01	 0.38231333E-02
  1248.0000    	  1249.0000    	 0.23059003E-01	 0.44998347E-02
  1249.0000    	  1250.0000    	 0.28393923E-01	 0.48893218E-02
  1250.0000    	  1251.0000    	 0.39322806E-01	 0.48077002E-02
  1251.0000    	  1252.0000    	 0.27737647E-01	 0.56668290E-02
  1252.0000    	  1253.0000    	 0.39205389E-01	 0.54118810E-02
  1253.0000    	  1254.0000    	 0.23150335E-01	 0.51985512E-02
  1254.0000    	  1255.0000    	 0.57100766E-02	 0.33743883E-02
  1255.0000    	  1256.0000    	 0.19871525E-02	 0.30926189E-02
  1256.0000    	  1257.0000    	 0.20217352E-01	 0.34032021E-02
  1257.0000    	  1258.0000    	 0.21252247E-01	 0.36743833E-02
  1258.0000    	  1259.0000    	 0.27489310E-01	 0.41259578E-02
  1259.0000    	  1260.0000    	 0.30469432E-01	 0.45990628E-02
  1260.0000    	  1261.0000    	 0.38392247E-01	 0.46992633E-02
  1261.0000    	  1262.0000    	 0.36963173E-01	 0.47820183E-02
  1262.0000    	  1263.0000    	 0.42955715E-01	 0.49865494E-02
  1263.0000    	  1264.0000    	 0.36311306E-01	 0.47577862E-02
  1264.0000    	  1265.0000    	 0.26972042E-01	 0.51638564E-02
  1265.0000    	  1266.0000    	-0.44762434E-02	 0.36219765E-02
  1266.0000    	  1267.0000    	 0.12082694E-01	 0.30614402E-02
  1267.0000    	  1268.0000    	 0.10966022E-01	 0.32898227E-02
  1268.0000    	  1269.0000    	 0.20908801E-01	 0.31805792E-02
  1269.0000    	  1270.0000    	 0.25210821E-01	 0.33114222E-02
  1270.0000    	  1271.0000    	 0.27983687E-01	 0.40056299E-02
  1271.0000    	  1272.0000    	 0.30215665E-01	 0.48452993E-02
  1272.0000    	  1273.0000    	 0.35503467E-01	 0.48465425E-02
  1273.0000    	  1274.0000    	 0.33044867E-01	 0.49828345E-02
  1274.0000    	  1275.0000    	 0.31254255E-01	 0.43592299E-02
  1275.0000    	  1276.0000    	 0.36410088E-01	 0.55264467E-02
  1276.0000    	  1277.0000    	 0.10097782E-01	 0.31094682E-02
  1277.0000    	  1278.0000    	 0.11299712E-01	 0.26338841E-02
  1278.0000    	  1279.0000    	 0.16278822E-01	 0.33734384E-02
  1279.0000    	  1280.0000    	 0.17725702E-01	 0.34514070E-02
  1280.0000    	  1281.0000    	 0.24473028E-01	 0.32878671E-02
