# xi2
# underflow	  57.184186    	 0.14604655    
# overflow	 0.15582025    	 0.14004827E-01
# sum	  71.526082    	 0.17541593    
# xmin	xmax	cross	numerror
  2024.0000    	  2025.0000    	 0.32592738E-01	 0.64322711E-02
  2025.0000    	  2026.0000    	 0.42829700E-01	 0.69251300E-02
  2026.0000    	  2027.0000    	 0.35674320E-01	 0.58199997E-02
  2027.0000    	  2028.0000    	 0.37303703E-01	 0.52622754E-02
  2028.0000    	  2029.0000    	 0.21442067E-01	 0.51929252E-02
  2029.0000    	  2030.0000    	 0.20162740E-01	 0.43775102E-02
  2030.0000    	  2031.0000    	 0.16842141E-01	 0.32619068E-02
  2031.0000    	  2032.0000    	 0.92428576E-02	 0.31860396E-02
  2032.0000    	  2033.0000    	 0.15872618E-01	 0.27366917E-02
  2033.0000    	  2034.0000    	 0.89093649E-02	 0.19599219E-02
  2034.0000    	  2035.0000    	 0.92044926E-02	 0.16514136E-02
  2035.0000    	  2036.0000    	 0.39636526E-01	 0.56860814E-02
  2036.0000    	  2037.0000    	 0.47741679E-01	 0.67424223E-02
  2037.0000    	  2038.0000    	 0.39942775E-01	 0.61292840E-02
  2038.0000    	  2039.0000    	 0.37696893E-01	 0.49977337E-02
  2039.0000    	  2040.0000    	 0.35066558E-01	 0.45708979E-02
  2040.0000    	  2041.0000    	 0.27271268E-01	 0.40587307E-02
  2041.0000    	  2042.0000    	 0.20772787E-01	 0.35238692E-02
  2042.0000    	  2043.0000    	 0.10864469E-01	 0.31084152E-02
  2043.0000    	  2044.0000    	 0.16435944E-01	 0.24576302E-02
  2044.0000    	  2045.0000    	 0.92114792E-02	 0.21575057E-02
  2045.0000    	  2046.0000    	 0.74147034E-02	 0.17257723E-02
  2046.0000    	  2047.0000    	 0.38120171E-01	 0.68449754E-02
  2047.0000    	  2048.0000    	 0.33721384E-01	 0.70981918E-02
  2048.0000    	  2049.0000    	 0.32794674E-01	 0.50222512E-02
  2049.0000    	  2050.0000    	 0.29214478E-01	 0.46127597E-02
  2050.0000    	  2051.0000    	 0.18296654E-01	 0.51456360E-02
  2051.0000    	  2052.0000    	 0.31319744E-01	 0.42574613E-02
  2052.0000    	  2053.0000    	 0.15353184E-01	 0.36050634E-02
  2053.0000    	  2054.0000    	 0.36214282E-04	 0.27816649E-02
  2054.0000    	  2055.0000    	 0.13192125E-01	 0.29167191E-02
  2055.0000    	  2056.0000    	 0.10467145E-01	 0.20116991E-02
  2056.0000    	  2057.0000    	 0.86088138E-02	 0.16927701E-02
  2057.0000    	  2058.0000    	 0.46462093E-01	 0.63371675E-02
  2058.0000    	  2059.0000    	 0.40797982E-01	 0.61633397E-02
  2059.0000    	  2060.0000    	 0.40191261E-01	 0.56875970E-02
  2060.0000    	  2061.0000    	 0.31376262E-01	 0.57971677E-02
  2061.0000    	  2062.0000    	 0.30659310E-01	 0.53944429E-02
  2062.0000    	  2063.0000    	 0.25043952E-01	 0.37278902E-02
  2063.0000    	  2064.0000    	 0.26013646E-01	 0.35343033E-02
  2064.0000    	  2065.0000    	 0.17855562E-01	 0.32099524E-02
  2065.0000    	  2066.0000    	 0.93433723E-02	 0.30169402E-02
  2066.0000    	  2067.0000    	 0.12002926E-01	 0.22405476E-02
  2067.0000    	  2068.0000    	 0.52518329E-02	 0.18622055E-02
  2068.0000    	  2069.0000    	 0.48059462E-01	 0.67312054E-02
  2069.0000    	  2070.0000    	 0.24818055E-01	 0.62273926E-02
  2070.0000    	  2071.0000    	 0.39288290E-01	 0.63439658E-02
  2071.0000    	  2072.0000    	 0.35332165E-01	 0.53040146E-02
  2072.0000    	  2073.0000    	 0.31252712E-01	 0.43739197E-02
  2073.0000    	  2074.0000    	 0.29125187E-01	 0.42660744E-02
  2074.0000    	  2075.0000    	 0.19358262E-01	 0.40027690E-02
  2075.0000    	  2076.0000    	 0.20448831E-01	 0.30427657E-02
  2076.0000    	  2077.0000    	 0.13676652E-01	 0.24188546E-02
  2077.0000    	  2078.0000    	 0.12227049E-01	 0.21859219E-02
  2078.0000    	  2079.0000    	 0.52868687E-02	 0.15441907E-02
  2079.0000    	  2080.0000    	 0.28759852E-01	 0.61114919E-02
  2080.0000    	  2081.0000    	 0.32566446E-01	 0.62614420E-02
  2081.0000    	  2082.0000    	 0.28778798E-01	 0.49721027E-02
  2082.0000    	  2083.0000    	 0.34227474E-01	 0.52815911E-02
  2083.0000    	  2084.0000    	 0.36879165E-01	 0.44154590E-02
  2084.0000    	  2085.0000    	 0.27349322E-01	 0.44810987E-02
  2085.0000    	  2086.0000    	 0.25821199E-01	 0.34526362E-02
  2086.0000    	  2087.0000    	 0.22653681E-01	 0.30092903E-02
  2087.0000    	  2088.0000    	 0.13113773E-01	 0.25767638E-02
  2088.0000    	  2089.0000    	 0.10089211E-01	 0.21427945E-02
  2089.0000    	  2090.0000    	 0.35910948E-02	 0.15855024E-02
  2090.0000    	  2091.0000    	 0.40444605E-01	 0.65867694E-02
  2091.0000    	  2092.0000    	 0.42065686E-01	 0.57547351E-02
  2092.0000    	  2093.0000    	 0.21818296E-01	 0.49419986E-02
  2093.0000    	  2094.0000    	 0.29390608E-01	 0.50651734E-02
  2094.0000    	  2095.0000    	 0.27340075E-01	 0.47826429E-02
  2095.0000    	  2096.0000    	 0.24098996E-01	 0.42263499E-02
  2096.0000    	  2097.0000    	 0.18119138E-01	 0.32652383E-02
  2097.0000    	  2098.0000    	 0.11169920E-01	 0.28658808E-02
  2098.0000    	  2099.0000    	 0.11810202E-01	 0.22737111E-02
  2099.0000    	  2100.0000    	 0.82464601E-02	 0.19648837E-02
  2100.0000    	  2101.0000    	 0.86385939E-02	 0.15092055E-02
  2101.0000    	  2102.0000    	 0.34932618E-01	 0.64305534E-02
  2102.0000    	  2103.0000    	 0.36795919E-01	 0.56982011E-02
  2103.0000    	  2104.0000    	 0.33993386E-01	 0.49394469E-02
  2104.0000    	  2105.0000    	 0.34269172E-01	 0.51531630E-02
  2105.0000    	  2106.0000    	 0.27836551E-01	 0.40123361E-02
  2106.0000    	  2107.0000    	 0.23959371E-01	 0.35864406E-02
  2107.0000    	  2108.0000    	 0.21687673E-01	 0.38420496E-02
  2108.0000    	  2109.0000    	 0.15022427E-01	 0.29112656E-02
  2109.0000    	  2110.0000    	 0.15875903E-01	 0.21884266E-02
  2110.0000    	  2111.0000    	 0.12297185E-01	 0.19167134E-02
  2111.0000    	  2112.0000    	 0.66285908E-02	 0.15886327E-02
  2112.0000    	  2113.0000    	 0.31590586E-01	 0.62377988E-02
  2113.0000    	  2114.0000    	 0.36214540E-01	 0.49649592E-02
  2114.0000    	  2115.0000    	 0.20964534E-01	 0.52538971E-02
  2115.0000    	  2116.0000    	 0.26126582E-01	 0.50253292E-02
  2116.0000    	  2117.0000    	 0.20762277E-01	 0.42464974E-02
  2117.0000    	  2118.0000    	 0.23222405E-01	 0.36918767E-02
  2118.0000    	  2119.0000    	 0.19881655E-01	 0.29587314E-02
  2119.0000    	  2120.0000    	 0.16111794E-01	 0.25134576E-02
  2120.0000    	  2121.0000    	 0.99309752E-02	 0.22712048E-02
  2121.0000    	  2122.0000    	 0.63742923E-02	 0.19863076E-02
  2122.0000    	  2123.0000    	 0.48682994E-02	 0.16897574E-02
  2123.0000    	  2124.0000    	 0.34111410E-01	 0.62552751E-02
  2124.0000    	  2125.0000    	 0.32727546E-01	 0.51580792E-02
  2125.0000    	  2126.0000    	 0.33302254E-01	 0.54217003E-02
  2126.0000    	  2127.0000    	 0.36495216E-01	 0.44478353E-02
  2127.0000    	  2128.0000    	 0.22304823E-01	 0.41002292E-02
  2128.0000    	  2129.0000    	 0.20682855E-01	 0.35878890E-02
  2129.0000    	  2130.0000    	 0.18806469E-01	 0.35332214E-02
  2130.0000    	  2131.0000    	 0.15425115E-01	 0.24824037E-02
  2131.0000    	  2132.0000    	 0.13338167E-01	 0.20886140E-02
  2132.0000    	  2133.0000    	 0.11101473E-01	 0.18577605E-02
  2133.0000    	  2134.0000    	 0.49011634E-02	 0.15622035E-02
  2134.0000    	  2135.0000    	 0.36807097E-01	 0.51289547E-02
  2135.0000    	  2136.0000    	 0.30154160E-01	 0.52242629E-02
  2136.0000    	  2137.0000    	 0.26640127E-01	 0.45455158E-02
  2137.0000    	  2138.0000    	 0.23750559E-01	 0.41673654E-02
  2138.0000    	  2139.0000    	 0.22758925E-01	 0.38597464E-02
  2139.0000    	  2140.0000    	 0.28440138E-01	 0.38072043E-02
  2140.0000    	  2141.0000    	 0.20795597E-01	 0.36223718E-02
  2141.0000    	  2142.0000    	 0.15466016E-01	 0.25237789E-02
  2142.0000    	  2143.0000    	 0.12532854E-01	 0.23360846E-02
  2143.0000    	  2144.0000    	 0.11810905E-01	 0.17498298E-02
  2144.0000    	  2145.0000    	 0.45495121E-02	 0.15938181E-02
  2145.0000    	  2146.0000    	 0.32207309E-01	 0.61612592E-02
  2146.0000    	  2147.0000    	 0.36633897E-01	 0.57648048E-02
  2147.0000    	  2148.0000    	 0.27566555E-01	 0.54235706E-02
  2148.0000    	  2149.0000    	 0.22006075E-01	 0.48901593E-02
  2149.0000    	  2150.0000    	 0.21394561E-01	 0.43673482E-02
  2150.0000    	  2151.0000    	 0.21053242E-01	 0.36697038E-02
  2151.0000    	  2152.0000    	 0.20854990E-01	 0.34334613E-02
  2152.0000    	  2153.0000    	 0.12714568E-01	 0.29227753E-02
  2153.0000    	  2154.0000    	 0.10512649E-01	 0.20136429E-02
  2154.0000    	  2155.0000    	 0.79113787E-02	 0.19777436E-02
  2155.0000    	  2156.0000    	 0.72895179E-02	 0.14049536E-02
  2156.0000    	  2157.0000    	 0.44825999E-01	 0.80299168E-02
  2157.0000    	  2158.0000    	 0.37458879E-01	 0.59941831E-02
  2158.0000    	  2159.0000    	 0.29364089E-01	 0.48260543E-02
  2159.0000    	  2160.0000    	 0.39198288E-01	 0.48971688E-02
  2160.0000    	  2161.0000    	 0.19204125E-01	 0.39789134E-02
  2161.0000    	  2162.0000    	 0.20557473E-01	 0.37277269E-02
  2162.0000    	  2163.0000    	 0.15085685E-01	 0.34192170E-02
  2163.0000    	  2164.0000    	 0.16827255E-01	 0.30838062E-02
  2164.0000    	  2165.0000    	 0.10863738E-01	 0.23685799E-02
  2165.0000    	  2166.0000    	 0.59808788E-02	 0.18768390E-02
  2166.0000    	  2167.0000    	 0.84732569E-02	 0.15239643E-02
  2167.0000    	  2168.0000    	 0.35753660E-01	 0.55859305E-02
  2168.0000    	  2169.0000    	 0.22641670E-01	 0.50670515E-02
  2169.0000    	  2170.0000    	 0.38145093E-01	 0.47195327E-02
  2170.0000    	  2171.0000    	 0.31367319E-01	 0.46189175E-02
  2171.0000    	  2172.0000    	 0.28351409E-01	 0.41594355E-02
  2172.0000    	  2173.0000    	 0.20361657E-01	 0.33030723E-02
  2173.0000    	  2174.0000    	 0.20266331E-01	 0.29885848E-02
  2174.0000    	  2175.0000    	 0.10367248E-01	 0.25233269E-02
  2175.0000    	  2176.0000    	 0.13998045E-01	 0.21732923E-02
  2176.0000    	  2177.0000    	 0.88018800E-02	 0.17676828E-02
  2177.0000    	  2178.0000    	 0.60088396E-02	 0.13629048E-02
  2178.0000    	  2179.0000    	 0.35164593E-01	 0.56533063E-02
  2179.0000    	  2180.0000    	 0.35327236E-01	 0.51581046E-02
  2180.0000    	  2181.0000    	 0.27836795E-01	 0.55023767E-02
  2181.0000    	  2182.0000    	 0.25284957E-01	 0.48207437E-02
  2182.0000    	  2183.0000    	 0.32148970E-01	 0.37776506E-02
  2183.0000    	  2184.0000    	 0.25612914E-01	 0.33088334E-02
  2184.0000    	  2185.0000    	 0.87206125E-02	 0.29471249E-02
  2185.0000    	  2186.0000    	 0.17142082E-01	 0.24331798E-02
  2186.0000    	  2187.0000    	 0.11969948E-01	 0.23708490E-02
  2187.0000    	  2188.0000    	 0.62828400E-02	 0.17017052E-02
  2188.0000    	  2189.0000    	 0.57233962E-02	 0.12925030E-02
  2189.0000    	  2190.0000    	 0.28455526E-01	 0.63742114E-02
  2190.0000    	  2191.0000    	 0.41228075E-01	 0.62443841E-02
  2191.0000    	  2192.0000    	 0.27616701E-01	 0.54093321E-02
  2192.0000    	  2193.0000    	 0.20918125E-01	 0.40200076E-02
  2193.0000    	  2194.0000    	 0.16886410E-01	 0.40416913E-02
  2194.0000    	  2195.0000    	 0.19386846E-01	 0.33182936E-02
  2195.0000    	  2196.0000    	 0.22455750E-01	 0.27006030E-02
  2196.0000    	  2197.0000    	 0.18294752E-01	 0.24708589E-02
  2197.0000    	  2198.0000    	 0.12129290E-01	 0.20978036E-02
  2198.0000    	  2199.0000    	 0.66102120E-02	 0.20514408E-02
  2199.0000    	  2200.0000    	 0.56647798E-02	 0.14420702E-02
  2200.0000    	  2201.0000    	 0.19267211E-01	 0.57477014E-02
  2201.0000    	  2202.0000    	 0.22680643E-01	 0.54369566E-02
  2202.0000    	  2203.0000    	 0.30599957E-01	 0.46939140E-02
  2203.0000    	  2204.0000    	 0.34184850E-01	 0.41454432E-02
  2204.0000    	  2205.0000    	 0.27849801E-01	 0.36657975E-02
  2205.0000    	  2206.0000    	 0.21332945E-01	 0.34616277E-02
  2206.0000    	  2207.0000    	 0.19653986E-01	 0.29680835E-02
  2207.0000    	  2208.0000    	 0.12864259E-01	 0.23582684E-02
  2208.0000    	  2209.0000    	 0.10749493E-01	 0.21607949E-02
  2209.0000    	  2210.0000    	 0.55070996E-02	 0.18299185E-02
  2210.0000    	  2211.0000    	 0.69951501E-02	 0.13930406E-02
  2211.0000    	  2212.0000    	 0.30163557E-01	 0.57415508E-02
  2212.0000    	  2213.0000    	 0.31162350E-01	 0.51775301E-02
  2213.0000    	  2214.0000    	 0.18009786E-01	 0.49785048E-02
  2214.0000    	  2215.0000    	 0.21387174E-01	 0.37965011E-02
  2215.0000    	  2216.0000    	 0.21359765E-01	 0.40571903E-02
  2216.0000    	  2217.0000    	 0.23424003E-01	 0.33283792E-02
  2217.0000    	  2218.0000    	 0.18684430E-01	 0.34910638E-02
  2218.0000    	  2219.0000    	 0.16809914E-01	 0.24664193E-02
  2219.0000    	  2220.0000    	 0.10617095E-01	 0.19248256E-02
  2220.0000    	  2221.0000    	 0.87177626E-02	 0.17965302E-02
  2221.0000    	  2222.0000    	 0.55546671E-02	 0.14146037E-02
  2222.0000    	  2223.0000    	 0.26722667E-01	 0.60121845E-02
  2223.0000    	  2224.0000    	 0.24508645E-01	 0.55330655E-02
  2224.0000    	  2225.0000    	 0.29538665E-01	 0.47507006E-02
  2225.0000    	  2226.0000    	 0.31063620E-01	 0.38764133E-02
  2226.0000    	  2227.0000    	 0.22569408E-01	 0.41377898E-02
  2227.0000    	  2228.0000    	 0.24541981E-01	 0.37666344E-02
  2228.0000    	  2229.0000    	 0.17538729E-01	 0.28697239E-02
  2229.0000    	  2230.0000    	 0.17198762E-01	 0.24983927E-02
  2230.0000    	  2231.0000    	 0.12912404E-01	 0.22164891E-02
  2231.0000    	  2232.0000    	 0.71497631E-02	 0.19829239E-02
  2232.0000    	  2233.0000    	 0.51803433E-02	 0.13342563E-02
  2233.0000    	  2234.0000    	 0.28168580E-01	 0.56099381E-02
  2234.0000    	  2235.0000    	 0.26602396E-01	 0.51675000E-02
  2235.0000    	  2236.0000    	 0.23903253E-01	 0.46568212E-02
  2236.0000    	  2237.0000    	 0.27903781E-01	 0.44373463E-02
  2237.0000    	  2238.0000    	 0.18567420E-01	 0.36583534E-02
  2238.0000    	  2239.0000    	 0.19957595E-01	 0.34950180E-02
  2239.0000    	  2240.0000    	 0.14411462E-01	 0.30655421E-02
  2240.0000    	  2241.0000    	 0.12471420E-01	 0.23075674E-02
  2241.0000    	  2242.0000    	 0.97285705E-02	 0.19434036E-02
  2242.0000    	  2243.0000    	 0.85895793E-02	 0.17934316E-02
  2243.0000    	  2244.0000    	 0.47558043E-02	 0.15244464E-02
  2244.0000    	  2245.0000    	 0.37736538E-01	 0.56308490E-02
  2245.0000    	  2246.0000    	 0.30540298E-01	 0.43399878E-02
  2246.0000    	  2247.0000    	 0.23926016E-01	 0.45595344E-02
  2247.0000    	  2248.0000    	 0.22560669E-01	 0.51097029E-02
  2248.0000    	  2249.0000    	 0.17936240E-01	 0.33291704E-02
  2249.0000    	  2250.0000    	 0.21641910E-01	 0.30130386E-02
  2250.0000    	  2251.0000    	 0.17507897E-01	 0.28891290E-02
  2251.0000    	  2252.0000    	 0.13504388E-01	 0.25296677E-02
  2252.0000    	  2253.0000    	 0.10306489E-01	 0.18665466E-02
  2253.0000    	  2254.0000    	 0.41122753E-02	 0.16666354E-02
  2254.0000    	  2255.0000    	 0.25542143E-02	 0.13148096E-02
  2255.0000    	  2256.0000    	 0.24370995E-01	 0.50296892E-02
  2256.0000    	  2257.0000    	 0.22724852E-01	 0.47375553E-02
  2257.0000    	  2258.0000    	 0.22390801E-01	 0.50188978E-02
  2258.0000    	  2259.0000    	 0.20201415E-01	 0.37804427E-02
  2259.0000    	  2260.0000    	 0.20475366E-01	 0.35948538E-02
  2260.0000    	  2261.0000    	 0.16866807E-01	 0.31036658E-02
