# xi1
# underflow	  12.251650    	 0.67680494E-01
# overflow	 0.46074119E-01	 0.50972118E-02
# sum	  17.157014    	 0.79415904E-01
# xmin	xmax	cross	numerror
  3124.0000    	  3125.0000    	 0.14369614E-01	 0.27186780E-02
  3125.0000    	  3126.0000    	 0.14466165E-01	 0.25166853E-02
  3126.0000    	  3127.0000    	 0.77094874E-02	 0.22946934E-02
  3127.0000    	  3128.0000    	 0.42557205E-02	 0.22566351E-02
  3128.0000    	  3129.0000    	 0.76948257E-02	 0.21411312E-02
  3129.0000    	  3130.0000    	 0.72205070E-02	 0.16909220E-02
  3130.0000    	  3131.0000    	 0.61814244E-02	 0.14914141E-02
  3131.0000    	  3132.0000    	 0.34664999E-02	 0.13613043E-02
  3132.0000    	  3133.0000    	 0.31011245E-02	 0.10483720E-02
  3133.0000    	  3134.0000    	 0.24849348E-02	 0.76032576E-03
  3134.0000    	  3135.0000    	 0.65855203E-03	 0.51065401E-03
  3135.0000    	  3136.0000    	 0.11647165E-01	 0.25871153E-02
  3136.0000    	  3137.0000    	 0.97158930E-02	 0.23704873E-02
  3137.0000    	  3138.0000    	 0.92652224E-02	 0.20696560E-02
  3138.0000    	  3139.0000    	 0.13653270E-01	 0.23562916E-02
  3139.0000    	  3140.0000    	 0.25682289E-02	 0.21181955E-02
  3140.0000    	  3141.0000    	 0.52609953E-02	 0.18736397E-02
  3141.0000    	  3142.0000    	 0.42063642E-02	 0.14710461E-02
  3142.0000    	  3143.0000    	 0.60487299E-02	 0.11895733E-02
  3143.0000    	  3144.0000    	 0.30994593E-02	 0.10683826E-02
  3144.0000    	  3145.0000    	 0.17064385E-02	 0.83062683E-03
  3145.0000    	  3146.0000    	 0.16089490E-02	 0.65485091E-03
  3146.0000    	  3147.0000    	 0.83961043E-02	 0.27273696E-02
  3147.0000    	  3148.0000    	 0.67595540E-02	 0.20721723E-02
  3148.0000    	  3149.0000    	 0.90794202E-02	 0.20219648E-02
  3149.0000    	  3150.0000    	 0.10362217E-01	 0.23372183E-02
  3150.0000    	  3151.0000    	 0.82896691E-02	 0.21816957E-02
  3151.0000    	  3152.0000    	 0.76282632E-02	 0.17513281E-02
  3152.0000    	  3153.0000    	 0.55647073E-02	 0.15042478E-02
  3153.0000    	  3154.0000    	 0.41858874E-02	 0.12834425E-02
  3154.0000    	  3155.0000    	 0.40227230E-02	 0.95887109E-03
  3155.0000    	  3156.0000    	 0.21405746E-02	 0.77352019E-03
  3156.0000    	  3157.0000    	 0.84868477E-03	 0.68526852E-03
  3157.0000    	  3158.0000    	 0.17197840E-01	 0.26290064E-02
  3158.0000    	  3159.0000    	 0.12860477E-01	 0.22412619E-02
  3159.0000    	  3160.0000    	 0.89933179E-02	 0.20162307E-02
  3160.0000    	  3161.0000    	 0.10092915E-01	 0.20847284E-02
  3161.0000    	  3162.0000    	 0.64193483E-02	 0.21711701E-02
  3162.0000    	  3163.0000    	 0.47424869E-02	 0.16554859E-02
  3163.0000    	  3164.0000    	 0.78585199E-02	 0.14456389E-02
  3164.0000    	  3165.0000    	 0.59187149E-02	 0.11070946E-02
  3165.0000    	  3166.0000    	 0.26476055E-02	 0.99481059E-03
  3166.0000    	  3167.0000    	 0.24336689E-02	 0.87353209E-03
  3167.0000    	  3168.0000    	 0.17200557E-02	 0.53698932E-03
  3168.0000    	  3169.0000    	 0.82773225E-02	 0.24668276E-02
  3169.0000    	  3170.0000    	 0.69581289E-02	 0.21934375E-02
  3170.0000    	  3171.0000    	 0.11166860E-01	 0.26510403E-02
  3171.0000    	  3172.0000    	 0.77339858E-02	 0.23017733E-02
  3172.0000    	  3173.0000    	 0.72690771E-02	 0.17378028E-02
  3173.0000    	  3174.0000    	 0.66088306E-02	 0.16173570E-02
  3174.0000    	  3175.0000    	 0.86370860E-02	 0.16473072E-02
  3175.0000    	  3176.0000    	 0.36779915E-02	 0.12035297E-02
  3176.0000    	  3177.0000    	 0.29504152E-02	 0.83537893E-03
  3177.0000    	  3178.0000    	 0.12515427E-02	 0.79017665E-03
  3178.0000    	  3179.0000    	 0.25660597E-02	 0.61706825E-03
  3179.0000    	  3180.0000    	 0.10637942E-01	 0.23590586E-02
  3180.0000    	  3181.0000    	 0.10876771E-01	 0.20266223E-02
  3181.0000    	  3182.0000    	 0.11124752E-01	 0.23708417E-02
  3182.0000    	  3183.0000    	 0.10672516E-01	 0.18604141E-02
  3183.0000    	  3184.0000    	 0.36141259E-02	 0.23106451E-02
  3184.0000    	  3185.0000    	 0.57404049E-02	 0.16761903E-02
  3185.0000    	  3186.0000    	 0.45708173E-02	 0.15313648E-02
  3186.0000    	  3187.0000    	 0.38815358E-02	 0.10630102E-02
  3187.0000    	  3188.0000    	 0.20289196E-02	 0.89628041E-03
  3188.0000    	  3189.0000    	 0.37868966E-02	 0.81476652E-03
  3189.0000    	  3190.0000    	 0.53035856E-03	 0.48775625E-03
  3190.0000    	  3191.0000    	 0.13763741E-01	 0.23303493E-02
  3191.0000    	  3192.0000    	 0.14073275E-01	 0.26680322E-02
  3192.0000    	  3193.0000    	 0.12283814E-01	 0.23568899E-02
  3193.0000    	  3194.0000    	 0.85375199E-02	 0.20386211E-02
  3194.0000    	  3195.0000    	 0.56227516E-02	 0.18475478E-02
  3195.0000    	  3196.0000    	 0.64701279E-02	 0.16697897E-02
  3196.0000    	  3197.0000    	 0.46432741E-02	 0.13084299E-02
  3197.0000    	  3198.0000    	 0.63157219E-02	 0.12937039E-02
  3198.0000    	  3199.0000    	 0.42339836E-02	 0.91682282E-03
