# xi2
# underflow	  70.346038    	 0.65575589E-01
# overflow	-0.57179295E-01	 0.64002225E-02
# sum	  74.314409    	 0.84449580E-01
# xmin	xmax	cross	numerror
  0.0000000    	  1.0000000    	 0.11473369E-01	 0.26174106E-02
  1.0000000    	  2.0000000    	 0.12449126E-01	 0.25481427E-02
  2.0000000    	  3.0000000    	 0.15146828E-01	 0.24125875E-02
  3.0000000    	  4.0000000    	 0.18526108E-01	 0.23385097E-02
  4.0000000    	  5.0000000    	 0.26245094E-01	 0.26426199E-02
  5.0000000    	  6.0000000    	 0.34306938E-01	 0.24085803E-02
  6.0000000    	  7.0000000    	 0.43357399E-01	 0.24891644E-02
  7.0000000    	  8.0000000    	 0.52118888E-01	 0.25770195E-02
  8.0000000    	  9.0000000    	 0.57052960E-01	 0.27229760E-02
  9.0000000    	  10.000000    	 0.66783434E-01	 0.27346818E-02
  10.000000    	  11.000000    	 0.77350202E-01	 0.28847699E-02
  11.000000    	  12.000000    	 0.75498565E-02	 0.23069913E-02
  12.000000    	  13.000000    	 0.95634384E-02	 0.22886911E-02
  13.000000    	  14.000000    	 0.13689867E-01	 0.22761545E-02
  14.000000    	  15.000000    	 0.20253303E-01	 0.22403875E-02
  15.000000    	  16.000000    	 0.27073138E-01	 0.23598757E-02
  16.000000    	  17.000000    	 0.35549754E-01	 0.23723946E-02
  17.000000    	  18.000000    	 0.40457961E-01	 0.24467059E-02
  18.000000    	  19.000000    	 0.52441596E-01	 0.27045010E-02
  19.000000    	  20.000000    	 0.56461774E-01	 0.26698164E-02
  20.000000    	  21.000000    	 0.66434162E-01	 0.28848954E-02
  21.000000    	  22.000000    	 0.76384384E-01	 0.28481731E-02
  22.000000    	  23.000000    	 0.75007588E-02	 0.22177057E-02
  23.000000    	  24.000000    	 0.58951707E-02	 0.22185364E-02
  24.000000    	  25.000000    	 0.14313548E-01	 0.23067809E-02
  25.000000    	  26.000000    	 0.12908783E-01	 0.22315532E-02
  26.000000    	  27.000000    	 0.22655789E-01	 0.22995432E-02
  27.000000    	  28.000000    	 0.25506617E-01	 0.23501178E-02
  28.000000    	  29.000000    	 0.37966780E-01	 0.23410793E-02
  29.000000    	  30.000000    	 0.41454542E-01	 0.27803648E-02
  30.000000    	  31.000000    	 0.50680800E-01	 0.25251888E-02
  31.000000    	  32.000000    	 0.60006253E-01	 0.26754360E-02
  32.000000    	  33.000000    	 0.67268972E-01	 0.31115732E-02
  33.000000    	  34.000000    	 0.73805148E-02	 0.25035720E-02
  34.000000    	  35.000000    	 0.96858605E-02	 0.21886346E-02
  35.000000    	  36.000000    	 0.10374588E-01	 0.24654830E-02
  36.000000    	  37.000000    	 0.16218648E-01	 0.23185798E-02
  37.000000    	  38.000000    	 0.19557924E-01	 0.22958786E-02
  38.000000    	  39.000000    	 0.27848743E-01	 0.22878126E-02
  39.000000    	  40.000000    	 0.33040002E-01	 0.24030827E-02
  40.000000    	  41.000000    	 0.42745104E-01	 0.25573032E-02
  41.000000    	  42.000000    	 0.49502859E-01	 0.25409351E-02
  42.000000    	  43.000000    	 0.54477172E-01	 0.24853119E-02
  43.000000    	  44.000000    	 0.65051881E-01	 0.28693962E-02
  44.000000    	  45.000000    	 0.34214254E-02	 0.23679047E-02
  45.000000    	  46.000000    	 0.11394689E-01	 0.21726967E-02
  46.000000    	  47.000000    	 0.73384721E-02	 0.21570045E-02
  47.000000    	  48.000000    	 0.15299109E-01	 0.23065679E-02
  48.000000    	  49.000000    	 0.18907125E-01	 0.21653133E-02
  49.000000    	  50.000000    	 0.24978195E-01	 0.21519139E-02
  50.000000    	  51.000000    	 0.28810453E-01	 0.23775422E-02
  51.000000    	  52.000000    	 0.38147207E-01	 0.24058834E-02
  52.000000    	  53.000000    	 0.48089589E-01	 0.23498788E-02
  53.000000    	  54.000000    	 0.53029981E-01	 0.24448329E-02
  54.000000    	  55.000000    	 0.60608670E-01	 0.25183815E-02
  55.000000    	  56.000000    	 0.46225348E-02	 0.23949516E-02
  56.000000    	  57.000000    	 0.36414112E-02	 0.21301642E-02
  57.000000    	  58.000000    	 0.10957409E-01	 0.21509672E-02
  58.000000    	  59.000000    	 0.10758845E-01	 0.24456814E-02
  59.000000    	  60.000000    	 0.18847395E-01	 0.20780098E-02
  60.000000    	  61.000000    	 0.26203514E-01	 0.22370002E-02
  61.000000    	  62.000000    	 0.35748064E-01	 0.23579532E-02
  62.000000    	  63.000000    	 0.38771402E-01	 0.24364878E-02
  63.000000    	  64.000000    	 0.46881749E-01	 0.24254031E-02
  64.000000    	  65.000000    	 0.53436206E-01	 0.23216943E-02
  65.000000    	  66.000000    	 0.55415224E-01	 0.25292573E-02
  66.000000    	  67.000000    	 0.50428888E-02	 0.23546049E-02
  67.000000    	  68.000000    	 0.15345665E-02	 0.20765068E-02
  68.000000    	  69.000000    	 0.60165136E-02	 0.19559506E-02
  69.000000    	  70.000000    	 0.10275914E-01	 0.21155813E-02
  70.000000    	  71.000000    	 0.15730464E-01	 0.20194274E-02
  71.000000    	  72.000000    	 0.21857261E-01	 0.21093068E-02
  72.000000    	  73.000000    	 0.27366031E-01	 0.22178473E-02
  73.000000    	  74.000000    	 0.34143254E-01	 0.23422431E-02
  74.000000    	  75.000000    	 0.42546483E-01	 0.23770921E-02
  75.000000    	  76.000000    	 0.48405846E-01	 0.22972618E-02
  76.000000    	  77.000000    	 0.57596095E-01	 0.25817074E-02
  77.000000    	  78.000000    	 0.52780109E-02	 0.21672786E-02
  78.000000    	  79.000000    	 0.56483820E-02	 0.22517227E-02
  79.000000    	  80.000000    	 0.33370178E-02	 0.20814971E-02
  80.000000    	  81.000000    	 0.94728780E-02	 0.20472875E-02
  81.000000    	  82.000000    	 0.15398991E-01	 0.19146965E-02
  82.000000    	  83.000000    	 0.19594349E-01	 0.21757386E-02
  83.000000    	  84.000000    	 0.28185972E-01	 0.22343292E-02
  84.000000    	  85.000000    	 0.36827822E-01	 0.21396442E-02
  85.000000    	  86.000000    	 0.38908676E-01	 0.22038622E-02
  86.000000    	  87.000000    	 0.48648626E-01	 0.24075884E-02
  87.000000    	  88.000000    	 0.51667910E-01	 0.23888372E-02
  88.000000    	  89.000000    	-0.13016538E-02	 0.19790080E-02
  89.000000    	  90.000000    	-0.54560325E-03	 0.21080258E-02
  90.000000    	  91.000000    	 0.10682894E-01	 0.21109266E-02
  91.000000    	  92.000000    	 0.89405641E-02	 0.20929620E-02
  92.000000    	  93.000000    	 0.12771688E-01	 0.19546810E-02
  93.000000    	  94.000000    	 0.17428774E-01	 0.21090376E-02
  94.000000    	  95.000000    	 0.23298229E-01	 0.20961306E-02
  95.000000    	  96.000000    	 0.34254600E-01	 0.21867903E-02
  96.000000    	  97.000000    	 0.38140031E-01	 0.21550070E-02
  97.000000    	  98.000000    	 0.42708557E-01	 0.23931954E-02
  98.000000    	  99.000000    	 0.50900486E-01	 0.23548540E-02
  99.000000    	  100.00000    	 0.14190152E-02	 0.20946343E-02
  100.00000    	  101.00000    	 0.47937832E-02	 0.21389705E-02
  101.00000    	  102.00000    	 0.28572989E-02	 0.20730770E-02
  102.00000    	  103.00000    	 0.61813488E-02	 0.20995662E-02
  103.00000    	  104.00000    	 0.14614061E-01	 0.20056995E-02
  104.00000    	  105.00000    	 0.18177959E-01	 0.21912091E-02
  105.00000    	  106.00000    	 0.27055443E-01	 0.22589726E-02
  106.00000    	  107.00000    	 0.25627529E-01	 0.20716239E-02
  107.00000    	  108.00000    	 0.35522558E-01	 0.22335631E-02
  108.00000    	  109.00000    	 0.41977421E-01	 0.23436674E-02
  109.00000    	  110.00000    	 0.45031885E-01	 0.23750078E-02
  110.00000    	  111.00000    	 0.57878761E-03	 0.21834217E-02
  111.00000    	  112.00000    	 0.52464459E-02	 0.20431679E-02
  112.00000    	  113.00000    	 0.47223756E-02	 0.21025903E-02
  113.00000    	  114.00000    	 0.65764440E-02	 0.20352738E-02
  114.00000    	  115.00000    	 0.10112914E-01	 0.20316229E-02
  115.00000    	  116.00000    	 0.19529048E-01	 0.23083993E-02
  116.00000    	  117.00000    	 0.21008000E-01	 0.22178028E-02
  117.00000    	  118.00000    	 0.25738374E-01	 0.19793322E-02
  118.00000    	  119.00000    	 0.34434084E-01	 0.22162182E-02
  119.00000    	  120.00000    	 0.39130622E-01	 0.21124085E-02
  120.00000    	  121.00000    	 0.45503690E-01	 0.22567349E-02
  121.00000    	  122.00000    	-0.20363346E-02	 0.21597495E-02
  122.00000    	  123.00000    	 0.37225499E-03	 0.18822134E-02
  123.00000    	  124.00000    	 0.11591563E-02	 0.20763896E-02
  124.00000    	  125.00000    	 0.33590659E-02	 0.18988823E-02
  125.00000    	  126.00000    	 0.10189255E-01	 0.20390973E-02
  126.00000    	  127.00000    	 0.15047356E-01	 0.19733088E-02
  127.00000    	  128.00000    	 0.21599177E-01	 0.19756750E-02
  128.00000    	  129.00000    	 0.29004200E-01	 0.20383272E-02
  129.00000    	  130.00000    	 0.33049314E-01	 0.20341659E-02
  130.00000    	  131.00000    	 0.39137814E-01	 0.22253933E-02
  131.00000    	  132.00000    	 0.42180672E-01	 0.22492528E-02
  132.00000    	  133.00000    	-0.12271319E-02	 0.20162532E-02
  133.00000    	  134.00000    	-0.31220080E-02	 0.19074240E-02
  134.00000    	  135.00000    	 0.35046492E-02	 0.20020335E-02
  135.00000    	  136.00000    	 0.28384523E-02	 0.18763986E-02
  136.00000    	  137.00000    	 0.83681185E-02	 0.20735800E-02
  137.00000    	  138.00000    	 0.12979675E-01	 0.20183469E-02
  138.00000    	  139.00000    	 0.19971250E-01	 0.21418545E-02
  139.00000    	  140.00000    	 0.25599987E-01	 0.20357178E-02
  140.00000    	  141.00000    	 0.33830992E-01	 0.21746531E-02
  141.00000    	  142.00000    	 0.34340041E-01	 0.21607984E-02
  142.00000    	  143.00000    	 0.37429474E-01	 0.22172043E-02
  143.00000    	  144.00000    	-0.71824607E-03	 0.20275459E-02
  144.00000    	  145.00000    	 0.78240329E-03	 0.20331883E-02
  145.00000    	  146.00000    	-0.35078353E-04	 0.18683265E-02
  146.00000    	  147.00000    	 0.61352734E-02	 0.19901538E-02
  147.00000    	  148.00000    	 0.89488778E-02	 0.19397832E-02
  148.00000    	  149.00000    	 0.14742744E-01	 0.18827787E-02
  149.00000    	  150.00000    	 0.16527711E-01	 0.19978955E-02
  150.00000    	  151.00000    	 0.24259700E-01	 0.20082731E-02
  151.00000    	  152.00000    	 0.30199708E-01	 0.20487791E-02
  152.00000    	  153.00000    	 0.33555695E-01	 0.20436444E-02
  153.00000    	  154.00000    	 0.35414353E-01	 0.21841611E-02
  154.00000    	  155.00000    	-0.11127067E-02	 0.18879798E-02
  155.00000    	  156.00000    	-0.35091913E-02	 0.19311850E-02
  156.00000    	  157.00000    	 0.34772449E-02	 0.18482179E-02
  157.00000    	  158.00000    	 0.46189978E-02	 0.20769970E-02
  158.00000    	  159.00000    	 0.10522201E-01	 0.19286234E-02
  159.00000    	  160.00000    	 0.93153671E-02	 0.19043743E-02
  160.00000    	  161.00000    	 0.17844824E-01	 0.18715825E-02
  161.00000    	  162.00000    	 0.19990763E-01	 0.19373452E-02
  162.00000    	  163.00000    	 0.28240400E-01	 0.19227627E-02
  163.00000    	  164.00000    	 0.33485188E-01	 0.20808218E-02
  164.00000    	  165.00000    	 0.34025447E-01	 0.24511061E-02
  165.00000    	  166.00000    	-0.37515220E-02	 0.21346109E-02
  166.00000    	  167.00000    	-0.16777386E-02	 0.19867686E-02
  167.00000    	  168.00000    	-0.16880449E-03	 0.18968710E-02
  168.00000    	  169.00000    	 0.35185658E-02	 0.19202799E-02
  169.00000    	  170.00000    	 0.53843544E-02	 0.17956323E-02
  170.00000    	  171.00000    	 0.12239701E-01	 0.17651618E-02
  171.00000    	  172.00000    	 0.17574913E-01	 0.18401491E-02
  172.00000    	  173.00000    	 0.21901903E-01	 0.19251365E-02
  173.00000    	  174.00000    	 0.25117547E-01	 0.20976388E-02
  174.00000    	  175.00000    	 0.31337488E-01	 0.20265670E-02
  175.00000    	  176.00000    	 0.35413742E-01	 0.22808194E-02
  176.00000    	  177.00000    	-0.25423552E-02	 0.21737584E-02
  177.00000    	  178.00000    	-0.27705327E-02	 0.19080390E-02
  178.00000    	  179.00000    	-0.11539173E-02	 0.18150716E-02
  179.00000    	  180.00000    	-0.83152561E-03	 0.19665124E-02
  180.00000    	  181.00000    	 0.39088782E-02	 0.17935174E-02
  181.00000    	  182.00000    	 0.87140897E-02	 0.17808918E-02
  182.00000    	  183.00000    	 0.14510557E-01	 0.18330752E-02
  183.00000    	  184.00000    	 0.21653677E-01	 0.20043712E-02
  184.00000    	  185.00000    	 0.26141711E-01	 0.19398638E-02
  185.00000    	  186.00000    	 0.28937524E-01	 0.21158810E-02
  186.00000    	  187.00000    	 0.34635021E-01	 0.21267935E-02
  187.00000    	  188.00000    	-0.61694804E-02	 0.20056799E-02
  188.00000    	  189.00000    	-0.83780440E-02	 0.20012881E-02
  189.00000    	  190.00000    	-0.64167115E-03	 0.18529133E-02
  190.00000    	  191.00000    	 0.27693761E-02	 0.18817167E-02
  191.00000    	  192.00000    	 0.26631152E-02	 0.18270337E-02
  192.00000    	  193.00000    	 0.85072550E-02	 0.19169148E-02
  193.00000    	  194.00000    	 0.16038396E-01	 0.19014678E-02
  194.00000    	  195.00000    	 0.19001774E-01	 0.19467717E-02
  195.00000    	  196.00000    	 0.24246964E-01	 0.20047939E-02
  196.00000    	  197.00000    	 0.31764307E-01	 0.22161601E-02
  197.00000    	  198.00000    	 0.34594689E-01	 0.20907445E-02
  198.00000    	  199.00000    	-0.46883612E-02	 0.19151602E-02
  199.00000    	  200.00000    	-0.55296347E-03	 0.18669564E-02
  200.00000    	  201.00000    	-0.42323243E-02	 0.17961574E-02
  201.00000    	  202.00000    	-0.92450027E-03	 0.17882983E-02
  202.00000    	  203.00000    	 0.72200446E-02	 0.18607882E-02
  203.00000    	  204.00000    	 0.90283917E-02	 0.19934782E-02
  204.00000    	  205.00000    	 0.15035883E-01	 0.18865790E-02
  205.00000    	  206.00000    	 0.17665094E-01	 0.18360915E-02
  206.00000    	  207.00000    	 0.20739746E-01	 0.20528279E-02
  207.00000    	  208.00000    	 0.27853167E-01	 0.22068150E-02
  208.00000    	  209.00000    	 0.28132397E-01	 0.22022385E-02
  209.00000    	  210.00000    	-0.69412113E-02	 0.18167901E-02
  210.00000    	  211.00000    	-0.50369653E-02	 0.17812522E-02
  211.00000    	  212.00000    	-0.23787365E-02	 0.17888710E-02
  212.00000    	  213.00000    	 0.24903261E-02	 0.17832084E-02
  213.00000    	  214.00000    	 0.86852124E-02	 0.18354406E-02
  214.00000    	  215.00000    	 0.96756392E-02	 0.20992755E-02
  215.00000    	  216.00000    	 0.99864420E-02	 0.18748057E-02
  216.00000    	  217.00000    	 0.19649068E-01	 0.17691118E-02
  217.00000    	  218.00000    	 0.22619550E-01	 0.20128756E-02
  218.00000    	  219.00000    	 0.25241745E-01	 0.20813159E-02
  219.00000    	  220.00000    	 0.30918022E-01	 0.22274768E-02
  220.00000    	  221.00000    	-0.70586246E-02	 0.18903299E-02
  221.00000    	  222.00000    	-0.49804040E-02	 0.18055256E-02
  222.00000    	  223.00000    	-0.43662151E-02	 0.18142687E-02
  223.00000    	  224.00000    	-0.57458051E-03	 0.17718276E-02
  224.00000    	  225.00000    	 0.27904442E-02	 0.18445181E-02
  225.00000    	  226.00000    	 0.76054946E-02	 0.18594866E-02
  226.00000    	  227.00000    	 0.11278731E-01	 0.17675273E-02
  227.00000    	  228.00000    	 0.14772260E-01	 0.18500820E-02
  228.00000    	  229.00000    	 0.18707366E-01	 0.19929650E-02
  229.00000    	  230.00000    	 0.26250919E-01	 0.19472407E-02
  230.00000    	  231.00000    	 0.25398679E-01	 0.21259563E-02
  231.00000    	  232.00000    	-0.77131794E-02	 0.20646305E-02
  232.00000    	  233.00000    	-0.71885599E-02	 0.18328335E-02
  233.00000    	  234.00000    	-0.39869885E-02	 0.18303362E-02
  234.00000    	  235.00000    	-0.37207503E-02	 0.18324810E-02
  235.00000    	  236.00000    	-0.11240507E-02	 0.18153032E-02
  236.00000    	  237.00000    	 0.51337899E-02	 0.16574000E-02
  237.00000    	  238.00000    	 0.11586349E-01	 0.17553388E-02
  238.00000    	  239.00000    	 0.16721464E-01	 0.18800805E-02
  239.00000    	  240.00000    	 0.21389082E-01	 0.18986761E-02
  240.00000    	  241.00000    	 0.24119288E-01	 0.19281401E-02
  241.00000    	  242.00000    	 0.26307023E-01	 0.20245518E-02
  242.00000    	  243.00000    	-0.71894005E-02	 0.21026335E-02
  243.00000    	  244.00000    	-0.51673214E-02	 0.18389477E-02
  244.00000    	  245.00000    	 0.54247125E-04	 0.16791084E-02
  245.00000    	  246.00000    	-0.64839521E-03	 0.16753340E-02
  246.00000    	  247.00000    	 0.36444506E-02	 0.17868612E-02
  247.00000    	  248.00000    	 0.51739395E-02	 0.15843730E-02
  248.00000    	  249.00000    	 0.94933481E-02	 0.18034170E-02
  249.00000    	  250.00000    	 0.15556446E-01	 0.17886330E-02
  250.00000    	  251.00000    	 0.20686154E-01	 0.18813547E-02
  251.00000    	  252.00000    	 0.20035204E-01	 0.19308251E-02
  252.00000    	  253.00000    	 0.27172065E-01	 0.19962624E-02
  253.00000    	  254.00000    	-0.33766478E-02	 0.20397560E-02
  254.00000    	  255.00000    	-0.65197595E-02	 0.19553798E-02
  255.00000    	  256.00000    	-0.72778964E-02	 0.18822675E-02
  256.00000    	  257.00000    	-0.24126635E-02	 0.17278893E-02
  257.00000    	  258.00000    	 0.10125156E-02	 0.17901583E-02
  258.00000    	  259.00000    	 0.67411500E-02	 0.16681479E-02
  259.00000    	  260.00000    	 0.97338795E-02	 0.16853559E-02
  260.00000    	  261.00000    	 0.11289014E-01	 0.20113513E-02
  261.00000    	  262.00000    	 0.16803844E-01	 0.20290399E-02
  262.00000    	  263.00000    	 0.23226911E-01	 0.18571666E-02
  263.00000    	  264.00000    	 0.27681249E-01	 0.19981464E-02
  264.00000    	  265.00000    	-0.10502987E-01	 0.19047980E-02
  265.00000    	  266.00000    	-0.56311091E-02	 0.19214055E-02
  266.00000    	  267.00000    	-0.25515293E-02	 0.19054710E-02
  267.00000    	  268.00000    	-0.28216372E-02	 0.16876683E-02
  268.00000    	  269.00000    	 0.31542048E-03	 0.17239499E-02
  269.00000    	  270.00000    	 0.79596691E-03	 0.17384364E-02
  270.00000    	  271.00000    	 0.79378492E-02	 0.16341221E-02
  271.00000    	  272.00000    	 0.11204760E-01	 0.17847871E-02
  272.00000    	  273.00000    	 0.12434132E-01	 0.19340626E-02
  273.00000    	  274.00000    	 0.18946892E-01	 0.17853985E-02
  274.00000    	  275.00000    	 0.22592703E-01	 0.20035427E-02
  275.00000    	  276.00000    	-0.69488472E-02	 0.20325552E-02
  276.00000    	  277.00000    	-0.86844258E-02	 0.18595455E-02
  277.00000    	  278.00000    	-0.40567683E-02	 0.17741632E-02
  278.00000    	  279.00000    	-0.41048338E-02	 0.19216292E-02
  279.00000    	  280.00000    	 0.95176411E-03	 0.18127312E-02
  280.00000    	  281.00000    	 0.72500134E-02	 0.16283088E-02
  281.00000    	  282.00000    	 0.67823781E-02	 0.17333554E-02
  282.00000    	  283.00000    	 0.12678345E-01	 0.16339468E-02
  283.00000    	  284.00000    	 0.16919417E-01	 0.17563352E-02
  284.00000    	  285.00000    	 0.22370372E-01	 0.17669536E-02
  285.00000    	  286.00000    	 0.22181072E-01	 0.20782031E-02
  286.00000    	  287.00000    	-0.89704861E-02	 0.19222083E-02
  287.00000    	  288.00000    	-0.88473639E-02	 0.17052627E-02
  288.00000    	  289.00000    	-0.72757781E-02	 0.18473302E-02
  289.00000    	  290.00000    	-0.39891509E-02	 0.19612261E-02
  290.00000    	  291.00000    	-0.60730584E-03	 0.18378539E-02
