# xi4
# underflow	 -279.95104    	 0.13859963    
# overflow	 0.78916573E-01	 0.10534257E-01
# sum	 -260.85799    	 0.17211293    
# xmin	xmax	cross	numerror
  0.0000000    	  1.0000000    	 0.58403748E-02	 0.63326724E-02
  1.0000000    	  2.0000000    	-0.12658923E-02	 0.57186331E-02
  2.0000000    	  3.0000000    	 0.11811019E-01	 0.59185309E-02
  3.0000000    	  4.0000000    	 0.17865058E-01	 0.56164565E-02
  4.0000000    	  5.0000000    	 0.21677163E-01	 0.58724641E-02
  5.0000000    	  6.0000000    	 0.33348877E-01	 0.56575634E-02
  6.0000000    	  7.0000000    	 0.42662135E-01	 0.53402339E-02
  7.0000000    	  8.0000000    	 0.58002991E-01	 0.60228003E-02
  8.0000000    	  9.0000000    	 0.79988521E-01	 0.62966237E-02
  9.0000000    	  10.000000    	 0.10845424    	 0.64320568E-02
  10.000000    	  11.000000    	 0.13421238    	 0.68779250E-02
  11.000000    	  12.000000    	-0.30858153E-02	 0.57077310E-02
  12.000000    	  13.000000    	 0.86953284E-02	 0.54651113E-02
  13.000000    	  14.000000    	 0.15565810E-01	 0.57662614E-02
  14.000000    	  15.000000    	 0.11797758E-01	 0.50953033E-02
  15.000000    	  16.000000    	 0.21383308E-01	 0.51250168E-02
  16.000000    	  17.000000    	 0.38596474E-01	 0.51739358E-02
  17.000000    	  18.000000    	 0.50538823E-01	 0.49079655E-02
  18.000000    	  19.000000    	 0.67748283E-01	 0.54798850E-02
  19.000000    	  20.000000    	 0.80283280E-01	 0.55048924E-02
  20.000000    	  21.000000    	 0.99796547E-01	 0.63002090E-02
  21.000000    	  22.000000    	 0.12500970    	 0.62768852E-02
  22.000000    	  23.000000    	 0.54020819E-02	 0.56534541E-02
  23.000000    	  24.000000    	-0.30218999E-02	 0.52085921E-02
  24.000000    	  25.000000    	 0.11087818E-01	 0.56124294E-02
  25.000000    	  26.000000    	 0.41322954E-02	 0.51905777E-02
  26.000000    	  27.000000    	 0.24774425E-01	 0.56582190E-02
  27.000000    	  28.000000    	 0.28360115E-01	 0.49201142E-02
  28.000000    	  29.000000    	 0.41407926E-01	 0.50915780E-02
  29.000000    	  30.000000    	 0.61047687E-01	 0.53322991E-02
  30.000000    	  31.000000    	 0.84957124E-01	 0.53774788E-02
  31.000000    	  32.000000    	 0.90236813E-01	 0.60459558E-02
  32.000000    	  33.000000    	 0.11174054    	 0.62744241E-02
  33.000000    	  34.000000    	 0.50552437E-02	 0.56255511E-02
  34.000000    	  35.000000    	 0.40425839E-02	 0.54037349E-02
  35.000000    	  36.000000    	 0.48094168E-02	 0.48938133E-02
  36.000000    	  37.000000    	 0.18264864E-01	 0.52101770E-02
  37.000000    	  38.000000    	 0.22645915E-01	 0.50390128E-02
  38.000000    	  39.000000    	 0.41899281E-01	 0.46199976E-02
  39.000000    	  40.000000    	 0.53036193E-01	 0.45802003E-02
  40.000000    	  41.000000    	 0.60649943E-01	 0.49579806E-02
  41.000000    	  42.000000    	 0.68321253E-01	 0.51169315E-02
  42.000000    	  43.000000    	 0.89911614E-01	 0.53399710E-02
  43.000000    	  44.000000    	 0.11546971    	 0.61033538E-02
  44.000000    	  45.000000    	 0.27734159E-02	 0.51452123E-02
  45.000000    	  46.000000    	 0.74646636E-02	 0.51861341E-02
  46.000000    	  47.000000    	 0.12414688E-01	 0.51370991E-02
