# xi1
# underflow	  7.9363537    	 0.26355175E-01
# overflow	 0.10021776E-01	 0.52569897E-03
# sum	  7.4848145    	 0.27539957E-01
# xmin	xmax	cross	numerror
  1034.0000    	  1035.0000    	 0.56772806E-03	 0.23700833E-03
  1035.0000    	  1036.0000    	-0.54517932E-04	 0.28592384E-03
  1036.0000    	  1037.0000    	-0.64203075E-03	 0.35794680E-03
  1037.0000    	  1038.0000    	-0.17610684E-02	 0.34278044E-03
  1038.0000    	  1039.0000    	-0.25739103E-02	 0.52373711E-03
  1039.0000    	  1040.0000    	-0.34286147E-02	 0.56244989E-03
  1040.0000    	  1041.0000    	-0.39010638E-02	 0.53589720E-03
  1041.0000    	  1042.0000    	-0.39180591E-02	 0.52682755E-03
  1042.0000    	  1043.0000    	-0.54082878E-02	 0.54313446E-03
  1043.0000    	  1044.0000    	-0.42417548E-02	 0.51429451E-03
  1044.0000    	  1045.0000    	-0.32251164E-02	 0.56701112E-03
  1045.0000    	  1046.0000    	 0.10258565E-02	 0.23821326E-03
  1046.0000    	  1047.0000    	 0.52966714E-03	 0.27113566E-03
  1047.0000    	  1048.0000    	-0.18923107E-03	 0.31731135E-03
  1048.0000    	  1049.0000    	-0.21469424E-02	 0.37280274E-03
  1049.0000    	  1050.0000    	-0.26859373E-02	 0.43055855E-03
  1050.0000    	  1051.0000    	-0.39030796E-02	 0.47010598E-03
  1051.0000    	  1052.0000    	-0.44033009E-02	 0.53464133E-03
  1052.0000    	  1053.0000    	-0.48105913E-02	 0.53020272E-03
  1053.0000    	  1054.0000    	-0.52418455E-02	 0.48470707E-03
  1054.0000    	  1055.0000    	-0.47732803E-02	 0.59991120E-03
  1055.0000    	  1056.0000    	-0.36019922E-02	 0.55631714E-03
  1056.0000    	  1057.0000    	 0.10234889E-02	 0.24513480E-03
  1057.0000    	  1058.0000    	 0.26427535E-03	 0.26595575E-03
  1058.0000    	  1059.0000    	-0.14295048E-03	 0.30979926E-03
  1059.0000    	  1060.0000    	-0.15378542E-02	 0.36846360E-03
  1060.0000    	  1061.0000    	-0.22409565E-02	 0.39093863E-03
  1061.0000    	  1062.0000    	-0.31659029E-02	 0.49422442E-03
  1062.0000    	  1063.0000    	-0.43664487E-02	 0.53527037E-03
  1063.0000    	  1064.0000    	-0.45080842E-02	 0.50435888E-03
  1064.0000    	  1065.0000    	-0.47279418E-02	 0.63055280E-03
  1065.0000    	  1066.0000    	-0.35300667E-02	 0.58105342E-03
  1066.0000    	  1067.0000    	-0.37708822E-02	 0.53932466E-03
  1067.0000    	  1068.0000    	 0.34581699E-03	 0.24117676E-03
  1068.0000    	  1069.0000    	 0.27343196E-03	 0.28016868E-03
  1069.0000    	  1070.0000    	-0.66237108E-03	 0.30701760E-03
  1070.0000    	  1071.0000    	-0.10757657E-02	 0.37557718E-03
  1071.0000    	  1072.0000    	-0.25094350E-02	 0.41654597E-03
  1072.0000    	  1073.0000    	-0.33104344E-02	 0.46380513E-03
  1073.0000    	  1074.0000    	-0.35419784E-02	 0.57189774E-03
  1074.0000    	  1075.0000    	-0.39955140E-02	 0.50395527E-03
  1075.0000    	  1076.0000    	-0.32979580E-02	 0.62569437E-03
  1076.0000    	  1077.0000    	-0.41204013E-02	 0.54604475E-03
  1077.0000    	  1078.0000    	-0.30281430E-02	 0.48653203E-03
  1078.0000    	  1079.0000    	 0.60244027E-03	 0.24242242E-03
  1079.0000    	  1080.0000    	 0.74372231E-03	 0.29109757E-03
  1080.0000    	  1081.0000    	-0.36621497E-03	 0.30646958E-03
  1081.0000    	  1082.0000    	-0.15415145E-02	 0.38035941E-03
  1082.0000    	  1083.0000    	-0.25211651E-02	 0.44043629E-03
  1083.0000    	  1084.0000    	-0.34451268E-02	 0.46913963E-03
  1084.0000    	  1085.0000    	-0.29298630E-02	 0.44900583E-03
  1085.0000    	  1086.0000    	-0.35023155E-02	 0.49818639E-03
  1086.0000    	  1087.0000    	-0.38869403E-02	 0.51699760E-03
  1087.0000    	  1088.0000    	-0.43482580E-02	 0.45760013E-03
  1088.0000    	  1089.0000    	-0.23682024E-02	 0.46330179E-03
  1089.0000    	  1090.0000    	 0.11248041E-02	 0.23765250E-03
  1090.0000    	  1091.0000    	 0.42557405E-03	 0.30426413E-03
  1091.0000    	  1092.0000    	-0.59058491E-04	 0.27549334E-03
  1092.0000    	  1093.0000    	-0.64045233E-03	 0.39851443E-03
  1093.0000    	  1094.0000    	-0.26782726E-02	 0.47215789E-03
  1094.0000    	  1095.0000    	-0.22490446E-02	 0.43325607E-03
  1095.0000    	  1096.0000    	-0.37332223E-02	 0.51832372E-03
