# xi0
# underflow	  86.070971    	 0.23965714    
# overflow	 0.19072471    	 0.10703286E-01
# sum	  108.07754    	 0.24336031    
# xmin	xmax	cross	numerror
  2024.0000    	  2025.0000    	 0.38824424E-01	 0.50058297E-02
  2025.0000    	  2026.0000    	 0.45827881E-01	 0.48449281E-02
  2026.0000    	  2027.0000    	 0.38897260E-01	 0.46572552E-02
  2027.0000    	  2028.0000    	 0.48015162E-01	 0.17066213E-02
  2028.0000    	  2029.0000    	 0.38477270E-01	 0.15572208E-02
  2029.0000    	  2030.0000    	 0.38213791E-01	 0.11397878E-02
  2030.0000    	  2031.0000    	 0.30054381E-01	 0.15909956E-02
  2031.0000    	  2032.0000    	 0.25923448E-01	 0.79900747E-03
  2032.0000    	  2033.0000    	 0.19965130E-01	 0.18372692E-02
  2033.0000    	  2034.0000    	 0.15883044E-01	 0.59134868E-03
  2034.0000    	  2035.0000    	 0.11733471E-01	 0.51530693E-03
  2035.0000    	  2036.0000    	 0.47882063E-01	 0.30384209E-02
  2036.0000    	  2037.0000    	 0.44641155E-01	 0.48588689E-02
  2037.0000    	  2038.0000    	 0.44736011E-01	 0.35757895E-02
  2038.0000    	  2039.0000    	 0.45939914E-01	 0.15780574E-02
  2039.0000    	  2040.0000    	 0.32839210E-01	 0.41490401E-02
  2040.0000    	  2041.0000    	 0.37332558E-01	 0.11149204E-02
  2041.0000    	  2042.0000    	 0.30515102E-01	 0.88802252E-03
  2042.0000    	  2043.0000    	 0.26581373E-01	 0.78260418E-03
  2043.0000    	  2044.0000    	 0.21616408E-01	 0.68316565E-03
  2044.0000    	  2045.0000    	 0.15154073E-01	 0.58447199E-03
  2045.0000    	  2046.0000    	 0.12203126E-01	 0.51201627E-03
  2046.0000    	  2047.0000    	 0.15495688E-01	 0.50625049E-02
  2047.0000    	  2048.0000    	 0.39509609E-01	 0.52542213E-02
  2048.0000    	  2049.0000    	 0.47278256E-01	 0.16410906E-02
  2049.0000    	  2050.0000    	 0.44246051E-01	 0.27613003E-02
  2050.0000    	  2051.0000    	 0.43351333E-01	 0.17814739E-02
  2051.0000    	  2052.0000    	 0.33745083E-01	 0.23781936E-02
  2052.0000    	  2053.0000    	 0.31429699E-01	 0.89575115E-03
  2053.0000    	  2054.0000    	 0.25302481E-01	 0.76549910E-03
  2054.0000    	  2055.0000    	 0.20544272E-01	 0.65952826E-03
  2055.0000    	  2056.0000    	 0.15925010E-01	 0.57687524E-03
  2056.0000    	  2057.0000    	 0.11256082E-01	 0.49737972E-03
  2057.0000    	  2058.0000    	 0.52819068E-01	 0.18725582E-02
  2058.0000    	  2059.0000    	 0.51759982E-01	 0.18055172E-02
  2059.0000    	  2060.0000    	 0.45159094E-01	 0.39591600E-02
  2060.0000    	  2061.0000    	 0.43752140E-01	 0.44310152E-02
  2061.0000    	  2062.0000    	 0.36697127E-01	 0.26074693E-02
  2062.0000    	  2063.0000    	 0.37287069E-01	 0.10139741E-02
