# xi3
# underflow	 0.39572223    	 0.16819861E-02
# overflow	 0.67193385E-03	 0.10994231E-03
# sum	 0.43764734    	 0.18058679E-02
# xmin	xmax	cross	numerror
  3124.0000    	  3125.0000    	 0.34548302E-04	 0.30935890E-04
  3125.0000    	  3126.0000    	-0.25916988E-04	 0.24528238E-04
  3126.0000    	  3127.0000    	 0.94579041E-04	 0.27530980E-04
  3127.0000    	  3128.0000    	-0.16789276E-04	 0.27205813E-04
  3128.0000    	  3129.0000    	 0.94950644E-04	 0.29835563E-04
  3129.0000    	  3130.0000    	 0.94721091E-04	 0.30081997E-04
  3130.0000    	  3131.0000    	-0.52280466E-04	 0.28419147E-04
  3131.0000    	  3132.0000    	 0.16356348E-04	 0.37145289E-04
  3132.0000    	  3133.0000    	-0.36221561E-04	 0.25727454E-04
  3133.0000    	  3134.0000    	-0.13269028E-04	 0.23173416E-04
  3134.0000    	  3135.0000    	-0.61463627E-05	 0.19581887E-04
  3135.0000    	  3136.0000    	-0.91667128E-04	 0.27340280E-04
  3136.0000    	  3137.0000    	 0.11964336E-03	 0.27253260E-04
  3137.0000    	  3138.0000    	 0.98938511E-04	 0.34305881E-04
  3138.0000    	  3139.0000    	 0.13163861E-03	 0.26213967E-04
  3139.0000    	  3140.0000    	 0.12322544E-03	 0.35585000E-04
  3140.0000    	  3141.0000    	 0.19651272E-03	 0.36248832E-04
  3141.0000    	  3142.0000    	-0.10775099E-04	 0.31911519E-04
  3142.0000    	  3143.0000    	-0.54563242E-04	 0.30535874E-04
  3143.0000    	  3144.0000    	-0.28136018E-04	 0.27859949E-04
  3144.0000    	  3145.0000    	 0.55672697E-05	 0.24843448E-04
  3145.0000    	  3146.0000    	 0.40998332E-04	 0.23923428E-04
  3146.0000    	  3147.0000    	-0.19488787E-04	 0.26436271E-04
  3147.0000    	  3148.0000    	 0.90949820E-04	 0.28954247E-04
  3148.0000    	  3149.0000    	-0.30610057E-04	 0.30466629E-04
  3149.0000    	  3150.0000    	 0.13922848E-03	 0.32194275E-04
  3150.0000    	  3151.0000    	 0.11402348E-03	 0.32516523E-04
  3151.0000    	  3152.0000    	 0.34817829E-04	 0.30133657E-04
