# xi4
# underflow	  6670.5640    	  1.9261741    
# overflow	  4.5430170    	 0.31223917    
# sum	  7504.5518    	  3.1014990    
# xmin	xmax	cross	numerror
  0.0000000    	  1.0000000    	  3.2529625    	 0.16513887    
  1.0000000    	  2.0000000    	  3.1936006    	 0.15598508    
  2.0000000    	  3.0000000    	  3.4766552    	 0.14742509    
  3.0000000    	  4.0000000    	  3.1109120    	 0.14402913    
  4.0000000    	  5.0000000    	  3.2893851    	 0.13907916    
  5.0000000    	  6.0000000    	  2.7224594    	 0.12846312    
  6.0000000    	  7.0000000    	  2.6345049    	 0.12188466    
  7.0000000    	  8.0000000    	  2.5240525    	 0.11285124    
  8.0000000    	  9.0000000    	  2.1834162    	 0.10656491    
  9.0000000    	  10.000000    	  1.7994032    	 0.11026232    
  10.000000    	  11.000000    	  1.4991999    	 0.11092177    
  11.000000    	  12.000000    	  3.3473970    	 0.16856652    
  12.000000    	  13.000000    	  3.1217328    	 0.15303639    
  13.000000    	  14.000000    	  3.3022288    	 0.14617518    
  14.000000    	  15.000000    	  2.9713580    	 0.13653252    
  15.000000    	  16.000000    	  2.8669285    	 0.13740813    
  16.000000    	  17.000000    	  2.8860935    	 0.13181426    
  17.000000    	  18.000000    	  2.4865643    	 0.12079127    
  18.000000    	  19.000000    	  2.4123938    	 0.11177859    
  19.000000    	  20.000000    	  1.9243258    	 0.99623038E-01
  20.000000    	  21.000000    	  1.8815217    	 0.10264728    
  21.000000    	  22.000000    	  1.5926367    	 0.10837480    
  22.000000    	  23.000000    	  3.1525144    	 0.16666618    
  23.000000    	  24.000000    	  2.8775326    	 0.15479895    
  24.000000    	  25.000000    	  3.0056927    	 0.15243175    
  25.000000    	  26.000000    	  2.9745101    	 0.13276075    
  26.000000    	  27.000000    	  2.6540119    	 0.12857265    
  27.000000    	  28.000000    	  2.5062899    	 0.12376550    
  28.000000    	  29.000000    	  2.4312500    	 0.12207499    
  29.000000    	  30.000000    	  1.9911835    	 0.10837220    
  30.000000    	  31.000000    	  2.0915511    	 0.96133080E-01
  31.000000    	  32.000000    	  1.6597957    	 0.10138551    
  32.000000    	  33.000000    	  1.5062831    	 0.93860686E-01
  33.000000    	  34.000000    	  2.9784949    	 0.16030227    
  34.000000    	  35.000000    	  3.1565000    	 0.14341750    
  35.000000    	  36.000000    	  2.8090266    	 0.13736692    
  36.000000    	  37.000000    	  2.6965607    	 0.13676976    
  37.000000    	  38.000000    	  2.5585223    	 0.12657751    
  38.000000    	  39.000000    	  2.2682113    	 0.11807450    
  39.000000    	  40.000000    	  2.2526797    	 0.11538879    
  40.000000    	  41.000000    	  2.0605377    	 0.99374149E-01
  41.000000    	  42.000000    	  1.7197656    	 0.93770713E-01
  42.000000    	  43.000000    	  1.5583960    	 0.96423793E-01
  43.000000    	  44.000000    	  1.5138143    	 0.89301367E-01
  44.000000    	  45.000000    	  2.7315287    	 0.14488904    
  45.000000    	  46.000000    	  2.7950004    	 0.13750203    
  46.000000    	  47.000000    	  2.6782378    	 0.12763806    
  47.000000    	  48.000000    	  2.6603112    	 0.13964208    
  48.000000    	  49.000000    	  2.5746506    	 0.13168776    
  49.000000    	  50.000000    	  2.5361912    	 0.10741472    
  50.000000    	  51.000000    	  2.2363763    	 0.10052753    
  51.000000    	  52.000000    	  1.9501547    	 0.96010327E-01
  52.000000    	  53.000000    	  1.5697200    	 0.96673686E-01
  53.000000    	  54.000000    	  1.3854509    	 0.96333645E-01
  54.000000    	  55.000000    	  1.1275371    	 0.89766710E-01
  55.000000    	  56.000000    	  2.6568099    	 0.14551254    
  56.000000    	  57.000000    	  2.5666840    	 0.13578943    
  57.000000    	  58.000000    	  2.6317330    	 0.12858593    
  58.000000    	  59.000000    	  2.6343229    	 0.12238629    
  59.000000    	  60.000000    	  2.4275654    	 0.11708197    
  60.000000    	  61.000000    	  2.3449920    	 0.10637791    
  61.000000    	  62.000000    	  2.1130899    	 0.10504651    
  62.000000    	  63.000000    	  1.8462264    	 0.92846513E-01
  63.000000    	  64.000000    	  1.6416356    	 0.95811135E-01
  64.000000    	  65.000000    	  1.3462736    	 0.89897188E-01
  65.000000    	  66.000000    	  1.1219165    	 0.89819776E-01
  66.000000    	  67.000000    	  2.6831410    	 0.13866911    
  67.000000    	  68.000000    	  2.3894342    	 0.13126408    
  68.000000    	  69.000000    	  2.7303031    	 0.12398417    
