# xi0
# underflow	 -318.85870    	 0.63342463    
# overflow	 -1.6222347    	 0.10902535    
# sum	 -523.70967    	  1.0676404    
# xmin	xmax	cross	numerror
  1034.0000    	  1035.0000    	-0.67416181    	 0.56690878E-01
  1035.0000    	  1036.0000    	-0.59487960    	 0.51806356E-01
  1036.0000    	  1037.0000    	-0.63172900    	 0.44609793E-01
  1037.0000    	  1038.0000    	-0.55836600    	 0.50506113E-01
  1038.0000    	  1039.0000    	-0.48409459    	 0.43400076E-01
  1039.0000    	  1040.0000    	-0.41938591    	 0.35821174E-01
  1040.0000    	  1041.0000    	-0.34499018    	 0.35194435E-01
  1041.0000    	  1042.0000    	-0.28909186    	 0.31683230E-01
  1042.0000    	  1043.0000    	-0.29023561    	 0.26432483E-01
  1043.0000    	  1044.0000    	-0.20188389    	 0.23970851E-01
  1044.0000    	  1045.0000    	-0.15766768    	 0.19228875E-01
  1045.0000    	  1046.0000    	-0.59288605    	 0.50304572E-01
  1046.0000    	  1047.0000    	-0.62825263    	 0.51148863E-01
  1047.0000    	  1048.0000    	-0.61612275    	 0.43106325E-01
  1048.0000    	  1049.0000    	-0.46012113    	 0.41691477E-01
  1049.0000    	  1050.0000    	-0.47448561    	 0.41275121E-01
  1050.0000    	  1051.0000    	-0.40000474    	 0.40903675E-01
  1051.0000    	  1052.0000    	-0.37661477    	 0.36723591E-01
  1052.0000    	  1053.0000    	-0.28792133    	 0.31061568E-01
  1053.0000    	  1054.0000    	-0.23421316    	 0.24507132E-01
  1054.0000    	  1055.0000    	-0.18647391    	 0.23069314E-01
  1055.0000    	  1056.0000    	-0.13343485    	 0.17850264E-01
  1056.0000    	  1057.0000    	-0.51761915    	 0.52313264E-01
  1057.0000    	  1058.0000    	-0.69849659    	 0.52363950E-01
  1058.0000    	  1059.0000    	-0.66579587    	 0.43069538E-01
  1059.0000    	  1060.0000    	-0.59162932    	 0.41569037E-01
  1060.0000    	  1061.0000    	-0.48579121    	 0.38651038E-01
  1061.0000    	  1062.0000    	-0.44958827    	 0.40352915E-01
  1062.0000    	  1063.0000    	-0.37422043    	 0.34020613E-01
  1063.0000    	  1064.0000    	-0.29127699    	 0.31022740E-01
  1064.0000    	  1065.0000    	-0.22960739    	 0.24543496E-01
  1065.0000    	  1066.0000    	-0.20681136    	 0.21553103E-01
  1066.0000    	  1067.0000    	-0.15423741    	 0.17538305E-01
  1067.0000    	  1068.0000    	-0.63158603    	 0.52183053E-01
  1068.0000    	  1069.0000    	-0.49563203    	 0.50122563E-01
  1069.0000    	  1070.0000    	-0.57522945    	 0.43363938E-01
  1070.0000    	  1071.0000    	-0.50581744    	 0.40254112E-01
  1071.0000    	  1072.0000    	-0.40460200    	 0.44644258E-01
  1072.0000    	  1073.0000    	-0.34657210    	 0.37307169E-01
  1073.0000    	  1074.0000    	-0.36307576    	 0.32061118E-01
  1074.0000    	  1075.0000    	-0.29938417    	 0.30332970E-01
  1075.0000    	  1076.0000    	-0.27572651    	 0.27359401E-01
  1076.0000    	  1077.0000    	-0.22834076    	 0.20011089E-01
  1077.0000    	  1078.0000    	-0.16628523    	 0.17023849E-01
