# xi3
# underflow	  8.3499825    	 0.58990292E-01
# overflow	 0.16873507E-02	 0.65608265E-03
# sum	  9.4608627    	 0.65224668E-01
# xmin	xmax	cross	numerror
  4224.0000    	  4225.0000    	 0.23574961E-02	 0.12567291E-02
  4225.0000    	  4226.0000    	 0.23819749E-03	 0.17373092E-02
  4226.0000    	  4227.0000    	 0.18152003E-02	 0.14335651E-02
  4227.0000    	  4228.0000    	 0.39247561E-02	 0.13904604E-02
  4228.0000    	  4229.0000    	 0.41088165E-02	 0.13105748E-02
  4229.0000    	  4230.0000    	 0.25248097E-02	 0.12713461E-02
  4230.0000    	  4231.0000    	-0.72545910E-03	 0.10004301E-02
  4231.0000    	  4232.0000    	-0.97239560E-03	 0.81658671E-03
  4232.0000    	  4233.0000    	-0.15759749E-02	 0.70579947E-03
  4233.0000    	  4234.0000    	-0.90372332E-03	 0.55030058E-03
  4234.0000    	  4235.0000    	 0.17881046E-03	 0.45614514E-03
  4235.0000    	  4236.0000    	 0.27787929E-02	 0.11215007E-02
  4236.0000    	  4237.0000    	 0.82130188E-03	 0.17015061E-02
  4237.0000    	  4238.0000    	-0.35528258E-04	 0.12753182E-02
  4238.0000    	  4239.0000    	 0.28542954E-02	 0.14257821E-02
  4239.0000    	  4240.0000    	-0.12579931E-02	 0.11562350E-02
  4240.0000    	  4241.0000    	 0.27931288E-02	 0.14393069E-02
  4241.0000    	  4242.0000    	-0.58311253E-03	 0.93121593E-03
  4242.0000    	  4243.0000    	-0.97899778E-03	 0.73116391E-03
  4243.0000    	  4244.0000    	-0.99983328E-03	 0.84650923E-03
  4244.0000    	  4245.0000    	-0.44044849E-03	 0.56524055E-03
  4245.0000    	  4246.0000    	-0.32762928E-04	 0.45112577E-03
  4246.0000    	  4247.0000    	 0.10940930E-03	 0.15232165E-02
  4247.0000    	  4248.0000    	 0.24022187E-02	 0.14459422E-02
  4248.0000    	  4249.0000    	 0.38104207E-02	 0.13677349E-02
  4249.0000    	  4250.0000    	 0.27347095E-02	 0.16363082E-02
  4250.0000    	  4251.0000    	 0.15115438E-02	 0.13202786E-02
  4251.0000    	  4252.0000    	 0.70701149E-03	 0.11583685E-02
  4252.0000    	  4253.0000    	 0.17332350E-02	 0.10860519E-02
  4253.0000    	  4254.0000    	 0.25340768E-03	 0.70410202E-03
  4254.0000    	  4255.0000    	 0.10480319E-02	 0.96328926E-03
  4255.0000    	  4256.0000    	-0.38479442E-03	 0.44802673E-03
  4256.0000    	  4257.0000    	-0.93105390E-03	 0.37135932E-03
  4257.0000    	  4258.0000    	 0.35512505E-02	 0.13185480E-02
  4258.0000    	  4259.0000    	-0.10397315E-02	 0.12644439E-02
  4259.0000    	  4260.0000    	 0.46166967E-04	 0.11165260E-02
  4260.0000    	  4261.0000    	 0.29861131E-02	 0.11772659E-02
  4261.0000    	  4262.0000    	 0.30182425E-02	 0.13145624E-02
  4262.0000    	  4263.0000    	 0.21778996E-02	 0.11882065E-02
  4263.0000    	  4264.0000    	-0.18806698E-02	 0.10348072E-02
  4264.0000    	  4265.0000    	 0.44228342E-03	 0.86123938E-03
  4265.0000    	  4266.0000    	 0.45552458E-03	 0.71350911E-03
  4266.0000    	  4267.0000    	 0.10635796E-03	 0.59616455E-03
  4267.0000    	  4268.0000    	 0.12813083E-03	 0.33173386E-03
  4268.0000    	  4269.0000    	 0.19670562E-02	 0.11926599E-02
  4269.0000    	  4270.0000    	 0.10081082E-02	 0.14476183E-02
  4270.0000    	  4271.0000    	 0.13806946E-02	 0.15851218E-02
  4271.0000    	  4272.0000    	 0.17037145E-02	 0.98615806E-03
  4272.0000    	  4273.0000    	 0.26918788E-02	 0.13037041E-02
  4273.0000    	  4274.0000    	 0.17628599E-02	 0.11363888E-02
  4274.0000    	  4275.0000    	 0.11027505E-02	 0.10816797E-02
  4275.0000    	  4276.0000    	 0.14683437E-02	 0.78109548E-03
  4276.0000    	  4277.0000    	-0.60335100E-03	 0.70722260E-03
  4277.0000    	  4278.0000    	-0.59140961E-04	 0.47406331E-03
  4278.0000    	  4279.0000    	 0.25180048E-03	 0.34891951E-03
  4279.0000    	  4280.0000    	 0.83746750E-03	 0.10169037E-02
  4280.0000    	  4281.0000    	 0.22048499E-02	 0.11930504E-02
  4281.0000    	  4282.0000    	-0.15761075E-02	 0.12342948E-02
  4282.0000    	  4283.0000    	 0.89843910E-03	 0.10550221E-02
  4283.0000    	  4284.0000    	 0.13323274E-02	 0.12219018E-02
  4284.0000    	  4285.0000    	 0.14277500E-02	 0.96729364E-03
  4285.0000    	  4286.0000    	 0.38155359E-03	 0.86318527E-03
  4286.0000    	  4287.0000    	-0.18189323E-02	 0.90926755E-03
  4287.0000    	  4288.0000    	-0.29776164E-04	 0.64681889E-03
  4288.0000    	  4289.0000    	 0.62655582E-03	 0.51986104E-03
  4289.0000    	  4290.0000    	-0.21707799E-03	 0.36019006E-03
  4290.0000    	  4291.0000    	 0.48503723E-03	 0.11915640E-02
  4291.0000    	  4292.0000    	 0.25937817E-02	 0.11749754E-02
  4292.0000    	  4293.0000    	 0.26916420E-02	 0.11978374E-02
  4293.0000    	  4294.0000    	 0.45062716E-02	 0.14132346E-02
  4294.0000    	  4295.0000    	 0.46917170E-03	 0.12859136E-02
  4295.0000    	  4296.0000    	 0.10985698E-02	 0.10934477E-02
  4296.0000    	  4297.0000    	 0.20492157E-02	 0.10947695E-02
  4297.0000    	  4298.0000    	 0.53781768E-03	 0.93210368E-03
  4298.0000    	  4299.0000    	-0.30513380E-03	 0.64136129E-03
  4299.0000    	  4300.0000    	-0.42091219E-03	 0.55957346E-03
  4300.0000    	  4301.0000    	 0.22059136E-03	 0.34909320E-03
  4301.0000    	  4302.0000    	 0.39604756E-03	 0.11414914E-02
  4302.0000    	  4303.0000    	 0.13629660E-02	 0.94415192E-03
  4303.0000    	  4304.0000    	 0.37510527E-02	 0.14025392E-02
  4304.0000    	  4305.0000    	-0.68427730E-03	 0.12909903E-02
  4305.0000    	  4306.0000    	-0.43607349E-04	 0.11859059E-02
  4306.0000    	  4307.0000    	-0.12450428E-03	 0.99826142E-03
  4307.0000    	  4308.0000    	-0.75860791E-03	 0.11314250E-02
  4308.0000    	  4309.0000    	-0.16243132E-03	 0.92932021E-03
  4309.0000    	  4310.0000    	-0.16494008E-03	 0.58475526E-03
  4310.0000    	  4311.0000    	-0.44858102E-03	 0.50103881E-03
  4311.0000    	  4312.0000    	 0.61359869E-03	 0.36364808E-03
  4312.0000    	  4313.0000    	-0.82730855E-04	 0.84395506E-03
  4313.0000    	  4314.0000    	-0.14581787E-02	 0.12909186E-02
  4314.0000    	  4315.0000    	 0.23743886E-03	 0.12951547E-02
  4315.0000    	  4316.0000    	 0.85134134E-03	 0.13593337E-02
  4316.0000    	  4317.0000    	 0.27022291E-02	 0.13783081E-02
  4317.0000    	  4318.0000    	 0.17724696E-02	 0.11054126E-02
  4318.0000    	  4319.0000    	 0.25082665E-02	 0.10475766E-02
  4319.0000    	  4320.0000    	 0.56714958E-03	 0.78390177E-03
  4320.0000    	  4321.0000    	-0.32249711E-03	 0.61589690E-03
  4321.0000    	  4322.0000    	-0.54582835E-03	 0.43464976E-03
  4322.0000    	  4323.0000    	 0.83726703E-04	 0.32730835E-03
  4323.0000    	  4324.0000    	 0.16122802E-02	 0.10763510E-02
  4324.0000    	  4325.0000    	-0.65754033E-03	 0.13796823E-02
  4325.0000    	  4326.0000    	 0.18809624E-02	 0.14221366E-02
  4326.0000    	  4327.0000    	 0.16196399E-02	 0.13141196E-02
  4327.0000    	  4328.0000    	 0.20853033E-02	 0.12614999E-02
  4328.0000    	  4329.0000    	 0.25455306E-02	 0.11300451E-02
  4329.0000    	  4330.0000    	 0.11565476E-02	 0.10268407E-02
  4330.0000    	  4331.0000    	 0.17854373E-03	 0.85187897E-03
  4331.0000    	  4332.0000    	 0.30653749E-04	 0.76550765E-03
  4332.0000    	  4333.0000    	-0.59138588E-04	 0.56568240E-03
  4333.0000    	  4334.0000    	 0.38571711E-03	 0.39713267E-03
  4334.0000    	  4335.0000    	-0.46533570E-03	 0.90912852E-03
  4335.0000    	  4336.0000    	 0.17015996E-02	 0.88400538E-03
  4336.0000    	  4337.0000    	 0.85811356E-03	 0.16347361E-02
  4337.0000    	  4338.0000    	 0.14533417E-02	 0.12927013E-02
  4338.0000    	  4339.0000    	 0.10533919E-02	 0.11895299E-02
  4339.0000    	  4340.0000    	 0.29151422E-02	 0.10988430E-02
  4340.0000    	  4341.0000    	 0.31692255E-02	 0.96352383E-03
  4341.0000    	  4342.0000    	 0.25557675E-02	 0.11261588E-02
  4342.0000    	  4343.0000    	-0.41307072E-03	 0.77290558E-03
  4343.0000    	  4344.0000    	-0.30550750E-03	 0.54501875E-03
  4344.0000    	  4345.0000    	 0.65058717E-03	 0.40616345E-03
