# xi4
# underflow	  10.471560    	 0.69628174E-01
# overflow	-0.49880766E-03	 0.54732118E-03
# sum	  10.974020    	 0.70526143E-01
# xmin	xmax	cross	numerror
  4224.0000    	  4225.0000    	 0.70038403E-03	 0.36583777E-03
  4225.0000    	  4226.0000    	 0.28319006E-03	 0.50872032E-03
  4226.0000    	  4227.0000    	-0.44761205E-03	 0.51262644E-03
  4227.0000    	  4228.0000    	 0.25362512E-03	 0.63564416E-03
  4228.0000    	  4229.0000    	 0.51978702E-04	 0.41675357E-03
  4229.0000    	  4230.0000    	 0.70213304E-03	 0.49863301E-03
  4230.0000    	  4231.0000    	 0.25419955E-03	 0.36152131E-03
  4231.0000    	  4232.0000    	 0.72708722E-03	 0.44700766E-03
  4232.0000    	  4233.0000    	 0.17235450E-02	 0.45766158E-03
  4233.0000    	  4234.0000    	 0.95711279E-03	 0.55171736E-03
  4234.0000    	  4235.0000    	 0.88988159E-03	 0.42939363E-03
  4235.0000    	  4236.0000    	 0.72194247E-03	 0.45387681E-03
  4236.0000    	  4237.0000    	 0.32688024E-03	 0.20935771E-03
  4237.0000    	  4238.0000    	 0.27016269E-03	 0.46422071E-03
  4238.0000    	  4239.0000    	 0.40356097E-03	 0.50711681E-03
  4239.0000    	  4240.0000    	 0.11748647E-02	 0.54059214E-03
  4240.0000    	  4241.0000    	 0.21181970E-03	 0.54892102E-03
  4241.0000    	  4242.0000    	 0.68565439E-03	 0.39589837E-03
  4242.0000    	  4243.0000    	-0.22681026E-03	 0.40285562E-03
  4243.0000    	  4244.0000    	 0.26584649E-03	 0.40380334E-03
  4244.0000    	  4245.0000    	 0.89614958E-03	 0.51184474E-03
  4245.0000    	  4246.0000    	 0.12635641E-02	 0.48263022E-03
  4246.0000    	  4247.0000    	-0.29024081E-04	 0.42766408E-03
  4247.0000    	  4248.0000    	-0.22366284E-03	 0.23742777E-03
  4248.0000    	  4249.0000    	-0.14904450E-03	 0.30737978E-03
  4249.0000    	  4250.0000    	 0.67860226E-03	 0.63871555E-03
  4250.0000    	  4251.0000    	 0.13972288E-02	 0.58204778E-03
