# xi0
# underflow	 -1.5526034    	 0.25513139    
# overflow	 -5.8505628    	 0.11032406    
# sum	 -278.07081    	  1.3917980    
# xmin	xmax	cross	numerror
  2068.0000    	  2069.0000    	-0.91653423    	 0.38729733E-01
  2069.0000    	  2070.0000    	 -1.1077621    	 0.40465345E-01
  2070.0000    	  2071.0000    	 -1.2853144    	 0.43525537E-01
  2071.0000    	  2072.0000    	 -1.3596941    	 0.45577323E-01
  2072.0000    	  2073.0000    	 -1.4465488    	 0.46490823E-01
  2073.0000    	  2074.0000    	 -1.4651740    	 0.43290706E-01
  2074.0000    	  2075.0000    	 -1.3252083    	 0.40922545E-01
  2075.0000    	  2076.0000    	 -1.0786987    	 0.39025832E-01
  2076.0000    	  2077.0000    	-0.92350986    	 0.39286763E-01
  2077.0000    	  2078.0000    	-0.66266294    	 0.34044234E-01
  2078.0000    	  2079.0000    	-0.33841179    	 0.34128099E-01
  2079.0000    	  2080.0000    	 0.20799483E-02	 0.32971226E-01
  2080.0000    	  2081.0000    	 0.36123499    	 0.33984375E-01
  2081.0000    	  2082.0000    	 0.64363760    	 0.37512797E-01
  2082.0000    	  2083.0000    	 0.91965601    	 0.41843913E-01
  2083.0000    	  2084.0000    	  1.1166821    	 0.45979223E-01
  2084.0000    	  2085.0000    	  1.3317746    	 0.47273358E-01
  2085.0000    	  2086.0000    	  1.4016809    	 0.50492453E-01
  2086.0000    	  2087.0000    	  1.4223391    	 0.52088566E-01
  2087.0000    	  2088.0000    	  1.4303602    	 0.51982329E-01
  2088.0000    	  2089.0000    	  1.3334655    	 0.52978333E-01
  2089.0000    	  2090.0000    	  1.1747515    	 0.53645114E-01
  2090.0000    	  2091.0000    	-0.79477318    	 0.38068769E-01
  2091.0000    	  2092.0000    	 -1.0160451    	 0.44686367E-01
  2092.0000    	  2093.0000    	 -1.2476666    	 0.43610507E-01
  2093.0000    	  2094.0000    	 -1.4266789    	 0.46755143E-01
  2094.0000    	  2095.0000    	 -1.4331293    	 0.45041241E-01
  2095.0000    	  2096.0000    	 -1.4336936    	 0.46224183E-01
  2096.0000    	  2097.0000    	 -1.3512683    	 0.42853613E-01
  2097.0000    	  2098.0000    	 -1.1434813    	 0.37066134E-01
  2098.0000    	  2099.0000    	-0.97268937    	 0.36325773E-01
  2099.0000    	  2100.0000    	-0.67668551    	 0.33374394E-01
  2100.0000    	  2101.0000    	-0.33237613    	 0.33217640E-01
  2101.0000    	  2102.0000    	-0.74366360E-01	 0.34655278E-01
  2102.0000    	  2103.0000    	 0.30587520    	 0.33068656E-01
  2103.0000    	  2104.0000    	 0.61066257    	 0.38426584E-01
  2104.0000    	  2105.0000    	 0.87001930    	 0.42157114E-01
  2105.0000    	  2106.0000    	  1.1521639    	 0.45089032E-01
  2106.0000    	  2107.0000    	  1.3098385    	 0.47272762E-01
  2107.0000    	  2108.0000    	  1.3349059    	 0.47717209E-01
  2108.0000    	  2109.0000    	  1.4210216    	 0.52277087E-01
  2109.0000    	  2110.0000    	  1.4092219    	 0.50495699E-01
  2110.0000    	  2111.0000    	  1.2818312    	 0.51438830E-01
  2111.0000    	  2112.0000    	  1.2397870    	 0.50792660E-01
  2112.0000    	  2113.0000    	-0.87010434    	 0.42003779E-01
  2113.0000    	  2114.0000    	 -1.0876081    	 0.42500534E-01
  2114.0000    	  2115.0000    	 -1.2465739    	 0.44733113E-01
  2115.0000    	  2116.0000    	 -1.3094513    	 0.44922035E-01
  2116.0000    	  2117.0000    	 -1.4362901    	 0.42660992E-01
  2117.0000    	  2118.0000    	 -1.3980591    	 0.44282816E-01
  2118.0000    	  2119.0000    	 -1.2722649    	 0.41504952E-01
  2119.0000    	  2120.0000    	 -1.1906845    	 0.37642372E-01
  2120.0000    	  2121.0000    	-0.95325048    	 0.34108076E-01
  2121.0000    	  2122.0000    	-0.67822193    	 0.33488584E-01
  2122.0000    	  2123.0000    	-0.36717963    	 0.31029727E-01
  2123.0000    	  2124.0000    	-0.76077328E-05	 0.33648979E-01
  2124.0000    	  2125.0000    	 0.32679723    	 0.34109388E-01
  2125.0000    	  2126.0000    	 0.57154617    	 0.37769737E-01
  2126.0000    	  2127.0000    	 0.90847714    	 0.40807003E-01
  2127.0000    	  2128.0000    	  1.0063568    	 0.42577661E-01
  2128.0000    	  2129.0000    	  1.2215688    	 0.45929084E-01
  2129.0000    	  2130.0000    	  1.3706170    	 0.50384734E-01
  2130.0000    	  2131.0000    	  1.3501000    	 0.50834121E-01
  2131.0000    	  2132.0000    	  1.4007494    	 0.50500365E-01
  2132.0000    	  2133.0000    	  1.2720144    	 0.49991231E-01
  2133.0000    	  2134.0000    	  1.1410270    	 0.49615679E-01
  2134.0000    	  2135.0000    	-0.82585145    	 0.41377208E-01
  2135.0000    	  2136.0000    	 -1.0715706    	 0.39874707E-01
  2136.0000    	  2137.0000    	 -1.1882059    	 0.45333419E-01
  2137.0000    	  2138.0000    	 -1.2965195    	 0.44532184E-01
  2138.0000    	  2139.0000    	 -1.3149320    	 0.43671057E-01
  2139.0000    	  2140.0000    	 -1.4675000    	 0.42427685E-01
  2140.0000    	  2141.0000    	 -1.2811222    	 0.39465527E-01
  2141.0000    	  2142.0000    	 -1.2114685    	 0.39951885E-01
  2142.0000    	  2143.0000    	-0.89114981    	 0.35801207E-01
  2143.0000    	  2144.0000    	-0.60802706    	 0.33098177E-01
  2144.0000    	  2145.0000    	-0.30703769    	 0.32535858E-01
  2145.0000    	  2146.0000    	 0.29624827E-01	 0.32132205E-01
  2146.0000    	  2147.0000    	 0.26124695    	 0.35433719E-01
  2147.0000    	  2148.0000    	 0.61440844    	 0.36660178E-01
  2148.0000    	  2149.0000    	 0.83720678    	 0.40527362E-01
  2149.0000    	  2150.0000    	  1.1124114    	 0.45705000E-01
  2150.0000    	  2151.0000    	  1.1790623    	 0.46643559E-01
  2151.0000    	  2152.0000    	  1.2032191    	 0.51141525E-01
  2152.0000    	  2153.0000    	  1.2702865    	 0.50009913E-01
  2153.0000    	  2154.0000    	  1.2197102    	 0.51851043E-01
  2154.0000    	  2155.0000    	  1.2596991    	 0.49832335E-01
  2155.0000    	  2156.0000    	  1.1549359    	 0.49244653E-01
  2156.0000    	  2157.0000    	-0.84000391    	 0.39449741E-01
  2157.0000    	  2158.0000    	-0.99158495    	 0.40054618E-01
  2158.0000    	  2159.0000    	 -1.2163868    	 0.43808724E-01
  2159.0000    	  2160.0000    	 -1.2714290    	 0.43690838E-01
  2160.0000    	  2161.0000    	 -1.3167692    	 0.42958413E-01
  2161.0000    	  2162.0000    	 -1.3348983    	 0.41928534E-01
  2162.0000    	  2163.0000    	 -1.3244641    	 0.40277232E-01
  2163.0000    	  2164.0000    	 -1.1042545    	 0.41230025E-01
  2164.0000    	  2165.0000    	-0.90225891    	 0.36597319E-01
  2165.0000    	  2166.0000    	-0.62629892    	 0.35247294E-01
  2166.0000    	  2167.0000    	-0.38919971    	 0.33584671E-01
  2167.0000    	  2168.0000    	-0.53727132E-01	 0.32186733E-01
  2168.0000    	  2169.0000    	 0.25962957    	 0.34110009E-01
  2169.0000    	  2170.0000    	 0.57692520    	 0.35052244E-01
  2170.0000    	  2171.0000    	 0.83933454    	 0.39933300E-01
  2171.0000    	  2172.0000    	  1.0700754    	 0.45320441E-01
  2172.0000    	  2173.0000    	  1.1962941    	 0.46333751E-01
  2173.0000    	  2174.0000    	  1.2806563    	 0.47178426E-01
  2174.0000    	  2175.0000    	  1.3411316    	 0.48993580E-01
  2175.0000    	  2176.0000    	  1.2061560    	 0.50285966E-01
  2176.0000    	  2177.0000    	  1.2620729    	 0.50239762E-01
  2177.0000    	  2178.0000    	  1.1066957    	 0.48052484E-01
  2178.0000    	  2179.0000    	-0.77316402    	 0.38775033E-01
  2179.0000    	  2180.0000    	-0.99393637    	 0.40089810E-01
  2180.0000    	  2181.0000    	 -1.1036001    	 0.43440262E-01
  2181.0000    	  2182.0000    	 -1.3054775    	 0.45016583E-01
  2182.0000    	  2183.0000    	 -1.3472421    	 0.44435381E-01
  2183.0000    	  2184.0000    	 -1.3010913    	 0.44272631E-01
  2184.0000    	  2185.0000    	 -1.3316565    	 0.40369039E-01
  2185.0000    	  2186.0000    	 -1.0653288    	 0.38564155E-01
