# xi0
# underflow	  571.05053    	  1.8489743    
# overflow	-0.24638856    	  1.0605581    
# sum	  5446.3427    	  10.142325    
# xmin	xmax	cross	numerror
  0.0000000    	  1.0000000    	 -4.2513074    	 0.15842884    
  1.0000000    	  2.0000000    	 -3.1613734    	 0.17200658    
  2.0000000    	  3.0000000    	 -1.5209856    	 0.18530221    
  3.0000000    	  4.0000000    	 0.15382622    	 0.20596140    
  4.0000000    	  5.0000000    	  1.7970875    	 0.21711179    
  5.0000000    	  6.0000000    	  3.6323696    	 0.23140252    
  6.0000000    	  7.0000000    	  4.9123779    	 0.22820441    
  7.0000000    	  8.0000000    	  6.8734415    	 0.26165854    
  8.0000000    	  9.0000000    	  8.4858584    	 0.27631618    
  9.0000000    	  10.000000    	  10.590820    	 0.29524486    
  10.000000    	  11.000000    	  11.610708    	 0.31121760    
  11.000000    	  12.000000    	  14.143641    	 0.31096273    
  12.000000    	  13.000000    	  14.938876    	 0.32617039    
  13.000000    	  14.000000    	  16.029324    	 0.33108412    
  14.000000    	  15.000000    	  18.437033    	 0.38983292    
  15.000000    	  16.000000    	  19.260148    	 0.38225441    
  16.000000    	  17.000000    	  20.605284    	 0.37716194    
  17.000000    	  18.000000    	  20.994444    	 0.41025984    
  18.000000    	  19.000000    	  22.313663    	 0.40779301    
  19.000000    	  20.000000    	  22.524522    	 0.41461085    
  20.000000    	  21.000000    	  23.355109    	 0.41794646    
  21.000000    	  22.000000    	  23.880133    	 0.43471919    
  22.000000    	  23.000000    	 -4.7073672    	 0.15672575    
  23.000000    	  24.000000    	 -3.2260906    	 0.16058128    
  24.000000    	  25.000000    	 -1.9063301    	 0.18093588    
  25.000000    	  26.000000    	-0.50679360    	 0.18876996    
  26.000000    	  27.000000    	  1.4481838    	 0.21177250    
  27.000000    	  28.000000    	  2.6318906    	 0.23767464    
  28.000000    	  29.000000    	  5.1181708    	 0.24554823    
  29.000000    	  30.000000    	  6.2303431    	 0.24331396    
  30.000000    	  31.000000    	  7.4832976    	 0.28339129    
  31.000000    	  32.000000    	  9.7039098    	 0.27952505    
  32.000000    	  33.000000    	  10.987308    	 0.32189283    
  33.000000    	  34.000000    	  12.582267    	 0.32082338    
  34.000000    	  35.000000    	  14.620846    	 0.31837469    
  35.000000    	  36.000000    	  16.351953    	 0.35709163    
  36.000000    	  37.000000    	  16.841442    	 0.37069689    
  37.000000    	  38.000000    	  18.529064    	 0.36731399    
  38.000000    	  39.000000    	  19.832736    	 0.37667193    
  39.000000    	  40.000000    	  21.017468    	 0.38247197    
  40.000000    	  41.000000    	  21.173880    	 0.38913092    
  41.000000    	  42.000000    	  22.306613    	 0.42105076    
  42.000000    	  43.000000    	  21.369428    	 0.42116178    
  43.000000    	  44.000000    	  22.441273    	 0.44857444    
  44.000000    	  45.000000    	 -4.7775658    	 0.16255818    
  45.000000    	  46.000000    	 -3.5384888    	 0.15853254    
  46.000000    	  47.000000    	 -2.1160159    	 0.18056036    
  47.000000    	  48.000000    	 -1.0358245    	 0.18213946    
  48.000000    	  49.000000    	 0.70628395    	 0.20847092    
  49.000000    	  50.000000    	  2.2242764    	 0.21526652    
  50.000000    	  51.000000    	  3.8106609    	 0.24511245    
  51.000000    	  52.000000    	  5.8707890    	 0.25018679    
  52.000000    	  53.000000    	  7.2454903    	 0.28720881    
  53.000000    	  54.000000    	  9.0141619    	 0.28068392    
  54.000000    	  55.000000    	  11.390078    	 0.31687093    
  55.000000    	  56.000000    	  11.863936    	 0.29429269    
  56.000000    	  57.000000    	  13.961182    	 0.31493478    
  57.000000    	  58.000000    	  14.693691    	 0.33708312    
  58.000000    	  59.000000    	  16.756511    	 0.35614200    
  59.000000    	  60.000000    	  17.463160    	 0.36352536    
  60.000000    	  61.000000    	  18.923533    	 0.36430859    
  61.000000    	  62.000000    	  19.438152    	 0.38519827    
  62.000000    	  63.000000    	  21.013081    	 0.41472539    
  63.000000    	  64.000000    	  20.230540    	 0.41443431    
  64.000000    	  65.000000    	  21.946511    	 0.41331092    
  65.000000    	  66.000000    	  21.027297    	 0.42613076    
  66.000000    	  67.000000    	 -4.6047175    	 0.15962527    
  67.000000    	  68.000000    	 -3.8921793    	 0.14689415    
  68.000000    	  69.000000    	 -2.7736907    	 0.17151515    
  69.000000    	  70.000000    	 -1.2120138    	 0.19082918    
  70.000000    	  71.000000    	 0.14428858    	 0.20316237    
  71.000000    	  72.000000    	  1.7804130    	 0.20732642    
  72.000000    	  73.000000    	  3.1371956    	 0.24127084    
  73.000000    	  74.000000    	  5.0352677    	 0.23743678    
  74.000000    	  75.000000    	  6.6518682    	 0.26792886    
  75.000000    	  76.000000    	  8.6350135    	 0.26522929    
  76.000000    	  77.000000    	  9.5794925    	 0.28316441    
  77.000000    	  78.000000    	  11.995039    	 0.29697157    
  78.000000    	  79.000000    	  13.178867    	 0.30760400    
  79.000000    	  80.000000    	  15.527883    	 0.34069686    
  80.000000    	  81.000000    	  15.867050    	 0.34924839    
  81.000000    	  82.000000    	  17.063581    	 0.36215618    
  82.000000    	  83.000000    	  18.082184    	 0.35929216    
  83.000000    	  84.000000    	  19.348643    	 0.38184855    
  84.000000    	  85.000000    	  19.775963    	 0.38362914    
  85.000000    	  86.000000    	  20.370529    	 0.41829007    
  86.000000    	  87.000000    	  19.640533    	 0.40923664    
  87.000000    	  88.000000    	  19.887501    	 0.38826824    
  88.000000    	  89.000000    	 -4.7407554    	 0.15465236    
  89.000000    	  90.000000    	 -3.8967014    	 0.16148557    
  90.000000    	  91.000000    	 -2.7367950    	 0.17198151    
  91.000000    	  92.000000    	 -1.6369134    	 0.18940677    
  92.000000    	  93.000000    	-0.31026018    	 0.18925072    
  93.000000    	  94.000000    	  1.4322461    	 0.20764736    
  94.000000    	  95.000000    	  2.7505086    	 0.22977585    
  95.000000    	  96.000000    	  4.6682238    	 0.24253955    
  96.000000    	  97.000000    	  6.2148555    	 0.26561264    
  97.000000    	  98.000000    	  8.0272523    	 0.27818476    
  98.000000    	  99.000000    	  9.3253741    	 0.29301140    
  99.000000    	  100.00000    	  11.130254    	 0.29967160    
  100.00000    	  101.00000    	  12.488278    	 0.32683153    
  101.00000    	  102.00000    	  13.137026    	 0.35022525    
  102.00000    	  103.00000    	  14.882224    	 0.37557671    
  103.00000    	  104.00000    	  16.328493    	 0.33716815    
  104.00000    	  105.00000    	  17.545394    	 0.34666435    
  105.00000    	  106.00000    	  17.951377    	 0.35929688    
  106.00000    	  107.00000    	  18.237482    	 0.35856427    
  107.00000    	  108.00000    	  19.182764    	 0.38040011    
  108.00000    	  109.00000    	  19.546181    	 0.41503719    
  109.00000    	  110.00000    	  18.672436    	 0.38753882    
  110.00000    	  111.00000    	 -5.0577513    	 0.15792768    
  111.00000    	  112.00000    	 -3.9124838    	 0.15266207    
  112.00000    	  113.00000    	 -2.9326434    	 0.16987344    
  113.00000    	  114.00000    	 -1.9248866    	 0.18953869    
  114.00000    	  115.00000    	-0.78172286    	 0.19960628    
  115.00000    	  116.00000    	 0.75679188    	 0.23632223    
  116.00000    	  117.00000    	  2.5705515    	 0.22036119    
  117.00000    	  118.00000    	  3.7987727    	 0.25003487    
  118.00000    	  119.00000    	  5.8727588    	 0.25583210    
  119.00000    	  120.00000    	  8.0338763    	 0.27692333    
  120.00000    	  121.00000    	  8.7301995    	 0.29153227    
  121.00000    	  122.00000    	  10.842070    	 0.28173853    
  122.00000    	  123.00000    	  12.163793    	 0.32203564    
  123.00000    	  124.00000    	  12.920200    	 0.32260224    
  124.00000    	  125.00000    	  14.844822    	 0.32384317    
  125.00000    	  126.00000    	  16.015286    	 0.35034167    
  126.00000    	  127.00000    	  16.959198    	 0.34698584    
  127.00000    	  128.00000    	  17.616190    	 0.37245271    
  128.00000    	  129.00000    	  18.477143    	 0.35885338    
  129.00000    	  130.00000    	  18.365855    	 0.37185888    
  130.00000    	  131.00000    	  18.171372    	 0.39458465    
  131.00000    	  132.00000    	  18.295291    	 0.39221540    
  132.00000    	  133.00000    	 -4.9063212    	 0.14774066    
  133.00000    	  134.00000    	 -4.0886561    	 0.15261348    
  134.00000    	  135.00000    	 -3.5675616    	 0.18688686    
  135.00000    	  136.00000    	 -2.0531989    	 0.18239718    
  136.00000    	  137.00000    	-0.83744993    	 0.19074470    
  137.00000    	  138.00000    	 0.23971519    	 0.22143481    
  138.00000    	  139.00000    	  1.7851751    	 0.21273738    
  139.00000    	  140.00000    	  3.7025724    	 0.23226051    
  140.00000    	  141.00000    	  5.4075720    	 0.26427084    
  141.00000    	  142.00000    	  6.2363716    	 0.25091412    
  142.00000    	  143.00000    	  8.2619800    	 0.30076189    
  143.00000    	  144.00000    	  9.8327487    	 0.27398439    
  144.00000    	  145.00000    	  11.391520    	 0.30491578    
  145.00000    	  146.00000    	  12.702006    	 0.30889808    
  146.00000    	  147.00000    	  13.881103    	 0.30416930    
  147.00000    	  148.00000    	  15.137419    	 0.35404136    
