# xi0
# underflow	-0.98538126E-01	 0.15013266E-02
# overflow	-0.50569009E-02	 0.30084394E-03
# sum	 -4.9380234    	 0.90911845E-02
# xmin	xmax	cross	numerror
  8448.0000    	  8449.0000    	-0.55481104E-03	 0.96234719E-04
  8449.0000    	  8450.0000    	-0.10906467E-02	 0.12133175E-03
  8450.0000    	  8451.0000    	-0.14651464E-02	 0.13628403E-03
  8451.0000    	  8452.0000    	-0.16348237E-02	 0.17118745E-03
  8452.0000    	  8453.0000    	-0.17231109E-02	 0.18792379E-03
  8453.0000    	  8454.0000    	-0.20128940E-02	 0.21756609E-03
  8454.0000    	  8455.0000    	-0.22757627E-02	 0.22703709E-03
  8455.0000    	  8456.0000    	-0.25378180E-02	 0.23783567E-03
  8456.0000    	  8457.0000    	-0.29417505E-02	 0.24967710E-03
  8457.0000    	  8458.0000    	-0.27381768E-02	 0.25937498E-03
  8458.0000    	  8459.0000    	-0.28061762E-02	 0.29899361E-03
  8459.0000    	  8460.0000    	-0.31232597E-02	 0.26540625E-03
  8460.0000    	  8461.0000    	-0.30586643E-02	 0.24676746E-03
  8461.0000    	  8462.0000    	-0.28877044E-02	 0.24278514E-03
  8462.0000    	  8463.0000    	-0.23499014E-02	 0.23663965E-03
  8463.0000    	  8464.0000    	-0.25714989E-02	 0.22259228E-03
  8464.0000    	  8465.0000    	-0.19209911E-02	 0.20281135E-03
  8465.0000    	  8466.0000    	-0.19223356E-02	 0.18378751E-03
  8466.0000    	  8467.0000    	-0.13970384E-02	 0.16986240E-03
  8467.0000    	  8468.0000    	-0.15634898E-02	 0.14415214E-03
  8468.0000    	  8469.0000    	-0.84773719E-03	 0.12077381E-03
  8469.0000    	  8470.0000    	-0.62501823E-03	 0.99234258E-04
  8470.0000    	  8471.0000    	-0.64363274E-03	 0.10330536E-03
  8471.0000    	  8472.0000    	-0.67872203E-03	 0.11995964E-03
  8472.0000    	  8473.0000    	-0.12453675E-02	 0.14448171E-03
  8473.0000    	  8474.0000    	-0.20159630E-02	 0.16713854E-03
  8474.0000    	  8475.0000    	-0.19193613E-02	 0.18635103E-03
  8475.0000    	  8476.0000    	-0.22263706E-02	 0.20854176E-03
  8476.0000    	  8477.0000    	-0.25417389E-02	 0.21918859E-03
  8477.0000    	  8478.0000    	-0.26914530E-02	 0.25364927E-03
  8478.0000    	  8479.0000    	-0.26758396E-02	 0.25562912E-03
  8479.0000    	  8480.0000    	-0.25931700E-02	 0.27881134E-03
  8480.0000    	  8481.0000    	-0.30910062E-02	 0.28946171E-03
  8481.0000    	  8482.0000    	-0.27452783E-02	 0.25347825E-03
  8482.0000    	  8483.0000    	-0.28372206E-02	 0.24001471E-03
  8483.0000    	  8484.0000    	-0.25311551E-02	 0.26359336E-03
  8484.0000    	  8485.0000    	-0.25794666E-02	 0.25162380E-03
  8485.0000    	  8486.0000    	-0.19027561E-02	 0.22177733E-03
  8486.0000    	  8487.0000    	-0.19429133E-02	 0.20929365E-03
  8487.0000    	  8488.0000    	-0.19249026E-02	 0.18794872E-03
  8488.0000    	  8489.0000    	-0.13468220E-02	 0.17277820E-03
  8489.0000    	  8490.0000    	-0.10294564E-02	 0.14587246E-03
  8490.0000    	  8491.0000    	-0.92648876E-03	 0.11577839E-03
  8491.0000    	  8492.0000    	-0.62694618E-03	 0.10850655E-03
  8492.0000    	  8493.0000    	-0.55178497E-03	 0.10337175E-03
  8493.0000    	  8494.0000    	-0.11112562E-02	 0.12685702E-03
  8494.0000    	  8495.0000    	-0.13228955E-02	 0.15338230E-03
  8495.0000    	  8496.0000    	-0.14993683E-02	 0.15769946E-03
  8496.0000    	  8497.0000    	-0.19273660E-02	 0.19670300E-03
  8497.0000    	  8498.0000    	-0.16708607E-02	 0.19430281E-03
  8498.0000    	  8499.0000    	-0.25329331E-02	 0.22670550E-03
  8499.0000    	  8500.0000    	-0.25386861E-02	 0.24350191E-03
  8500.0000    	  8501.0000    	-0.24071124E-02	 0.22982776E-03
  8501.0000    	  8502.0000    	-0.29508266E-02	 0.30002078E-03
  8502.0000    	  8503.0000    	-0.28023188E-02	 0.25864084E-03
  8503.0000    	  8504.0000    	-0.30428657E-02	 0.25365138E-03
  8504.0000    	  8505.0000    	-0.27872428E-02	 0.25122483E-03
  8505.0000    	  8506.0000    	-0.20582436E-02	 0.25472996E-03
  8506.0000    	  8507.0000    	-0.23141690E-02	 0.21464560E-03
  8507.0000    	  8508.0000    	-0.26324710E-02	 0.22360325E-03
  8508.0000    	  8509.0000    	-0.25063518E-02	 0.20808176E-03
  8509.0000    	  8510.0000    	-0.20884649E-02	 0.20208748E-03
  8510.0000    	  8511.0000    	-0.16099438E-02	 0.15845594E-03
  8511.0000    	  8512.0000    	-0.13679531E-02	 0.14005124E-03
  8512.0000    	  8513.0000    	-0.75121189E-03	 0.11340990E-03
  8513.0000    	  8514.0000    	-0.67643584E-03	 0.91126295E-04
  8514.0000    	  8515.0000    	-0.53572480E-03	 0.92161134E-04
  8515.0000    	  8516.0000    	-0.97593748E-03	 0.12534849E-03
  8516.0000    	  8517.0000    	-0.10512419E-02	 0.14891151E-03
  8517.0000    	  8518.0000    	-0.16287947E-02	 0.16187165E-03
  8518.0000    	  8519.0000    	-0.21665491E-02	 0.18466553E-03
  8519.0000    	  8520.0000    	-0.18690736E-02	 0.22687195E-03
  8520.0000    	  8521.0000    	-0.22939037E-02	 0.21533141E-03
  8521.0000    	  8522.0000    	-0.28434443E-02	 0.27822363E-03
  8522.0000    	  8523.0000    	-0.27359624E-02	 0.22851277E-03
  8523.0000    	  8524.0000    	-0.28387953E-02	 0.29245971E-03
  8524.0000    	  8525.0000    	-0.30549113E-02	 0.25885181E-03
  8525.0000    	  8526.0000    	-0.28612138E-02	 0.26063028E-03
  8526.0000    	  8527.0000    	-0.27547881E-02	 0.30165195E-03
  8527.0000    	  8528.0000    	-0.29345306E-02	 0.25139144E-03
  8528.0000    	  8529.0000    	-0.25993316E-02	 0.22805847E-03
  8529.0000    	  8530.0000    	-0.20901728E-02	 0.21684970E-03
  8530.0000    	  8531.0000    	-0.19635493E-02	 0.21761234E-03
  8531.0000    	  8532.0000    	-0.18821304E-02	 0.19816884E-03
  8532.0000    	  8533.0000    	-0.14885675E-02	 0.14800340E-03
  8533.0000    	  8534.0000    	-0.12043692E-02	 0.14759720E-03
  8534.0000    	  8535.0000    	-0.11085104E-02	 0.12507558E-03
  8535.0000    	  8536.0000    	-0.56055041E-03	 0.76770429E-04
  8536.0000    	  8537.0000    	-0.55610564E-03	 0.91852437E-04
  8537.0000    	  8538.0000    	-0.10461974E-02	 0.12140791E-03
  8538.0000    	  8539.0000    	-0.12911936E-02	 0.15022967E-03
  8539.0000    	  8540.0000    	-0.16531192E-02	 0.16769136E-03
  8540.0000    	  8541.0000    	-0.19902617E-02	 0.18230880E-03
  8541.0000    	  8542.0000    	-0.25048425E-02	 0.22952266E-03
  8542.0000    	  8543.0000    	-0.24643670E-02	 0.21865155E-03
  8543.0000    	  8544.0000    	-0.19660130E-02	 0.24965011E-03
  8544.0000    	  8545.0000    	-0.30327895E-02	 0.24767590E-03
  8545.0000    	  8546.0000    	-0.25823940E-02	 0.26347168E-03
  8546.0000    	  8547.0000    	-0.31511200E-02	 0.26767457E-03
  8547.0000    	  8548.0000    	-0.27261577E-02	 0.24737186E-03
  8548.0000    	  8549.0000    	-0.26087046E-02	 0.28991136E-03
  8549.0000    	  8550.0000    	-0.27667225E-02	 0.23297705E-03
  8550.0000    	  8551.0000    	-0.23338355E-02	 0.24143458E-03
  8551.0000    	  8552.0000    	-0.22317861E-02	 0.20801178E-03
  8552.0000    	  8553.0000    	-0.19923568E-02	 0.19571534E-03
  8553.0000    	  8554.0000    	-0.20344854E-02	 0.18367607E-03
  8554.0000    	  8555.0000    	-0.16435799E-02	 0.16451116E-03
  8555.0000    	  8556.0000    	-0.13337370E-02	 0.13437151E-03
  8556.0000    	  8557.0000    	-0.95519005E-03	 0.10932882E-03
  8557.0000    	  8558.0000    	-0.62937091E-03	 0.87580679E-04
  8558.0000    	  8559.0000    	-0.88088685E-03	 0.95805744E-04
  8559.0000    	  8560.0000    	-0.89645228E-03	 0.12104998E-03
  8560.0000    	  8561.0000    	-0.13642002E-02	 0.13775413E-03
  8561.0000    	  8562.0000    	-0.12647939E-02	 0.13780889E-03
  8562.0000    	  8563.0000    	-0.17747154E-02	 0.17633747E-03
  8563.0000    	  8564.0000    	-0.20088305E-02	 0.21057623E-03
  8564.0000    	  8565.0000    	-0.20966895E-02	 0.23171943E-03
  8565.0000    	  8566.0000    	-0.24424473E-02	 0.23035195E-03
  8566.0000    	  8567.0000    	-0.23963798E-02	 0.24973530E-03
  8567.0000    	  8568.0000    	-0.26932844E-02	 0.27069707E-03
  8568.0000    	  8569.0000    	-0.27663781E-02	 0.27261819E-03
  8569.0000    	  8570.0000    	-0.31078717E-02	 0.26277093E-03
  8570.0000    	  8571.0000    	-0.31457234E-02	 0.27066294E-03
  8571.0000    	  8572.0000    	-0.26344983E-02	 0.23337282E-03
  8572.0000    	  8573.0000    	-0.24702263E-02	 0.23422819E-03
  8573.0000    	  8574.0000    	-0.23835697E-02	 0.20429915E-03
  8574.0000    	  8575.0000    	-0.20131722E-02	 0.22055236E-03
  8575.0000    	  8576.0000    	-0.18343036E-02	 0.18161912E-03
  8576.0000    	  8577.0000    	-0.16738578E-02	 0.15870531E-03
  8577.0000    	  8578.0000    	-0.15620933E-02	 0.14240874E-03
  8578.0000    	  8579.0000    	-0.10282990E-02	 0.11841983E-03
  8579.0000    	  8580.0000    	-0.76534330E-03	 0.90078577E-04
  8580.0000    	  8581.0000    	-0.65384488E-03	 0.95779287E-04
  8581.0000    	  8582.0000    	-0.74779866E-03	 0.10353608E-03
  8582.0000    	  8583.0000    	-0.13094471E-02	 0.13965833E-03
  8583.0000    	  8584.0000    	-0.14510960E-02	 0.15507390E-03
  8584.0000    	  8585.0000    	-0.21422754E-02	 0.17873183E-03
  8585.0000    	  8586.0000    	-0.21142274E-02	 0.20234934E-03
  8586.0000    	  8587.0000    	-0.21613831E-02	 0.24151955E-03
  8587.0000    	  8588.0000    	-0.28681934E-02	 0.22917739E-03
  8588.0000    	  8589.0000    	-0.24233086E-02	 0.24951857E-03
  8589.0000    	  8590.0000    	-0.22889692E-02	 0.26566727E-03
  8590.0000    	  8591.0000    	-0.20977743E-02	 0.27951358E-03
  8591.0000    	  8592.0000    	-0.26995619E-02	 0.25056445E-03
  8592.0000    	  8593.0000    	-0.30968962E-02	 0.26904027E-03
  8593.0000    	  8594.0000    	-0.29302934E-02	 0.24487066E-03
  8594.0000    	  8595.0000    	-0.28221404E-02	 0.22927460E-03
  8595.0000    	  8596.0000    	-0.22797572E-02	 0.20431864E-03
  8596.0000    	  8597.0000    	-0.20002505E-02	 0.20421728E-03
  8597.0000    	  8598.0000    	-0.18425426E-02	 0.18587348E-03
  8598.0000    	  8599.0000    	-0.17630973E-02	 0.16784661E-03
  8599.0000    	  8600.0000    	-0.12096838E-02	 0.14051649E-03
  8600.0000    	  8601.0000    	-0.90160588E-03	 0.10948866E-03
  8601.0000    	  8602.0000    	-0.50853800E-03	 0.93138269E-04
  8602.0000    	  8603.0000    	-0.59813675E-03	 0.88340595E-04
  8603.0000    	  8604.0000    	-0.10434770E-02	 0.12390642E-03
  8604.0000    	  8605.0000    	-0.16257286E-02	 0.14777262E-03
  8605.0000    	  8606.0000    	-0.17384274E-02	 0.15654207E-03
  8606.0000    	  8607.0000    	-0.21571862E-02	 0.18671664E-03
  8607.0000    	  8608.0000    	-0.18219758E-02	 0.20673425E-03
  8608.0000    	  8609.0000    	-0.23651412E-02	 0.21441772E-03
  8609.0000    	  8610.0000    	-0.22519527E-02	 0.22472903E-03
  8610.0000    	  8611.0000    	-0.27753454E-02	 0.22734135E-03
  8611.0000    	  8612.0000    	-0.28709172E-02	 0.25355565E-03
  8612.0000    	  8613.0000    	-0.30493154E-02	 0.26567883E-03
  8613.0000    	  8614.0000    	-0.28780766E-02	 0.24062235E-03
  8614.0000    	  8615.0000    	-0.23081348E-02	 0.26049637E-03
  8615.0000    	  8616.0000    	-0.27259637E-02	 0.23354391E-03
  8616.0000    	  8617.0000    	-0.23385185E-02	 0.22166183E-03
  8617.0000    	  8618.0000    	-0.26777319E-02	 0.20615117E-03
  8618.0000    	  8619.0000    	-0.21389203E-02	 0.19096403E-03
  8619.0000    	  8620.0000    	-0.19018474E-02	 0.17953656E-03
  8620.0000    	  8621.0000    	-0.16212593E-02	 0.17166179E-03
  8621.0000    	  8622.0000    	-0.11944126E-02	 0.14033683E-03
  8622.0000    	  8623.0000    	-0.11259181E-02	 0.11617505E-03
  8623.0000    	  8624.0000    	-0.78657042E-03	 0.96917072E-04
  8624.0000    	  8625.0000    	-0.73293838E-03	 0.86084866E-04
  8625.0000    	  8626.0000    	-0.11790052E-02	 0.13234665E-03
  8626.0000    	  8627.0000    	-0.10791375E-02	 0.13412498E-03
  8627.0000    	  8628.0000    	-0.15594353E-02	 0.17468367E-03
  8628.0000    	  8629.0000    	-0.17305398E-02	 0.18600960E-03
  8629.0000    	  8630.0000    	-0.22118152E-02	 0.19167573E-03
  8630.0000    	  8631.0000    	-0.19395989E-02	 0.19008640E-03
  8631.0000    	  8632.0000    	-0.23096342E-02	 0.22234973E-03
  8632.0000    	  8633.0000    	-0.24781752E-02	 0.23222438E-03
  8633.0000    	  8634.0000    	-0.29228263E-02	 0.27936814E-03
