# xi0
# underflow	 -256.91634    	  2.6851588    
# overflow	 -61.462245    	  1.7074698    
# sum	 -6517.8488    	  13.351838    
# xmin	xmax	cross	numerror
  0.0000000    	  1.0000000    	 -24.253814    	 0.62339527    
  1.0000000    	  2.0000000    	 -24.275381    	 0.60794103    
  2.0000000    	  3.0000000    	 -22.969523    	 0.54383988    
  3.0000000    	  4.0000000    	 -20.210015    	 0.57547443    
  4.0000000    	  5.0000000    	 -18.065090    	 0.49727239    
  5.0000000    	  6.0000000    	 -16.342669    	 0.49575350    
  6.0000000    	  7.0000000    	 -13.936469    	 0.45873903    
  7.0000000    	  8.0000000    	 -11.463959    	 0.45087773    
  8.0000000    	  9.0000000    	 -9.4198808    	 0.42848337    
  9.0000000    	  10.000000    	 -6.9722035    	 0.38345408    
  10.000000    	  11.000000    	 -5.2839576    	 0.36435036    
  11.000000    	  12.000000    	 -2.7372653    	 0.36868638    
  12.000000    	  13.000000    	-0.64717703    	 0.36386066    
  13.000000    	  14.000000    	 0.62133677    	 0.30828600    
  14.000000    	  15.000000    	  2.0929465    	 0.31339044    
  15.000000    	  16.000000    	  4.3919947    	 0.29629159    
  16.000000    	  17.000000    	  5.0184260    	 0.28227436    
  17.000000    	  18.000000    	  6.4683033    	 0.29417521    
  18.000000    	  19.000000    	  7.4409866    	 0.26769851    
  19.000000    	  20.000000    	  7.3528909    	 0.25208929    
  20.000000    	  21.000000    	  8.2339292    	 0.22933487    
  21.000000    	  22.000000    	  8.7955598    	 0.23103691    
  22.000000    	  23.000000    	 -24.883866    	 0.55758504    
  23.000000    	  24.000000    	 -23.174467    	 0.58828299    
  24.000000    	  25.000000    	 -22.006248    	 0.53388483    
  25.000000    	  26.000000    	 -19.453364    	 0.56319972    
  26.000000    	  27.000000    	 -17.519786    	 0.50888064    
  27.000000    	  28.000000    	 -15.606065    	 0.45575412    
  28.000000    	  29.000000    	 -13.669855    	 0.44438582    
  29.000000    	  30.000000    	 -11.672756    	 0.45375663    
  30.000000    	  31.000000    	 -8.8673551    	 0.42078227    
