# xi0
# underflow	  10.964107    	 0.56963819    
# overflow	  2.1348393    	 0.28522525    
# sum	  288.40287    	  2.0853018    
# xmin	xmax	cross	numerror
  2068.0000    	  2069.0000    	-0.31924147E-01	 0.39286798E-01
  2069.0000    	  2070.0000    	 0.96688736E-01	 0.47871790E-01
  2070.0000    	  2071.0000    	 0.20569149    	 0.55865603E-01
  2071.0000    	  2072.0000    	 0.26258011    	 0.55803737E-01
  2072.0000    	  2073.0000    	 0.32484148    	 0.70795025E-01
  2073.0000    	  2074.0000    	 0.47923799    	 0.67875555E-01
  2074.0000    	  2075.0000    	 0.34216215    	 0.75314989E-01
  2075.0000    	  2076.0000    	 0.35264794    	 0.73814119E-01
  2076.0000    	  2077.0000    	 0.20460409    	 0.92110231E-01
  2077.0000    	  2078.0000    	 0.27895457    	 0.84518149E-01
  2078.0000    	  2079.0000    	 0.99534328E-01	 0.90137281E-01
  2079.0000    	  2080.0000    	 0.13777853    	 0.76326816E-01
  2080.0000    	  2081.0000    	 0.29402339    	 0.74110501E-01
  2081.0000    	  2082.0000    	 0.18388148    	 0.73019324E-01
  2082.0000    	  2083.0000    	 0.30898578    	 0.68564892E-01
  2083.0000    	  2084.0000    	 0.24861486    	 0.67439861E-01
  2084.0000    	  2085.0000    	 0.52133040    	 0.74317006E-01
  2085.0000    	  2086.0000    	 0.33341338    	 0.61162331E-01
  2086.0000    	  2087.0000    	 0.43910953    	 0.64895976E-01
  2087.0000    	  2088.0000    	 0.26815123    	 0.54815145E-01
  2088.0000    	  2089.0000    	 0.14852896    	 0.53823915E-01
  2089.0000    	  2090.0000    	 0.14589262E-01	 0.44526647E-01
  2090.0000    	  2091.0000    	 0.44926465E-01	 0.39501070E-01
  2091.0000    	  2092.0000    	 0.16038418    	 0.44694751E-01
  2092.0000    	  2093.0000    	 0.28562774    	 0.56042927E-01
  2093.0000    	  2094.0000    	 0.35798569    	 0.56098341E-01
  2094.0000    	  2095.0000    	 0.27050682    	 0.67314991E-01
  2095.0000    	  2096.0000    	 0.36901388    	 0.67015484E-01
  2096.0000    	  2097.0000    	 0.15265914    	 0.75640284E-01
  2097.0000    	  2098.0000    	 0.25402258    	 0.72050433E-01
  2098.0000    	  2099.0000    	 0.30741852    	 0.76585475E-01
  2099.0000    	  2100.0000    	 0.25439174    	 0.89713102E-01
  2100.0000    	  2101.0000    	 0.16877054    	 0.93331614E-01
  2101.0000    	  2102.0000    	 0.21787566    	 0.71369636E-01
  2102.0000    	  2103.0000    	 0.15559810    	 0.75581943E-01
  2103.0000    	  2104.0000    	 0.33499062    	 0.66071102E-01
  2104.0000    	  2105.0000    	 0.23501305    	 0.64162992E-01
  2105.0000    	  2106.0000    	 0.41560031    	 0.69136490E-01
  2106.0000    	  2107.0000    	 0.21765409    	 0.66474178E-01
  2107.0000    	  2108.0000    	 0.41457143    	 0.66580136E-01
  2108.0000    	  2109.0000    	 0.25690324    	 0.60564987E-01
  2109.0000    	  2110.0000    	 0.29046235    	 0.51848217E-01
  2110.0000    	  2111.0000    	 0.10752790    	 0.47113086E-01
  2111.0000    	  2112.0000    	 0.63419296E-01	 0.38766119E-01
  2112.0000    	  2113.0000    	 0.71813151E-02	 0.39384677E-01
  2113.0000    	  2114.0000    	 0.15051900    	 0.47781506E-01
  2114.0000    	  2115.0000    	 0.20559125    	 0.47209145E-01
  2115.0000    	  2116.0000    	 0.28390127    	 0.60251284E-01
  2116.0000    	  2117.0000    	 0.28471283    	 0.61014934E-01
  2117.0000    	  2118.0000    	 0.37260269    	 0.71902805E-01
  2118.0000    	  2119.0000    	 0.39499546    	 0.62545133E-01
  2119.0000    	  2120.0000    	 0.26373244    	 0.69667283E-01
  2120.0000    	  2121.0000    	 0.20879511    	 0.83844767E-01
  2121.0000    	  2122.0000    	-0.34213048E-01	 0.89661718E-01
  2122.0000    	  2123.0000    	 0.13735204    	 0.83436968E-01
  2123.0000    	  2124.0000    	 0.42818206    	 0.81680730E-01
  2124.0000    	  2125.0000    	 0.22050883    	 0.74788397E-01
  2125.0000    	  2126.0000    	 0.22568744    	 0.71417665E-01
  2126.0000    	  2127.0000    	 0.35152008    	 0.74520001E-01
  2127.0000    	  2128.0000    	 0.35451742    	 0.74000656E-01
  2128.0000    	  2129.0000    	 0.41601370    	 0.63065657E-01
  2129.0000    	  2130.0000    	 0.38604896    	 0.61057248E-01
  2130.0000    	  2131.0000    	 0.40058718    	 0.74405339E-01
  2131.0000    	  2132.0000    	 0.17431651    	 0.47397828E-01
  2132.0000    	  2133.0000    	 0.18259777    	 0.50148531E-01
  2133.0000    	  2134.0000    	 0.18874220E-01	 0.40393820E-01
  2134.0000    	  2135.0000    	-0.48377246E-01	 0.42148290E-01
  2135.0000    	  2136.0000    	 0.40462639E-01	 0.47225487E-01
  2136.0000    	  2137.0000    	 0.26076100    	 0.54651202E-01
  2137.0000    	  2138.0000    	 0.31441985    	 0.60521457E-01
  2138.0000    	  2139.0000    	 0.38435014    	 0.64269858E-01
  2139.0000    	  2140.0000    	 0.44347954    	 0.67913429E-01
  2140.0000    	  2141.0000    	 0.38725562    	 0.59981080E-01
  2141.0000    	  2142.0000    	 0.36853790    	 0.76508854E-01
  2142.0000    	  2143.0000    	 0.23773947    	 0.75197858E-01
  2143.0000    	  2144.0000    	 0.17596896    	 0.80723762E-01
  2144.0000    	  2145.0000    	 0.12551929    	 0.76388669E-01
  2145.0000    	  2146.0000    	 0.10719875    	 0.88542817E-01
  2146.0000    	  2147.0000    	 0.23643128    	 0.72569075E-01
  2147.0000    	  2148.0000    	 0.22592963    	 0.78336562E-01
  2148.0000    	  2149.0000    	 0.32662659    	 0.76464990E-01
  2149.0000    	  2150.0000    	 0.26043083    	 0.87810597E-01
  2150.0000    	  2151.0000    	 0.42571829    	 0.64060387E-01
  2151.0000    	  2152.0000    	 0.35472364    	 0.58323747E-01
  2152.0000    	  2153.0000    	 0.34025647    	 0.57452042E-01
  2153.0000    	  2154.0000    	 0.17036704    	 0.55082871E-01
  2154.0000    	  2155.0000    	 0.87151992E-01	 0.53278722E-01
  2155.0000    	  2156.0000    	 0.56574867E-02	 0.39634878E-01
  2156.0000    	  2157.0000    	 0.60854068E-01	 0.40468225E-01
  2157.0000    	  2158.0000    	 0.11875763    	 0.42938316E-01
  2158.0000    	  2159.0000    	 0.22019131    	 0.60524985E-01
  2159.0000    	  2160.0000    	 0.31950541    	 0.59493828E-01
  2160.0000    	  2161.0000    	 0.36410435    	 0.63151022E-01
  2161.0000    	  2162.0000    	 0.34167370    	 0.69651424E-01
  2162.0000    	  2163.0000    	 0.29254022    	 0.65704228E-01
  2163.0000    	  2164.0000    	 0.32485155    	 0.79630699E-01
  2164.0000    	  2165.0000    	 0.36111509    	 0.71176724E-01
  2165.0000    	  2166.0000    	 0.16753077    	 0.69745536E-01
  2166.0000    	  2167.0000    	 0.10802228    	 0.74301011E-01
  2167.0000    	  2168.0000    	 0.20117734    	 0.84314730E-01
  2168.0000    	  2169.0000    	 0.23818234    	 0.75898174E-01
  2169.0000    	  2170.0000    	 0.27345335    	 0.69091717E-01
  2170.0000    	  2171.0000    	 0.30239906    	 0.66806363E-01
  2171.0000    	  2172.0000    	 0.29081178    	 0.64659349E-01
  2172.0000    	  2173.0000    	 0.26761350    	 0.65394640E-01
  2173.0000    	  2174.0000    	 0.43864174    	 0.64909228E-01
  2174.0000    	  2175.0000    	 0.21220431    	 0.73894356E-01
  2175.0000    	  2176.0000    	 0.26344400    	 0.51842765E-01
  2176.0000    	  2177.0000    	 0.10688390    	 0.44390838E-01
  2177.0000    	  2178.0000    	-0.64121049E-02	 0.40659529E-01
  2178.0000    	  2179.0000    	-0.45150521E-01	 0.38977402E-01
  2179.0000    	  2180.0000    	 0.10715010    	 0.46622940E-01
  2180.0000    	  2181.0000    	 0.96355409E-01	 0.52913994E-01
  2181.0000    	  2182.0000    	 0.29238855    	 0.51840158E-01
  2182.0000    	  2183.0000    	 0.31508970    	 0.61259189E-01
  2183.0000    	  2184.0000    	 0.36802096    	 0.66215385E-01
  2184.0000    	  2185.0000    	 0.27205258    	 0.69479371E-01
  2185.0000    	  2186.0000    	 0.25403847    	 0.69735058E-01
  2186.0000    	  2187.0000    	 0.31336377    	 0.81600030E-01
  2187.0000    	  2188.0000    	 0.18105054    	 0.65461522E-01
  2188.0000    	  2189.0000    	 0.28573784    	 0.77319901E-01
  2189.0000    	  2190.0000    	 0.11289615    	 0.75086396E-01
  2190.0000    	  2191.0000    	 0.22848249    	 0.72115649E-01
