# xi0
# underflow	 0.99919422    	 0.25629004    
# overflow	 0.24354122    	 0.12847477    
# sum	  20.827332    	 0.89258329    
# xmin	xmax	cross	numerror
  4048.0000    	  4049.0000    	-0.30090155E-01	 0.20355638E-01
  4049.0000    	  4050.0000    	-0.50871248E-01	 0.19792791E-01
  4050.0000    	  4051.0000    	-0.31231544E-01	 0.22246347E-01
  4051.0000    	  4052.0000    	-0.82438280E-01	 0.19839141E-01
  4052.0000    	  4053.0000    	-0.19136163E-01	 0.19050292E-01
  4053.0000    	  4054.0000    	-0.25305341E-01	 0.23373365E-01
  4054.0000    	  4055.0000    	-0.13414922E-01	 0.19245599E-01
  4055.0000    	  4056.0000    	-0.26710430E-01	 0.17016157E-01
  4056.0000    	  4057.0000    	 0.20530076E-01	 0.16636942E-01
  4057.0000    	  4058.0000    	 0.38567781E-02	 0.21047440E-01
  4058.0000    	  4059.0000    	 0.65358898E-01	 0.20883779E-01
  4059.0000    	  4060.0000    	 0.54586675E-01	 0.20862349E-01
  4060.0000    	  4061.0000    	 0.86554058E-01	 0.24471866E-01
  4061.0000    	  4062.0000    	 0.10411641    	 0.23409217E-01
  4062.0000    	  4063.0000    	 0.33820248E-01	 0.27097850E-01
  4063.0000    	  4064.0000    	 0.87178921E-01	 0.36249640E-01
  4064.0000    	  4065.0000    	 0.94096130E-01	 0.36967418E-01
  4065.0000    	  4066.0000    	 0.13962784    	 0.31773376E-01
  4066.0000    	  4067.0000    	 0.87446111E-01	 0.36784465E-01
  4067.0000    	  4068.0000    	 0.14130899E-01	 0.42320386E-01
  4068.0000    	  4069.0000    	 0.52336264E-01	 0.41484411E-01
  4069.0000    	  4070.0000    	 0.63991023E-02	 0.35538188E-01
  4070.0000    	  4071.0000    	-0.49484666E-01	 0.18219406E-01
  4071.0000    	  4072.0000    	-0.45668882E-01	 0.21865750E-01
  4072.0000    	  4073.0000    	-0.59225178E-01	 0.19595340E-01
  4073.0000    	  4074.0000    	-0.48768014E-01	 0.20520699E-01
  4074.0000    	  4075.0000    	-0.68092340E-01	 0.19146406E-01
  4075.0000    	  4076.0000    	-0.54433927E-01	 0.20993996E-01
  4076.0000    	  4077.0000    	-0.33447416E-01	 0.18197858E-01
  4077.0000    	  4078.0000    	-0.75055426E-02	 0.17670156E-01
  4078.0000    	  4079.0000    	 0.15677805E-01	 0.17914232E-01
  4079.0000    	  4080.0000    	 0.30903501E-01	 0.22439328E-01
  4080.0000    	  4081.0000    	 0.55522518E-01	 0.19726391E-01
  4081.0000    	  4082.0000    	 0.80988163E-01	 0.23306193E-01
  4082.0000    	  4083.0000    	-0.11284904E-01	 0.22623635E-01
  4083.0000    	  4084.0000    	 0.65940782E-01	 0.20669889E-01
  4084.0000    	  4085.0000    	 0.15652271    	 0.29238578E-01
  4085.0000    	  4086.0000    	 0.72416149E-01	 0.30668819E-01
  4086.0000    	  4087.0000    	 0.52037147E-01	 0.32747643E-01
  4087.0000    	  4088.0000    	 0.21247978E-01	 0.31389576E-01
  4088.0000    	  4089.0000    	 0.24084178E-01	 0.37018464E-01
  4089.0000    	  4090.0000    	 0.35222040E-01	 0.34918971E-01
  4090.0000    	  4091.0000    	 0.62413172E-01	 0.33864631E-01
  4091.0000    	  4092.0000    	 0.12584580E-01	 0.34376223E-01
  4092.0000    	  4093.0000    	-0.25133821E-01	 0.22027389E-01
  4093.0000    	  4094.0000    	-0.42098963E-01	 0.20668556E-01
  4094.0000    	  4095.0000    	-0.37393631E-01	 0.20450220E-01
  4095.0000    	  4096.0000    	-0.49468131E-01	 0.22169567E-01
  4096.0000    	  4097.0000    	-0.38583629E-01	 0.19348738E-01
  4097.0000    	  4098.0000    	-0.37197061E-01	 0.20321722E-01
  4098.0000    	  4099.0000    	-0.21338538E-01	 0.19251911E-01
  4099.0000    	  4100.0000    	 0.95925486E-02	 0.16883899E-01
  4100.0000    	  4101.0000    	 0.31821764E-01	 0.16937125E-01
  4101.0000    	  4102.0000    	 0.50815092E-01	 0.24180629E-01
  4102.0000    	  4103.0000    	 0.36987243E-01	 0.17726014E-01
  4103.0000    	  4104.0000    	 0.32250500E-01	 0.23323322E-01
  4104.0000    	  4105.0000    	 0.11062537    	 0.21317874E-01
  4105.0000    	  4106.0000    	 0.54493197E-01	 0.23787351E-01
  4106.0000    	  4107.0000    	 0.42654921E-01	 0.28154584E-01
  4107.0000    	  4108.0000    	 0.46653620E-01	 0.31536126E-01
  4108.0000    	  4109.0000    	 0.98628635E-01	 0.35184048E-01
  4109.0000    	  4110.0000    	 0.53340884E-01	 0.37297800E-01
  4110.0000    	  4111.0000    	 0.88371628E-01	 0.35516750E-01
  4111.0000    	  4112.0000    	-0.22161588E-01	 0.34575950E-01
  4112.0000    	  4113.0000    	 0.70385804E-01	 0.34152964E-01
  4113.0000    	  4114.0000    	-0.23935970E-01	 0.36306577E-01
  4114.0000    	  4115.0000    	-0.44866419E-01	 0.19305607E-01
  4115.0000    	  4116.0000    	-0.73306584E-01	 0.19348902E-01
  4116.0000    	  4117.0000    	-0.37190325E-01	 0.21274877E-01
  4117.0000    	  4118.0000    	-0.61713698E-01	 0.22405328E-01
  4118.0000    	  4119.0000    	-0.39125672E-01	 0.20400531E-01
  4119.0000    	  4120.0000    	-0.36186534E-01	 0.16581292E-01
