# xi0
# underflow	 -14.760754    	 0.18735875    
# overflow	 -4.0796130    	 0.79995493E-01
# sum	 -415.67253    	 0.99050545    
# xmin	xmax	cross	numerror
  4048.0000    	  4049.0000    	-0.46019774    	 0.29935335E-01
  4049.0000    	  4050.0000    	-0.55951260    	 0.34463986E-01
  4050.0000    	  4051.0000    	-0.53946408    	 0.32649783E-01
  4051.0000    	  4052.0000    	-0.65321956    	 0.38894756E-01
  4052.0000    	  4053.0000    	-0.64056227    	 0.35832487E-01
  4053.0000    	  4054.0000    	-0.64206938    	 0.33063250E-01
  4054.0000    	  4055.0000    	-0.60109302    	 0.32703573E-01
  4055.0000    	  4056.0000    	-0.62663764    	 0.33443357E-01
  4056.0000    	  4057.0000    	-0.61563456    	 0.30962884E-01
  4057.0000    	  4058.0000    	-0.51621312    	 0.29913450E-01
  4058.0000    	  4059.0000    	-0.46938698    	 0.30223967E-01
  4059.0000    	  4060.0000    	-0.42112566    	 0.27656500E-01
  4060.0000    	  4061.0000    	-0.31051798    	 0.28606219E-01
  4061.0000    	  4062.0000    	-0.24609400    	 0.26239012E-01
  4062.0000    	  4063.0000    	-0.18721409    	 0.26007708E-01
  4063.0000    	  4064.0000    	-0.54343287E-01	 0.24895380E-01
  4064.0000    	  4065.0000    	-0.47440904E-01	 0.24961321E-01
  4065.0000    	  4066.0000    	-0.28141717E-03	 0.23919784E-01
  4066.0000    	  4067.0000    	 0.16884389E-01	 0.20321005E-01
  4067.0000    	  4068.0000    	 0.54569961E-01	 0.20367313E-01
  4068.0000    	  4069.0000    	 0.49119500E-01	 0.19421123E-01
  4069.0000    	  4070.0000    	 0.72229119E-01	 0.19608740E-01
  4070.0000    	  4071.0000    	-0.45959068    	 0.31150956E-01
  4071.0000    	  4072.0000    	-0.49094043    	 0.34067507E-01
  4072.0000    	  4073.0000    	-0.52423042    	 0.33800468E-01
  4073.0000    	  4074.0000    	-0.55869905    	 0.36654212E-01
  4074.0000    	  4075.0000    	-0.61603915    	 0.34104129E-01
  4075.0000    	  4076.0000    	-0.63207614    	 0.33378511E-01
  4076.0000    	  4077.0000    	-0.65653825    	 0.33716020E-01
  4077.0000    	  4078.0000    	-0.57897509    	 0.32891531E-01
  4078.0000    	  4079.0000    	-0.55961362    	 0.31810365E-01
  4079.0000    	  4080.0000    	-0.53240346    	 0.30655820E-01
  4080.0000    	  4081.0000    	-0.45167169    	 0.30715045E-01
  4081.0000    	  4082.0000    	-0.42281505    	 0.27954987E-01
  4082.0000    	  4083.0000    	-0.34102226    	 0.25514837E-01
  4083.0000    	  4084.0000    	-0.26700122    	 0.25081178E-01
  4084.0000    	  4085.0000    	-0.17558870    	 0.25836208E-01
  4085.0000    	  4086.0000    	-0.96079812E-01	 0.24643801E-01
  4086.0000    	  4087.0000    	-0.35645976E-01	 0.22294222E-01
  4087.0000    	  4088.0000    	-0.22492038E-01	 0.22165415E-01
  4088.0000    	  4089.0000    	 0.36484000E-01	 0.20624066E-01
  4089.0000    	  4090.0000    	 0.81530968E-01	 0.19961838E-01
  4090.0000    	  4091.0000    	 0.81268406E-01	 0.20143995E-01
  4091.0000    	  4092.0000    	 0.78166524E-01	 0.18399335E-01
  4092.0000    	  4093.0000    	-0.45840337    	 0.31801491E-01
  4093.0000    	  4094.0000    	-0.49845763    	 0.35546762E-01
  4094.0000    	  4095.0000    	-0.57536367    	 0.36674017E-01
  4095.0000    	  4096.0000    	-0.57400209    	 0.35583404E-01
  4096.0000    	  4097.0000    	-0.62878158    	 0.33354553E-01
  4097.0000    	  4098.0000    	-0.60456489    	 0.34955555E-01
  4098.0000    	  4099.0000    	-0.61211481    	 0.33246327E-01
  4099.0000    	  4100.0000    	-0.61418561    	 0.33657308E-01
  4100.0000    	  4101.0000    	-0.55821245    	 0.32319985E-01
  4101.0000    	  4102.0000    	-0.48875097    	 0.31430104E-01
  4102.0000    	  4103.0000    	-0.45271392    	 0.30202269E-01
  4103.0000    	  4104.0000    	-0.36003700    	 0.29371286E-01
  4104.0000    	  4105.0000    	-0.34172673    	 0.26909778E-01
  4105.0000    	  4106.0000    	-0.21487262    	 0.26077701E-01
  4106.0000    	  4107.0000    	-0.17733429    	 0.24991938E-01
  4107.0000    	  4108.0000    	-0.11957035    	 0.25408535E-01
  4108.0000    	  4109.0000    	-0.45071006E-01	 0.23880110E-01
  4109.0000    	  4110.0000    	 0.14158273E-01	 0.21147675E-01
