# xi0
# underflow	  931.76564    	  2.1198735    
# overflow	 -5.5722273    	 0.83216133    
# sum	  8238.2166    	  8.9160916    
# xmin	xmax	cross	numerror
  0.0000000    	  1.0000000    	  13.605406    	 0.27485239    
  1.0000000    	  2.0000000    	  15.481649    	 0.29666510    
  2.0000000    	  3.0000000    	  16.698779    	 0.31058883    
  3.0000000    	  4.0000000    	  18.592668    	 0.34434197    
  4.0000000    	  5.0000000    	  19.144970    	 0.31096916    
  5.0000000    	  6.0000000    	  20.014715    	 0.32627610    
  6.0000000    	  7.0000000    	  20.865719    	 0.34372289    
  7.0000000    	  8.0000000    	  20.426830    	 0.38570118    
  8.0000000    	  9.0000000    	  22.151812    	 0.35494555    
  9.0000000    	  10.000000    	  21.954114    	 0.34043592    
  10.000000    	  11.000000    	  22.418201    	 0.35001528    
  11.000000    	  12.000000    	  21.737774    	 0.37616189    
  12.000000    	  13.000000    	  21.889269    	 0.36845603    
  13.000000    	  14.000000    	  21.303388    	 0.36600831    
  14.000000    	  15.000000    	  20.775486    	 0.35926683    
  15.000000    	  16.000000    	  20.083837    	 0.35544845    
  16.000000    	  17.000000    	  19.047866    	 0.34264039    
  17.000000    	  18.000000    	  18.767755    	 0.33586074    
  18.000000    	  19.000000    	  16.895673    	 0.30354924    
  19.000000    	  20.000000    	  15.449865    	 0.30875478    
  20.000000    	  21.000000    	  14.311468    	 0.32413768    
  21.000000    	  22.000000    	  12.390752    	 0.30197790    
  22.000000    	  23.000000    	  12.599064    	 0.25261624    
  23.000000    	  24.000000    	  14.071124    	 0.29805287    
  24.000000    	  25.000000    	  15.532939    	 0.30768598    
  25.000000    	  26.000000    	  16.347664    	 0.30549286    
  26.000000    	  27.000000    	  17.944209    	 0.29787140    
  27.000000    	  28.000000    	  19.090423    	 0.33665076    
  28.000000    	  29.000000    	  19.757900    	 0.33998158    
  29.000000    	  30.000000    	  20.222708    	 0.33056350    
  30.000000    	  31.000000    	  20.920237    	 0.35401570    
  31.000000    	  32.000000    	  21.383216    	 0.35167514    
  32.000000    	  33.000000    	  21.023099    	 0.33000989    
  33.000000    	  34.000000    	  20.416816    	 0.35826162    
  34.000000    	  35.000000    	  20.792092    	 0.35448971    
  35.000000    	  36.000000    	  20.039560    	 0.35395247    
  36.000000    	  37.000000    	  19.347846    	 0.36600442    
  37.000000    	  38.000000    	  18.786480    	 0.32255684    
  38.000000    	  39.000000    	  18.001676    	 0.35404128    
  39.000000    	  40.000000    	  17.061427    	 0.33969838    
  40.000000    	  41.000000    	  15.631501    	 0.30621791    
  41.000000    	  42.000000    	  14.916125    	 0.30922640    
  42.000000    	  43.000000    	  13.070625    	 0.29397324    
  43.000000    	  44.000000    	  11.705468    	 0.32096600    
  44.000000    	  45.000000    	  11.481670    	 0.24213359    
  45.000000    	  46.000000    	  12.603728    	 0.24654806    
  46.000000    	  47.000000    	  14.092615    	 0.27152616    
  47.000000    	  48.000000    	  15.549456    	 0.28936094    
  48.000000    	  49.000000    	  16.680685    	 0.29321470    
  49.000000    	  50.000000    	  17.193110    	 0.34376670    
  50.000000    	  51.000000    	  18.274318    	 0.34841671    
  51.000000    	  52.000000    	  19.421702    	 0.32489530    
  52.000000    	  53.000000    	  19.112513    	 0.35885043    
  53.000000    	  54.000000    	  18.902831    	 0.34216928    
  54.000000    	  55.000000    	  19.291245    	 0.35262208    
  55.000000    	  56.000000    	  19.866958    	 0.34974986    
  56.000000    	  57.000000    	  18.861276    	 0.33104591    
  57.000000    	  58.000000    	  19.931841    	 0.35433329    
  58.000000    	  59.000000    	  19.125773    	 0.35474452    
  59.000000    	  60.000000    	  18.123311    	 0.31585022    
  60.000000    	  61.000000    	  16.930550    	 0.32242465    
  61.000000    	  62.000000    	  16.623883    	 0.34386087    
  62.000000    	  63.000000    	  14.662840    	 0.31329881    
  63.000000    	  64.000000    	  13.753922    	 0.30795624    
  64.000000    	  65.000000    	  12.094955    	 0.28896409    
  65.000000    	  66.000000    	  10.656979    	 0.29112554    
  66.000000    	  67.000000    	  10.092893    	 0.23191988    
  67.000000    	  68.000000    	  11.595121    	 0.27785812    
  68.000000    	  69.000000    	  13.087042    	 0.28011611    
  69.000000    	  70.000000    	  14.184838    	 0.29348009    
  70.000000    	  71.000000    	  15.784732    	 0.28049904    
  71.000000    	  72.000000    	  16.120803    	 0.31057934    
  72.000000    	  73.000000    	  17.850584    	 0.38894057    
  73.000000    	  74.000000    	  17.792306    	 0.35675798    
  74.000000    	  75.000000    	  17.778971    	 0.34335094    
  75.000000    	  76.000000    	  18.820365    	 0.32823521    
  76.000000    	  77.000000    	  19.260731    	 0.36615018    
  77.000000    	  78.000000    	  18.801220    	 0.36066936    
  78.000000    	  79.000000    	  17.977798    	 0.34195464    
  79.000000    	  80.000000    	  17.884632    	 0.35438199    
  80.000000    	  81.000000    	  16.902538    	 0.32120345    
  81.000000    	  82.000000    	  16.708585    	 0.32552574    
  82.000000    	  83.000000    	  16.346697    	 0.33285116    
  83.000000    	  84.000000    	  14.734485    	 0.29585258    
  84.000000    	  85.000000    	  13.914021    	 0.29631895    
  85.000000    	  86.000000    	  12.223834    	 0.29414495    
  86.000000    	  87.000000    	  11.525821    	 0.27460454    
  87.000000    	  88.000000    	  9.7526408    	 0.27912139    
  88.000000    	  89.000000    	  9.4387181    	 0.22608153    
