# xi0
# underflow	  1.7862550    	 0.14639659    
# overflow	 0.50568737    	 0.58233774E-01
# sum	  58.436138    	 0.40258412    
# xmin	xmax	cross	numerror
  6248.0000    	  6249.0000    	 0.46158731E-02	 0.33817044E-02
  6249.0000    	  6250.0000    	 0.11919473E-01	 0.45320857E-02
  6250.0000    	  6251.0000    	 0.21739809E-01	 0.65386257E-02
  6251.0000    	  6252.0000    	 0.24808407E-02	 0.83776821E-02
  6252.0000    	  6253.0000    	 0.21574689E-01	 0.93150417E-02
  6253.0000    	  6254.0000    	 0.41550336E-01	 0.12050733E-01
  6254.0000    	  6255.0000    	 0.64916813E-01	 0.12584856E-01
  6255.0000    	  6256.0000    	 0.53445815E-01	 0.13488936E-01
  6256.0000    	  6257.0000    	 0.50207506E-01	 0.14669714E-01
  6257.0000    	  6258.0000    	 0.69770048E-01	 0.15681727E-01
  6258.0000    	  6259.0000    	 0.86181617E-01	 0.16972376E-01
  6259.0000    	  6260.0000    	 0.90551123E-01	 0.14772921E-01
  6260.0000    	  6261.0000    	 0.91423889E-01	 0.14981876E-01
  6261.0000    	  6262.0000    	 0.31639738E-01	 0.18438459E-01
  6262.0000    	  6263.0000    	 0.55749875E-01	 0.15138541E-01
  6263.0000    	  6264.0000    	 0.69820714E-01	 0.13595195E-01
  6264.0000    	  6265.0000    	 0.48831653E-01	 0.14142923E-01
  6265.0000    	  6266.0000    	 0.17500067E-01	 0.11173142E-01
  6266.0000    	  6267.0000    	 0.21729147E-01	 0.86985428E-02
  6267.0000    	  6268.0000    	 0.19875788E-01	 0.61033558E-02
  6268.0000    	  6269.0000    	 0.11411899E-01	 0.58432155E-02
  6269.0000    	  6270.0000    	 0.38479909E-02	 0.35106135E-02
  6270.0000    	  6271.0000    	 0.60549482E-02	 0.32658356E-02
  6271.0000    	  6272.0000    	 0.85946824E-02	 0.48009483E-02
  6272.0000    	  6273.0000    	 0.20687105E-01	 0.55354647E-02
  6273.0000    	  6274.0000    	 0.12265623E-01	 0.81057717E-02
  6274.0000    	  6275.0000    	 0.24284344E-01	 0.88949388E-02
  6275.0000    	  6276.0000    	 0.42741143E-01	 0.97037100E-02
  6276.0000    	  6277.0000    	 0.27350409E-01	 0.11479640E-01
  6277.0000    	  6278.0000    	 0.39285423E-01	 0.16893998E-01
  6278.0000    	  6279.0000    	 0.63583100E-01	 0.14699641E-01
  6279.0000    	  6280.0000    	 0.84721086E-01	 0.18110984E-01
  6280.0000    	  6281.0000    	 0.68830347E-01	 0.15928665E-01
  6281.0000    	  6282.0000    	 0.77760992E-01	 0.15109602E-01
  6282.0000    	  6283.0000    	 0.87002892E-01	 0.15618762E-01
  6283.0000    	  6284.0000    	 0.68695659E-01	 0.13861899E-01
  6284.0000    	  6285.0000    	 0.44411243E-01	 0.17740501E-01
  6285.0000    	  6286.0000    	 0.72411682E-01	 0.12894046E-01
  6286.0000    	  6287.0000    	 0.39009905E-01	 0.10819119E-01
  6287.0000    	  6288.0000    	 0.40562180E-01	 0.95550932E-02
  6288.0000    	  6289.0000    	 0.26814531E-01	 0.78028324E-02
  6289.0000    	  6290.0000    	 0.12930378E-01	 0.74118622E-02
  6290.0000    	  6291.0000    	 0.91712851E-02	 0.53298355E-02
  6291.0000    	  6292.0000    	 0.67213508E-02	 0.50667173E-02
  6292.0000    	  6293.0000    	 0.44386455E-02	 0.35761577E-02
  6293.0000    	  6294.0000    	 0.13149978E-01	 0.46615203E-02
  6294.0000    	  6295.0000    	 0.26418815E-01	 0.51188412E-02
  6295.0000    	  6296.0000    	 0.33384155E-01	 0.67855600E-02
  6296.0000    	  6297.0000    	 0.22958694E-01	 0.88777254E-02
  6297.0000    	  6298.0000    	 0.47472130E-01	 0.10376057E-01
  6298.0000    	  6299.0000    	 0.53364382E-01	 0.95720827E-02
  6299.0000    	  6300.0000    	 0.64558024E-01	 0.13529385E-01
  6300.0000    	  6301.0000    	 0.82105304E-01	 0.14433899E-01
  6301.0000    	  6302.0000    	 0.65757461E-01	 0.15581834E-01
  6302.0000    	  6303.0000    	 0.56633370E-01	 0.17822181E-01
  6303.0000    	  6304.0000    	 0.56959029E-01	 0.15286527E-01
  6304.0000    	  6305.0000    	 0.41930440E-01	 0.16431047E-01
  6305.0000    	  6306.0000    	 0.54433407E-01	 0.13285734E-01
  6306.0000    	  6307.0000    	 0.28379339E-01	 0.14193440E-01
  6307.0000    	  6308.0000    	 0.60181007E-01	 0.14388394E-01
  6308.0000    	  6309.0000    	 0.39666746E-01	 0.12272976E-01
  6309.0000    	  6310.0000    	 0.37551142E-01	 0.85451879E-02
  6310.0000    	  6311.0000    	 0.39381371E-01	 0.74311786E-02
  6311.0000    	  6312.0000    	 0.24092536E-01	 0.65767756E-02
  6312.0000    	  6313.0000    	 0.65248966E-02	 0.48908944E-02
  6313.0000    	  6314.0000    	 0.42966764E-02	 0.35430793E-02
  6314.0000    	  6315.0000    	 0.12025573E-02	 0.37147796E-02
  6315.0000    	  6316.0000    	 0.11175926E-01	 0.41372710E-02
  6316.0000    	  6317.0000    	 0.74203970E-02	 0.59844912E-02
  6317.0000    	  6318.0000    	 0.31458843E-01	 0.67471255E-02
  6318.0000    	  6319.0000    	 0.51453641E-01	 0.89001698E-02
  6319.0000    	  6320.0000    	 0.55519562E-01	 0.10176765E-01
  6320.0000    	  6321.0000    	 0.51130814E-01	 0.10514651E-01
  6321.0000    	  6322.0000    	 0.45859131E-01	 0.14234320E-01
  6322.0000    	  6323.0000    	 0.83253512E-01	 0.13387997E-01
  6323.0000    	  6324.0000    	 0.57177920E-01	 0.16155084E-01
  6324.0000    	  6325.0000    	 0.74126488E-01	 0.15360795E-01
  6325.0000    	  6326.0000    	 0.78438939E-01	 0.16931263E-01
  6326.0000    	  6327.0000    	 0.87113996E-01	 0.17833979E-01
  6327.0000    	  6328.0000    	 0.79217774E-01	 0.14844818E-01
