# xi0
# underflow	  894.50328    	  3.5330211    
# overflow	  20.255714    	  2.0054405    
# sum	  9964.2771    	  16.648816    
# xmin	xmax	cross	numerror
  0.0000000    	  1.0000000    	  10.128754    	 0.44597910    
  1.0000000    	  2.0000000    	  12.568099    	 0.49677235    
  2.0000000    	  3.0000000    	  13.907390    	 0.48866423    
  3.0000000    	  4.0000000    	  16.486484    	 0.51934878    
  4.0000000    	  5.0000000    	  16.867264    	 0.52025579    
  5.0000000    	  6.0000000    	  18.701690    	 0.57260710    
  6.0000000    	  7.0000000    	  19.911850    	 0.56380466    
  7.0000000    	  8.0000000    	  19.125848    	 0.56732080    
  8.0000000    	  9.0000000    	  20.631746    	 0.60273929    
  9.0000000    	  10.000000    	  20.629406    	 0.57075254    
  10.000000    	  11.000000    	  20.469054    	 0.61483486    
  11.000000    	  12.000000    	  21.235081    	 0.60473284    
  12.000000    	  13.000000    	  20.484510    	 0.56548746    
  13.000000    	  14.000000    	  20.662002    	 0.56992805    
  14.000000    	  15.000000    	  20.726683    	 0.59103936    
  15.000000    	  16.000000    	  19.619957    	 0.55235864    
  16.000000    	  17.000000    	  19.809113    	 0.55754019    
  17.000000    	  18.000000    	  19.146214    	 0.51874368    
  18.000000    	  19.000000    	  18.705252    	 0.52341666    
  19.000000    	  20.000000    	  18.325281    	 0.53113138    
  20.000000    	  21.000000    	  16.832322    	 0.52188260    
  21.000000    	  22.000000    	  17.691300    	 0.50651562    
  22.000000    	  23.000000    	  9.7495180    	 0.41933971    
  23.000000    	  24.000000    	  12.160506    	 0.46563298    
  24.000000    	  25.000000    	  14.145945    	 0.44912010    
  25.000000    	  26.000000    	  14.747766    	 0.53672805    
  26.000000    	  27.000000    	  15.706878    	 0.49870926    
  27.000000    	  28.000000    	  16.909491    	 0.60487455    
  28.000000    	  29.000000    	  17.479942    	 0.53962572    
  29.000000    	  30.000000    	  18.355237    	 0.58231223    
  30.000000    	  31.000000    	  18.208477    	 0.58316998    
  31.000000    	  32.000000    	  20.192787    	 0.58147076    
  32.000000    	  33.000000    	  19.177721    	 0.57663274    
  33.000000    	  34.000000    	  20.496944    	 0.62269517    
  34.000000    	  35.000000    	  19.633558    	 0.55522464    
  35.000000    	  36.000000    	  21.613054    	 0.55332795    
  36.000000    	  37.000000    	  20.373394    	 0.55478290    
  37.000000    	  38.000000    	  19.679042    	 0.53406406    
  38.000000    	  39.000000    	  19.300137    	 0.52571876    
  39.000000    	  40.000000    	  19.265958    	 0.50264445    
  40.000000    	  41.000000    	  18.614275    	 0.50332137    
  41.000000    	  42.000000    	  17.167190    	 0.49037756    
  42.000000    	  43.000000    	  17.111949    	 0.48577868    
  43.000000    	  44.000000    	  16.109659    	 0.45454210    
  44.000000    	  45.000000    	  7.9293485    	 0.40261634    
  45.000000    	  46.000000    	  9.7893496    	 0.43814009    
  46.000000    	  47.000000    	  11.296217    	 0.44619861    
  47.000000    	  48.000000    	  12.826442    	 0.49823858    
  48.000000    	  49.000000    	  13.936725    	 0.50148454    
  49.000000    	  50.000000    	  15.657011    	 0.59455507    
  50.000000    	  51.000000    	  16.039716    	 0.52155972    
  51.000000    	  52.000000    	  17.356231    	 0.52024131    
  52.000000    	  53.000000    	  18.099909    	 0.56865844    
  53.000000    	  54.000000    	  18.336338    	 0.56572332    
  54.000000    	  55.000000    	  18.862783    	 0.54478325    
  55.000000    	  56.000000    	  18.140620    	 0.63083038    
  56.000000    	  57.000000    	  17.957669    	 0.58474340    
  57.000000    	  58.000000    	  18.145694    	 0.55489223    
  58.000000    	  59.000000    	  18.651693    	 0.54534672    
  59.000000    	  60.000000    	  19.230495    	 0.54243008    
  60.000000    	  61.000000    	  18.207540    	 0.51491474    
  61.000000    	  62.000000    	  17.789672    	 0.50011029    
  62.000000    	  63.000000    	  17.683686    	 0.49520321    
  63.000000    	  64.000000    	  17.688045    	 0.47752268    
  64.000000    	  65.000000    	  15.597844    	 0.45431723    
  65.000000    	  66.000000    	  15.808191    	 0.46278514    
  66.000000    	  67.000000    	  7.5160828    	 0.42052597    
  67.000000    	  68.000000    	  8.5009329    	 0.42363062    
  68.000000    	  69.000000    	  10.364567    	 0.47662618    
  69.000000    	  70.000000    	  11.470130    	 0.45810057    
  70.000000    	  71.000000    	  12.829666    	 0.49745820    
  71.000000    	  72.000000    	  13.206491    	 0.50252358    
  72.000000    	  73.000000    	  15.393623    	 0.54010856    
  73.000000    	  74.000000    	  16.605677    	 0.55601343    
  74.000000    	  75.000000    	  16.522105    	 0.56883479    
  75.000000    	  76.000000    	  16.568939    	 0.55494752    
  76.000000    	  77.000000    	  17.636486    	 0.56787971    
  77.000000    	  78.000000    	  18.858677    	 0.57895237    
  78.000000    	  79.000000    	  18.275285    	 0.56549975    
  79.000000    	  80.000000    	  17.663919    	 0.54224885    
  80.000000    	  81.000000    	  17.784624    	 0.54452318    
  81.000000    	  82.000000    	  17.949289    	 0.54513197    
