# xi0
# underflow	  2101.6381    	  7.7318599    
# overflow	  4.2132403    	  1.4999860    
# sum	  2658.7256    	  15.629024    
# xmin	xmax	cross	numerror
  0.0000000    	  1.0000000    	 0.41470654    	 0.45157755    
  1.0000000    	  2.0000000    	 0.46144370    	 0.44357332    
  2.0000000    	  3.0000000    	 0.36465401    	 0.43306940    
  3.0000000    	  4.0000000    	 0.25168278    	 0.43266979    
  4.0000000    	  5.0000000    	 0.15650519    	 0.44476343    
  5.0000000    	  6.0000000    	 0.39080179    	 0.44390007    
  6.0000000    	  7.0000000    	 0.65291728    	 0.46007798    
  7.0000000    	  8.0000000    	 0.83554552    	 0.45997086    
  8.0000000    	  9.0000000    	  1.1971013    	 0.43468241    
  9.0000000    	  10.000000    	  1.5647458    	 0.46751579    
  10.000000    	  11.000000    	  1.7341187    	 0.44755044    
  11.000000    	  12.000000    	 0.42512875    	 0.44468982    
  12.000000    	  13.000000    	 0.35299936    	 0.42289334    
  13.000000    	  14.000000    	 0.23693198    	 0.45193920    
  14.000000    	  15.000000    	 0.18161259    	 0.44245295    
  15.000000    	  16.000000    	 0.20474560    	 0.43097766    
  16.000000    	  17.000000    	 0.47479959    	 0.44824896    
  17.000000    	  18.000000    	 0.75997689    	 0.44224172    
  18.000000    	  19.000000    	 0.90074565    	 0.44051994    
  19.000000    	  20.000000    	  1.2195723    	 0.43080610    
  20.000000    	  21.000000    	  1.4190983    	 0.44370643    
  21.000000    	  22.000000    	  1.8444542    	 0.43978369    
  22.000000    	  23.000000    	 0.37085941    	 0.43720057    
  23.000000    	  24.000000    	 0.34438324    	 0.43618234    
  24.000000    	  25.000000    	 0.28474631    	 0.44586909    
  25.000000    	  26.000000    	 0.15254456    	 0.44092917    
  26.000000    	  27.000000    	 0.31746523    	 0.43147201    
  27.000000    	  28.000000    	 0.45767298    	 0.44613907    
  28.000000    	  29.000000    	 0.80281529    	 0.44345413    
  29.000000    	  30.000000    	 0.95806126    	 0.43523893    
  30.000000    	  31.000000    	  1.3988436    	 0.43526037    
  31.000000    	  32.000000    	  1.5610849    	 0.42121536    
  32.000000    	  33.000000    	  1.7001618    	 0.42185895    
  33.000000    	  34.000000    	 0.32228617    	 0.42210035    
  34.000000    	  35.000000    	 0.32400579    	 0.44389939    
  35.000000    	  36.000000    	 0.18457516    	 0.42873269    
  36.000000    	  37.000000    	 0.25824864    	 0.43872165    
  37.000000    	  38.000000    	 0.33103463    	 0.44064850    
  38.000000    	  39.000000    	 0.63463865    	 0.43756775    
  39.000000    	  40.000000    	 0.75630573    	 0.46216529    
  40.000000    	  41.000000    	  1.1484477    	 0.43074684    
  41.000000    	  42.000000    	  1.2410082    	 0.42749903    
  42.000000    	  43.000000    	  1.6108751    	 0.42517109    
  43.000000    	  44.000000    	  1.6292721    	 0.40889128    
  44.000000    	  45.000000    	 0.18836923    	 0.44258022    
